VTM_NM|year
Brimonidine|2016
Brimonidine + Timolol|2016
Brinzolamide|2016
Brinzolamide + Brimonidine|2016
Brinzolamide + Timolol|2016
Brivaracetam|2016
Bromocriptine|2016
Budesonide|2016
Budesonide + Formoterol|2016
Bumetanide|2016
Bupivacaine|2016
Bupivacaine + Glucose|2016
Buprenorphine|2016
Buprenorphine + Naloxone|2016
Bupropion|2016
Buserelin|2016
Buspirone|2016
Busulfan|2016
Butobarbital|2016
CATHETERS|2016
Cabergoline|2016
Caffeine + Ergotamine|2016
Calamine + Zinc oxide|2016
Calcipotriol|2016
Calcipotriol + Betamethasone|2016
Calcitonin|2016
Calcitriol|2016
Calcium acetate|2016
Calcium acetate + Magnesium carbonate|2016
Calcium carbonate|2016
Calcium carbonate + Sodium alginate + Sodium bicarbonate|2016
Calcium glubionate + Calcium lactobionate|2016
Calcium gluconate|2016
Calcium gluconate + Calcium lactate|2016
Calcium lactate|2016
Calcium lactate + Calcium phosphate + Ergocalciferol|2016
Calcium lactate gluconate + Calcium carbonate|2016
Calcium phosphate + Colecalciferol|2016
Calcium polystyrene sulfonate|2016
Canagliflozin|2016
Canagliflozin + Metformin|2016
Candesartan|2016
Capecitabine|2016
Capsaicin|2016
Captopril|2016
Carbamazepine|2016
Carbimazole|2016
Carbocisteine|2016
Carbomer|2016
Carboprost|2016
Carmellose|2016
Carob seed|2016
Carteolol|2016
Carvedilol|2016
Castor oil + Collodion + Colophony|2016
Castor oil + Zinc oxide|2016
Cefaclor|2016
Cefadroxil|2016
Cefalexin|2016
Cefixime|2016
Cefpodoxime|2016
Cefradine|2016
Ceftazidime|2016
Ceftriaxone|2016
Cefuroxime|2016
Celecoxib|2016
Celiprolol|2016
Cetirizine|2016
Cetrimide|2016
Cetrimide + Benzalkonium|2016
Cetrorelix|2016
Cetylpyridinium|2016
Chloral hydrate|2016
Chlorambucil|2016
Chloramphenicol|2016
Chlordiazepoxide|2016
Chlorhexidine|2016
Chlorhexidine + Cetrimide|2016
Chlorhexidine + Chlorobutanol|2016
Chlorhexidine + Isopropyl alcohol|2016
Chlorhexidine + Sodium fluoride|2016
Chlorhexidine + Tetracaine|2016
Chloroquine phosphate|2016
Chlorphenamine|2016
Chlorpromazine|2016
Chlortalidone|2016
Cholera vaccine|2016
Choline salicylate|2016
Choline salicylate + Glycerol|2016
Chondroitin|2016
Choriogonadotropin alfa|2016
Chorionic gonadotrophin|2016
Ciclesonide|2016
Ciclosporin|2016
Cilazapril|2016
Cilostazol|2016
Cimetidine|2016
Cinacalcet|2016
Cinchocaine|2016
Cinchocaine + Hydrocortisone|2016
Cinchocaine + Prednisolone|2016
Cinnarizine|2016
Cinnarizine + Dimenhydrinate|2016
Ciprofibrate|2016
Ciprofloxacin|2016
Ciprofloxacin + Dexamethasone|2016
Citalopram|2016
Citric acid|2016
Clarithromycin|2016
Clemastine|2016
Clindamycin|2016
Clindamycin + Tretinoin|2016
Clioquinol + Flumetasone|2016
Clobazam|2016
Clobetasol|2016
Clobetasone|2016
Clomethiazole|2016
Clomifene|2016
Clomipramine|2016
Clonazepam|2016
Clonidine|2016
Clopidogrel|2016
Cloral betaine|2016
Clotrimazole|2016
Clove oil|2016
Clozapine|2016
Co-amilofruse|2016
Co-amilozide|2016
Co-amoxiclav|2016
Co-beneldopa|2016
Co-careldopa|2016
Co-codamol|2016
Co-codaprin|2016
Co-cyprindiol|2016
Co-danthramer|2016
Co-danthrusate|2016
Co-dydramol|2016
Co-fluampicil|2016
Co-flumactone|2016
Co-magaldrox|2016
Co-phenotrope|2016
Co-prenozide|2016
Co-proxamol|2016
Co-simalcite|2016
Co-tenidone|2016
Co-triamterzide|2016
Co-trimoxazole|2016
Co-zidocapt|2016
Coal tar|2016
Coal tar + Lecithin|2016
Cod liver oil|2016
Codeine|2016
Colchicine|2016
Colecalciferol|2016
Colecalciferol + Calcium carbonate|2016
Colesevelam|2016
Colestipol|2016
Colestyramine|2016
Colistin|2016
Conjugated oestrogens|2016
Conjugated oestrogens + Medroxyprogesterone|2016
Crotamiton|2016
Cyanocobalamin|2016
Cyclizine|2016
Cyclomethicone + Isopropyl myristate|2016
Cyclopenthiazide|2016
Cyclopentolate|2016
Cyclophosphamide|2016
Cycloserine|2016
Cyproheptadine|2016
Cyproterone|2016
Dabigatran etexilate|2016
Dalteparin|2016
Danazol|2016
Dantrolene|2016
Dapagliflozin|2016
Dapagliflozin + Metformin|2016
Dapoxetine|2016
Dapsone|2016
Darbepoetin alfa|2016
Darifenacin|2016
Deferiprone|2016
Deflazacort|2016
Degarelix|2016
Demeclocycline|2016
Denosumab|2016
Dequalinium|2016
Desferrioxamine|2016
Desloratadine|2016
Desmopressin|2016
Desogestrel|2016
Dexamethasone|2016
Dexamethasone + Tobramycin|2016
Dexamfetamine|2016
Dexibuprofen|2016
Dexketoprofen|2016
Dexpanthenol|2016
Diamorphine|2016
Diazepam|2016
Diazoxide|2016
Dibrompropamidine|2016
Dichlorobenzyl alcohol + Amylmetacresol|2016
Diclofenac diethylammonium|2016
Diclofenac potassium|2016
Diclofenac sodium|2016
Diclofenac sodium + Misoprostol|2016
Dicycloverine|2016
Diethyl phthalate + Methyl salicylate|2016
Diethylamine salicylate|2016
Diethylstilbestrol|2016
Diflucortolone|2016
Digoxin|2016
Dihydrocodeine|2016
Diltiazem|2016
Dimeticone|2016
Dimeticone + Benzalkonium|2016
Dimeticone + Cetrimide|2016
Diphenhydramine|2016
Diphtheria + Tetanus + Poliomyelitis vaccine|2016
Dipipanone + Cyclizine|2016
Dipyridamole|2016
Dipyridamole + Aspirin|2016
Disopyramide|2016
Distigmine|2016
Disulfiram|2016
Dithranol|2016
Dithranol + Salicylic acid|2016
Docusate|2016
Domperidone|2016
Donepezil|2016
Dornase alfa|2016
Dorzolamide|2016
Dorzolamide + Timolol|2016
Dosulepin|2016
Doxazosin|2016
Doxepin|2016
Doxycycline|2016
Dronabinol + Cannabidiol|2016
Dronedarone|2016
Dulaglutide|2016
Duloxetine|2016
Dutasteride|2016
Econazole|2016
Edoxaban|2016
Efavirenz|2016
Eflornithine|2016
Eicosapentaenoic acid + Docosahexaenoic acid|2016
Eletriptan|2016
Emedastine|2016
Empagliflozin|2016
Empagliflozin + Metformin|2016
Emulsifying ointment + Phenoxyethanol|2016
Emulsifying wax + Liquid paraffin + White soft paraffin|2016
Emulsifying wax + Yellow soft paraffin|2016
Enalapril|2016
Enalapril + Hydrochlorothiazide|2016
Enoxaparin|2016
Entacapone|2016
Ephedrine|2016
Ephedrine + Chlorphenamine|2016
Epinastine|2016
Eplerenone|2016
Epoetin alfa|2016
Epoetin beta|2016
Eprosartan|2016
Erdosteine|2016
Ergocalciferol|2016
Ergometrine + Oxytocin|2016
Erlotinib|2016
Ertapenem|2016
Erythromycin|2016
Erythromycin + Isotretinoin|2016
Erythromycin + Tretinoin|2016
Erythromycin + Zinc acetate|2016
Erythromycin ethyl succinate|2016
Erythromycin stearate|2016
Escitalopram|2016
Eslicarbazepine|2016
Esomeprazole|2016
Estradiol|2016
Estradiol + Drospirenone|2016
Estradiol + Dydrogesterone|2016
Estradiol + Levonorgestrel|2016
Estradiol + Medroxyprogesterone|2016
Estradiol + Nomegestrol|2016
Estradiol + Norethisterone|2016
Estradiol + Norethisterone acetate|2016
Estramustine|2016
Estriol|2016
Etamsylate|2016
Etanercept|2016
Ethambutol|2016
Ethinylestradiol|2016
Ethinylestradiol + Desogestrel|2016
Ethinylestradiol + Drospirenone|2016
Ethinylestradiol + Etonogestrel|2016
Ethinylestradiol + Gestodene|2016
Ethinylestradiol + Levonorgestrel|2016
Ethinylestradiol + Norelgestromin|2016
Ethinylestradiol + Norethisterone|2016
Ethinylestradiol + Norethisterone acetate|2016
Ethinylestradiol + Norgestimate|2016
Ethosuximide|2016
Etodolac|2016
Etonogestrel|2016
Etoricoxib|2016
Etynodiol|2016
Eucalyptus oil|2016
Everolimus|2016
Exemestane|2016
Exenatide|2016
Ezetimibe|2016
Famciclovir|2016
Famotidine|2016
Febuxostat|2016
Felbinac|2016
Felodipine|2016
Felodipine + Ramipril|2016
Fenofibrate + Simvastatin|2016
Fenofibrate micronised|2016
Fenoprofen|2016
Fentanyl|2016
Ferrous fumarate|2016
Ferrous fumarate + Folic acid|2016
Ferrous gluconate|2016
Ferrous sulfate|2016
Ferrous sulfate + Folic acid|2016
Fesoterodine|2016
Fexofenadine|2016
Filgrastim|2016
Finasteride|2016
Fish oil|2016
Flavoxate|2016
Flecainide|2016
Flucloxacillin|2016
Fluconazole|2016
Fludrocortisone|2016
Fludroxycortide|2016
Flumazenil|2016
Fluocinolone acetonide|2016
Fluocinolone acetonide + Clioquinol|2016
Fluocinolone acetonide + Neomycin|2016
Fluocinonide|2016
Fluocortolone + Fluocortolone hexanoate|2016
Fluocortolone hexanoate + Fluocortolone pivalate|2016
Fluorescein|2016
Fluorometholone|2016
Fluorouracil|2016
Fluorouracil + Salicylic acid|2016
Fluoxetine|2016
Flupentixol decanoate|2016
Flupentixol dihydrochloride|2016
Fluphenazine decanoate|2016
Flurbiprofen|2016
Flutamide|2016
Fluticasone|2016
Fluticasone + Azelastine|2016
Fluticasone + Formoterol|2016
Fluticasone + Salmeterol|2016
Fluticasone + Vilanterol|2016
Fluvastatin|2016
Fluvoxamine|2016
Folic acid|2016
Folinic acid|2016
Follitropin alfa|2016
Follitropin alfa + Lutropin alfa|2016
Follitropin beta|2016
Fondaparinux|2016
Formaldehyde|2016
Formoterol|2016
Fosinopril|2016
Fosphenytoin|2016
Frovatriptan|2016
Fulvestrant|2016
Furosemide|2016
Fusidic acid|2016
Gabapentin|2016
Galantamine|2016
Gamolenic acid|2016
Ganciclovir|2016
Gemfibrozil|2016
Gentamicin|2016
Glibenclamide|2016
Gliclazide|2016
Glimepiride|2016
Glipizide|2016
Glucagon|2016
Glucosamine hydrochloride|2016
Glucosamine sulfate|2016
Glucosamine sulfate + Chondroitin|2016
Glucose|2016
Glucose + Glycerol|2016
Glutaraldehyde|2016
Glycerol|2016
Glycerol + Magnesium sulfate + Phenol|2016
Glyceryl trinitrate|2016
Glycopyrronium|2016
Goserelin|2016
Granisetron|2016
Grass pollen|2016
Griseofulvin|2016
Guaifenesin + Menthol|2016
Guanfacine|2016
Haemophilus influenzae type b + Meningococcal group C vaccine|2016
Halogenated phenols + Phenol|2016
Haloperidol|2016
Haloperidol decanoate|2016
Hamamelis|2016
Heparin|2016
Heparinoid|2016
Hepatitis A + B vaccine|2016
Hepatitis A + Typhoid vaccine|2016
Hepatitis A vaccine|2016
Hepatitis B vaccine|2016
Hexetidine|2016
Hexylresorcinol|2016
Homeopathic apis mellifica + Homeopathic belladonna|2016
Homeopathic arnica montana|2016
Homeopathic chamomilla|2016
Honey|2016
Human papillomavirus vaccine|2016
Hyaluronidase|2016
Hydralazine|2016
Hydrochlorothiazide + Quinapril|2016
Hydrocortisone|2016
Hydrocortisone + Clotrimazole|2016
Hydrocortisone + Crotamiton|2016
Hydrocortisone + Fusidic acid|2016
Hydrocortisone + Gentamicin|2016
Hydrocortisone + Miconazole|2016
Hydrocortisone + Pramocaine|2016
Hydrocortisone + Urea|2016
Hydrocortisone butyrate|2016
Hydrogen peroxide|2016
Hydromorphone|2016
Hydroxocobalamin|2016
Hydroxycarbamide|2016
Hydroxychloroquine|2016
Hydroxyethyl salicylate + Methyl nicotinate|2016
Hydroxyzine|2016
Hyetellose|2016
Hyoscine (base)|2016
Hyoscine butylbromide|2016
Hyoscine hydrobromide|2016
Hypochlorite|2016
Hypromellose|2016
Hypromellose + Dextran 70|2016
Ibandronic acid|2016
Ibuprofen|2016
Ibuprofen + Codeine|2016
Ibuprofen + Levomenthol|2016
Ichthammol|2016
Ichthammol + Zinc oxide|2016
Idoxuridine|2016
Imatinib|2016
Imidapril|2016
Imipramine|2016
Imiquimod|2016
Indacaterol|2016
Indacaterol + Glycopyrronium|2016
Indapamide|2016
Indinavir|2016
Indometacin|2016
Indoramin|2016
Industrial methylated spirit + Povidone-Iodine|2016
Industrial methylated spirit + Soft soap|2016
Infliximab|2016
Influenza vaccine|2016
Ingenol mebutate|2016
Inosine acedoben dimepranol|2016
Inositol nicotinate|2016
Insulin aspart|2016
Insulin aspart biphasic|2016
Insulin degludec|2016
Insulin degludec + Liraglutide|2016
Insulin detemir|2016
Insulin glargine|2016
Insulin glulisine|2016
Insulin isophane biphasic human|2016
Insulin isophane biphasic porcine|2016
Insulin isophane bovine|2016
Insulin isophane human|2016
Insulin isophane porcine|2016
Insulin lispro|2016
Insulin lispro biphasic|2016
Insulin mixed bovine|2016
Insulin protamine zinc bovine|2016
Insulin soluble bovine|2016
Insulin soluble human|2016
Insulin soluble porcine|2016
Interferon alfa-2a|2016
Interferon alfa-2b|2016
Interferon beta-1a|2016
Ipratropium|2016
Irbesartan|2016
Irbesartan + Hydrochlorothiazide|2016
Iron dextran|2016
Iron sucrose|2016
Isocarboxazid|2016
Isoniazid|2016
Isosorbide dinitrate|2016
Isosorbide mononitrate|2016
Isotretinoin|2016
Ispaghula husk|2016
Ispaghula husk + Mebeverine|2016
Isradipine|2016
Itraconazole|2016
Ivabradine|2016
Ivermectin|2016
Kaolin|2016
Kaolin + Morphine|2016
Ketamine|2016
Ketoconazole|2016
Ketoprofen|2016
Ketoprofen + Omeprazole|2016
Ketorolac|2016
Ketotifen|2016
LYMPHOEDEMA GARMENT|2016
LYMPHOEDEMA GARMENTS|2016
Labetalol|2016
Lacidipine|2016
Lacosamide|2016
Lactic acid|2016
Lactobacillus|2016
Lactulose|2016
Lamivudine|2016
Lamotrigine|2016
Lanreotide|2016
Lansoprazole|2016
Lanthanum carbonate|2016
Lapatinib|2016
Latanoprost|2016
Latanoprost + Timolol|2016
Lauromacrogol 400 + Heparinoid|2016
Leflunomide|2016
Lercanidipine|2016
Letrozole|2016
Leuprorelin|2016
Levetiracetam|2016
Levobunolol|2016
Levocarnitine|2016
Levocetirizine|2016
Levodopa + Carbidopa + Entacapone|2016
Levofloxacin|2016
Levofolinic acid|2016
Levomepromazine|2016
Levonorgestrel|2016
Levothyroxine|2016
Lidocaine|2016
Lidocaine + Adrenaline|2016
Lidocaine + Aminoacridine|2016
Lidocaine + Cetalkonium|2016
Lidocaine + Cetylpyridinium|2016
Lidocaine + Chlorhexidine|2016
Lidocaine + Hydrocortisone|2016
Lidocaine + Phenylephrine|2016
Lidocaine + Prilocaine|2016
Linaclotide|2016
Linagliptin|2016
Linagliptin + Metformin|2016
Linezolid|2016
Linseed oil|2016
Liothyronine|2016
Liquid paraffin|2016
Liquid paraffin + Acetylated wool alcohols|2016
Liquid paraffin + Isopropyl myristate|2016
Liquid paraffin + Magnesium hydroxide|2016
Liquorice|2016
Liraglutide|2016
Lisdexamfetamine|2016
Lisinopril|2016
Lisinopril + Hydrochlorothiazide|2016
Lithium carbonate|2016
Lithium citrate|2016
Lixisenatide|2016
Lodoxamide|2016
Lofepramine|2016
Lofexidine|2016
Loperamide|2016
Loprazolam|2016
Loratadine|2016
Lorazepam|2016
Lormetazepam|2016
Losartan|2016
Losartan + Hydrochlorothiazide|2016
Loteprednol|2016
Lurasidone|2016
Lutropin alfa|2016
Lymecycline|2016
Macrogol 4000|2016
Magnesium aspartate|2016
Magnesium carbonate + Magnesium trisilicate + Sodium bicarbonate|2016
Magnesium glycerophosphate|2016
Magnesium hydroxide|2016
Magnesium sulfate|2016
Maize starch|2016
Malathion|2016
Measles + Mumps + Rubella vaccine|2016
Mebendazole|2016
Mebeverine|2016
Mecysteine|2016
Medium-chain triglycerides|2016
Medroxyprogesterone|2016
Mefenamic acid|2016
Mefloquine|2016
Megestrol|2016
Melatonin|2016
Meloxicam|2016
Melphalan|2016
Memantine|2016
Menadiol|2016
Meningococcal group B vaccine|2016
Meningococcal groups A + C + W135 + Y vaccine|2016
Menotrophin|2016
Menthol|2016
Menthol + Eucalyptus|2016
Meprobamate|2016
Meptazinol|2016
Mercaptamine|2016
Mercaptopurine|2016
Meropenem|2016
Mesalazine|2016
Mesterolone|2016
Mestranol + Norethisterone|2016
Metformin|2016
Methadone|2016
Methenamine|2016
Methocarbamol|2016
Methotrexate|2016
Methoxy polyethylene glycol-epoetin beta|2016
Methyl salicylate|2016
Methyl salicylate + Menthol|2016
Methylcellulose|2016
Methyldopa|2016
Methylnaltrexone bromide|2016
Methylphenidate|2016
Methylprednisolone|2016
Methylprednisolone + Lidocaine|2016
Methylprednisolone acetate|2016
Methylprednisolone sodium succinate|2016
Metoclopramide|2016
Metoprolol|2016
Metronidazole|2016
Mianserin|2016
Miconazole|2016
Midazolam|2016
Midodrine|2016
Minocycline|2016
Minoxidil|2016
Mirabegron|2016
Mirtazapine|2016
Misoprostol|2016
Mizolastine|2016
Moclobemide|2016
Modafinil|2016
Moexipril|2016
Mometasone|2016
Montelukast|2016
Moroctocog alfa|2016
Morphine|2016
Morphine + Cyclizine|2016
Moxifloxacin|2016
Moxisylyte|2016
Moxonidine|2016
Mucin + Xylitol|2016
Mupirocin|2016
Mycophenolate mofetil|2016
Mycophenolic acid|2016
Nabilone|2016
Nabumetone|2016
Nadolol|2016
Nafarelin|2016
Naftidrofuryl|2016
Nalmefene|2016
Naloxegol|2016
Naloxone|2016
Naltrexone|2016
Nandrolone|2016
Naphazoline|2016
Naproxen|2016
Naproxen + Esomeprazole|2016
Naratriptan|2016
Nateglinide|2016
Nebivolol|2016
Nedocromil|2016
Nefopam|2016
Nelfinavir|2016
Neomycin|2016
Neomycin + Chlorhexidine|2016
Neostigmine|2016
Nepafenac|2016
Nevirapine|2016
Nicardipine|2016
Nicorandil|2016
Nicotinamide|2016
Nicotinamide + Riboflavine + Thiamine|2016
Nicotine|2016
Nicotinic acid + Laropiprant|2016
Nifedipine|2016
Nimodipine|2016
Nitrazepam|2016
Nitrofurantoin|2016
Nizatidine|2016
Nonoxinol|2016
Norethisterone|2016
Norfloxacin|2016
Nortriptyline|2016
Nystatin|2016
Nystatin + Chlorhexidine|2016
Nystatin + Chlorhexidine + Hydrocortisone|2016
Octreotide|2016
Ofloxacin|2016
Olanzapine|2016
Olanzapine embonate|2016
Olive oil|2016
Olmesartan|2016
Olmesartan + Amlodipine|2016
Olmesartan + Amlodipine + Hydrochlorothiazide|2016
Olmesartan + Hydrochlorothiazide|2016
Olodaterol|2016
Olopatadine|2016
Olsalazine|2016
Omeprazole|2016
Ondansetron|2016
Orlistat|2016
Orphenadrine|2016
Oseltamivir|2016
Oxaliplatin|2016
Oxazepam|2016
Oxcarbazepine|2016
Oxerutins|2016
Oxprenolol|2016
Oxybutynin|2016
Oxycodone|2016
Oxycodone + Naloxone|2016
Oxytetracycline|2016
Oxytetracycline + Hydrocortisone|2016
Paliperidone|2016
Pancreatin|2016
Pantoprazole|2016
Paracetamol|2016
Paracetamol + Dihydrocodeine|2016
Paracetamol + Isometheptene|2016
Paracetamol + Metoclopramide|2016
Paracetamol + Pseudoephedrine|2016
Paraffin hard|2016
Parecoxib|2016
Paroxetine|2016
Penciclovir|2016
Penicillamine|2016
Pentazocine|2016
Pentoxifylline|2016
Peppermint oil|2016
Perampanel|2016
Pergolide|2016
Pericyazine|2016
Perindopril arginine|2016
Perindopril arginine + Indapamide|2016
Perindopril erbumine|2016
Perindopril erbumine + Amlodipine|2016
Permethrin|2016
Perphenazine|2016
Pethidine|2016
Phenelzine|2016
Phenindione|2016
Phenobarbital|2016
Phenobarbital sodium|2016
Phenoxybenzamine|2016
Phenoxymethylpenicillin|2016
Phenylephrine|2016
Phenytoin|2016
Phenytoin sodium|2016
Pholcodine|2016
Phytomenadione|2016
Pilocarpine|2016
Pimecrolimus|2016
Pimozide|2016
Pindolol|2016
Pindolol + Clopamide|2016
Pioglitazone|2016
Pioglitazone + Metformin|2016
Piperacillin + Tazobactam|2016
Pipotiazine|2016
Piracetam|2016
Piroxicam|2016
Piroxicam betadex|2016
Pivmecillinam|2016
Pizotifen|2016
Pneumococcal vaccine|2016
Podophyllotoxin|2016
Polihexanide|2016
Polymyxin B + Bacitracin|2016
Polysaccharide-iron complex|2016
Polyvinyl alcohol|2016
Posaconazole|2016
Potassium acid tartrate + Potassium bicarbonate|2016
Potassium aminobenzoate|2016
Potassium bicarbonate + Potassium chloride|2016
Potassium chloride|2016
Potassium citrate|2016
Potassium citrate + Citric acid|2016
Potassium hydroxide|2016
Potassium permanganate|2016
Povidone|2016
Povidone-Iodine|2016
Pramipexole|2016
Prasugrel|2016
Pravastatin|2016
Prazosin|2016
Prednisolone|2016
Pregabalin|2016
Primidone|2016
Prochlorperazine|2016
Procyclidine|2016
Progesterone|2016
Proguanil|2016
Proguanil + Atovaquone|2016
Promazine|2016
Promethazine hydrochloride|2016
Promethazine teoclate|2016
Propafenone|2016
Propamidine|2016
Propantheline|2016
Propiverine|2016
Propofol|2016
Propranolol|2016
Propylene glycol|2016
Propylthiouracil|2016
Proxymetacaine|2016
Prucalopride|2016
Pseudoephedrine|2016
Pseudoephedrine + Acrivastine|2016
Pseudoephedrine + Chlorphenamine|2016
Pyridostigmine|2016
Pyridoxine|2016
Pyrimethamine|2016
Quetiapine|2016
Quinagolide|2016
Quinapril|2016
Quinine bisulfate|2016
Quinine sulfate|2016
Quinine sulphate|2016
REAGENT|2016
Rabeprazole|2016
Rabies vaccine|2016
Racecadotril|2016
Raloxifene|2016
Raltegravir|2016
Ramipril|2016
Ranitidine|2016
Ranolazine|2016
Rasagiline|2016
Reboxetine|2016
Repaglinide|2016
Retapamulin|2016
Retigabine|2016
Retinol + Vitamin D|2016
Rhubarb extract + Salicylic acid|2016
Riboflavin|2016
Rifabutin|2016
Rifampicin|2016
Rifampicin + Isoniazid|2016
Rifampicin + Isoniazid + Pyrazinamide|2016
Rifaximin|2016
Riluzole|2016
Rimexolone|2016
Risedronate sodium|2016
Risperidone|2016
Rivaroxaban|2016
Rivastigmine|2016
Rizatriptan|2016
Roflumilast|2016
Ropinirole|2016
Rosuvastatin|2016
Rotigotine|2016
Rufinamide|2016
SPECIAL FORMULA|2016
SUPPLEMENT|2016
SURGICAL TAPE|2016
Sacubitril + Valsartan|2016
Salbutamol|2016
Salbutamol + Ipratropium|2016
Salicylic acid|2016
Salicylic acid + Betamethasone|2016
Salicylic acid + Lactic acid|2016
Salicylic acid + Mucopolysaccharide polysulfate|2016
Salmeterol|2016
Saquinavir|2016
Saxagliptin|2016
Saxagliptin + Metformin|2016
Selegiline|2016
Selenium|2016
Senna|2016
Senna + Ispaghula|2016
Sertraline|2016
Sesame oil|2016
Sevelamer|2016
Shingles (Herpes Zoster) vaccine|2016
Sildenafil|2016
Silicone|2016
Silver nitrate|2016
Simeticone|2016
Simeticone + Loperamide|2016
Simvastatin|2016
Simvastatin + Ezetimibe|2016
Sirolimus|2016
Sitagliptin|2016
Sitagliptin + Metformin|2016
Sodium acid phosphate|2016
Sodium acid phosphate + Sodium bicarbonate|2016
Sodium acid phosphate + Sodium phosphate|2016
Sodium alginate + Magnesium alginate|2016
Sodium alginate + Potassium bicarbonate|2016
Sodium aurothiomalate|2016
Sodium bicarbonate|2016
Sodium chloride|2016
Sodium citrate|2016
Sodium clodronate|2016
Sodium cromoglicate|2016
Sodium dihydrogen phosphate|2016
Sodium feredetate|2016
Sodium fluoride|2016
Sodium fusidate|2016
Sodium hyaluronate|2016
Sodium hyaluronate + Chondroitin|2016
Sodium hyaluronate + Dexpanthenol|2016
Sodium hyaluronate + Trehalose|2016
Sodium lauryl ether sulfo-succinate + Sodium lauryl ether sulfate|2016
Sodium phenylbutyrate|2016
Sodium picosulfate|2016
Sodium valproate|2016
Soft paraffin + Wool fat|2016
Solifenacin|2016
Solifenacin + Tamsulosin|2016
Somatropin|2016
Sotalol|2016
Soya oil|2016
Soya oil + Lauromacrogols|2016
Spironolactone|2016
Spironolactone + Furosemide|2016
Sterculia|2016
Sterculia + Frangula|2016
Stiripentol|2016
Strontium ranelate|2016
Sucralfate|2016
Sulfadiazine|2016
Sulfadiazine silver|2016
Sulfasalazine|2016
Sulfinpyrazone|2016
Sulfur|2016
Sulindac|2016
Sulpiride|2016
Sumatra benzoin|2016
Sumatriptan|2016
Sunitinib|2016
TRACHEOSTOMY|2016
Tacalcitol|2016
Tacrolimus|2016
Tadalafil|2016
Tafluprost|2016
Tafluprost + Timolol|2016
Tamoxifen|2016
Tamsulosin|2016
Tamsulosin + Dutasteride|2016
Tapentadol|2016
Tartaric acid|2016
Tazarotene|2016
Teicoplanin|2016
Telbivudine|2016
Telithromycin|2016
Telmisartan|2016
