VTM_NM|year
Coal tar + Lecithin|2018
Cod liver oil|2018
Codeine|2018
Colchicine|2018
Colecalciferol|2018
Colecalciferol + Calcium carbonate|2018
Colesevelam|2018
Colestipol|2018
Colestyramine|2018
Colistin|2018
Conjugated oestrogens|2018
Conjugated oestrogens + Medroxyprogesterone|2018
Cranberry|2018
Crotamiton|2018
Cyanocobalamin|2018
Cyclizine|2018
Cyclomethicone + Isopropyl myristate|2018
Cyclopentolate|2018
Cyclophosphamide|2018
Cycloserine|2018
Cyproheptadine|2018
Cyproterone|2018
Dabigatran etexilate|2018
Dalteparin|2018
Danazol|2018
Dantrolene|2018
Dapagliflozin|2018
Dapagliflozin + Metformin|2018
Dapoxetine|2018
Dapsone|2018
Daptomycin|2018
Darbepoetin alfa|2018
Darifenacin|2018
Deferiprone|2018
Deflazacort|2018
Degarelix|2018
Demeclocycline|2018
Denosumab|2018
Dequalinium|2018
Desferrioxamine|2018
Desloratadine|2018
Desmopressin|2018
Desogestrel|2018
Dexamethasone|2018
Dexamethasone + Tobramycin|2018
Dexamfetamine|2018
Dexibuprofen|2018
Dexketoprofen|2018
Dexpanthenol|2018
Dextromethorphan|2018
Diamorphine|2018
Diazepam|2018
Diazoxide|2018
Dibrompropamidine|2018
Dichlorobenzyl alcohol + Amylmetacresol|2018
Diclofenac|2018
Diclofenac diethylammonium|2018
Diclofenac potassium|2018
Diclofenac sodium|2018
Diclofenac sodium + Misoprostol|2018
Dicycloverine|2018
Diethyl phthalate + Methyl salicylate|2018
Diethylamine salicylate|2018
Diethylstilbestrol|2018
Diflucortolone|2018
Digoxin|2018
Dihydrocodeine|2018
Diltiazem|2018
Dimethyl fumarate|2018
Dimeticone|2018
Dimeticone + Benzalkonium|2018
Dimeticone + Cetrimide|2018
Diphenhydramine|2018
Diphtheria + Tetanus + Pertussis + Poliomyelitis + Haemophilus influenzae type B vaccine|2018
Diphtheria + Tetanus + Pertussis + Poliomyelitis vaccine|2018
Diphtheria + Tetanus + Poliomyelitis vaccine|2018
Dipipanone + Cyclizine|2018
Dipyridamole|2018
Dipyridamole + Aspirin|2018
Disopyramide|2018
Disulfiram|2018
Dithranol|2018
Docusate|2018
Domperidone|2018
Donepezil|2018
Dornase alfa|2018
Dorzolamide|2018
Dorzolamide + Timolol|2018
Dosulepin|2018
Doxazosin|2018
Doxepin|2018
Doxycycline|2018
Dronabinol + Cannabidiol|2018
Dronedarone|2018
Dulaglutide|2018
Duloxetine|2018
Dutasteride|2018
Econazole|2018
Edoxaban|2018
Eflornithine|2018
Eicosapentaenoic acid + Docosahexaenoic acid|2018
Eletriptan|2018
Emedastine|2018
Empagliflozin|2018
Empagliflozin + Metformin|2018
Emulsifying ointment + Phenoxyethanol|2018
Emulsifying wax + Liquid paraffin + White soft paraffin|2018
Emulsifying wax + Yellow soft paraffin|2018
Enalapril|2018
Enalapril + Hydrochlorothiazide|2018
Enoxaparin|2018
Entacapone|2018
Ephedrine|2018
Ephedrine + Chlorphenamine|2018
Epinastine|2018
Eplerenone|2018
Epoetin alfa|2018
Epoetin beta|2018
Eprosartan|2018
Erdosteine|2018
Ergocalciferol|2018
Ergometrine + Oxytocin|2018
Ertapenem|2018
Erythromycin|2018
Erythromycin + Zinc acetate|2018
Erythromycin ethyl succinate|2018
Erythromycin stearate|2018
Escitalopram|2018
Eslicarbazepine|2018
Esomeprazole|2018
Estradiol|2018
Estradiol + Drospirenone|2018
Estradiol + Dydrogesterone|2018
Estradiol + Levonorgestrel|2018
Estradiol + Medroxyprogesterone|2018
Estradiol + Nomegestrol|2018
Estradiol + Norethisterone|2018
Estradiol + Norethisterone acetate|2018
Estriol|2018
Etanercept|2018
Ethambutol|2018
Ethinylestradiol|2018
Ethinylestradiol + Desogestrel|2018
Ethinylestradiol + Drospirenone|2018
Ethinylestradiol + Etonogestrel|2018
Ethinylestradiol + Gestodene|2018
Ethinylestradiol + Levonorgestrel|2018
Ethinylestradiol + Norelgestromin|2018
Ethinylestradiol + Norethisterone|2018
Ethinylestradiol + Norethisterone acetate|2018
Ethinylestradiol + Norgestimate|2018
Ethosuximide|2018
Etodolac|2018
Etonogestrel|2018
Etoricoxib|2018
Eucalyptus oil|2018
Evolocumab|2018
Exemestane|2018
Exenatide|2018
Ezetimibe|2018
Famciclovir|2018
Famotidine|2018
Febuxostat|2018
Felbinac|2018
Felodipine|2018
Felodipine + Ramipril|2018
Fenofibrate + Simvastatin|2018
Fenofibrate micronised|2018
Fenoprofen|2018
Fentanyl|2018
Ferric maltol|2018
Ferrous fumarate|2018
Ferrous fumarate + Folic acid|2018
Ferrous gluconate|2018
Ferrous sulfate|2018
Ferrous sulfate + Folic acid|2018
Fesoterodine|2018
Fexofenadine|2018
Filgrastim|2018
Finasteride|2018
Fish oil|2018
Flavoxate|2018
Flecainide|2018
Flucloxacillin|2018
Fluconazole|2018
Fludrocortisone|2018
Fludroxycortide|2018
Flumazenil|2018
Flumetasone + Clioquinol|2018
Fluocinolone acetonide|2018
Fluocinolone acetonide + Clioquinol|2018
Fluocinolone acetonide + Neomycin|2018
Fluocinonide|2018
Fluorescein|2018
Fluorometholone|2018
Fluorouracil|2018
Fluorouracil + Salicylic acid|2018
Fluoxetine|2018
Flupentixol decanoate|2018
Flupentixol dihydrochloride|2018
Fluphenazine decanoate|2018
Flurbiprofen|2018
Flutamide|2018
Fluticasone|2018
Fluticasone + Azelastine|2018
Fluticasone + Formoterol|2018
Fluticasone + Salmeterol|2018
Fluticasone + Umeclidinium bromide + Vilanterol|2018
Fluticasone + Vilanterol|2018
Fluvastatin|2018
Fluvoxamine|2018
Folic acid|2018
Folinic acid|2018
Follitropin alfa|2018
Fondaparinux sodium|2018
Formaldehyde|2018
Formoterol|2018
Fosfomycin|2018
Fosinopril|2018
Frovatriptan|2018
Fulvestrant|2018
Furosemide|2018
Fusidic acid|2018
Gabapentin|2018
Galantamine|2018
Gamolenic acid|2018
Ganciclovir|2018
Gemfibrozil|2018
Gentamicin|2018
Glibenclamide|2018
Gliclazide|2018
Glimepiride|2018
Glipizide|2018
Glucagon|2018
Glucosamine hydrochloride|2018
Glucosamine sulfate|2018
Glucosamine sulfate + Chondroitin|2018
Glucose|2018
Glucose + Glycerol|2018
Glutaraldehyde|2018
Glycerol|2018
Glycerol + Magnesium sulfate + Phenol|2018
Glyceryl trinitrate|2018
Glycopyrronium|2018
Goserelin|2018
Granisetron|2018
Grass pollen|2018
Griseofulvin|2018
Guaifenesin|2018
Guaifenesin + Menthol|2018
Guanfacine|2018
Haemophilus influenzae type b + Meningococcal group C vaccine|2018
Halogenated phenols + Phenol|2018
Haloperidol|2018
Haloperidol decanoate|2018
Hamamelis|2018
Hamamelis + Naphazoline|2018
Heparin|2018
Heparinoid|2018
Hepatitis A + B vaccine|2018
Hepatitis A + Typhoid vaccine|2018
Hepatitis A vaccine|2018
Hepatitis B vaccine|2018
Hexetidine|2018
Hexylresorcinol|2018
Homeopathic arnica montana|2018
Homeopathic arnica montana + Homeopathic urtica urens|2018
Homeopathic chamomilla|2018
Honey|2018
Human papillomavirus vaccine|2018
Hydralazine|2018
Hydrocortisone|2018
Hydrocortisone + Clotrimazole|2018
Hydrocortisone + Crotamiton|2018
Hydrocortisone + Fusidic acid|2018
Hydrocortisone + Gentamicin|2018
Hydrocortisone + Miconazole|2018
Hydrocortisone + Pramocaine|2018
Hydrocortisone + Urea|2018
Hydrocortisone butyrate|2018
Hydrogen peroxide|2018
Hydromorphone|2018
Hydroxocobalamin|2018
Hydroxycarbamide|2018
Hydroxychloroquine|2018
Hydroxyzine|2018
Hyetellose|2018
Hyoscine (base)|2018
Hyoscine butylbromide|2018
Hyoscine hydrobromide|2018
Hypochlorite|2018
Hypromellose|2018
Hypromellose + Dextran 70|2018
Ibandronic acid|2018
Ibuprofen|2018
Ibuprofen + Codeine|2018
Ibuprofen + Levomenthol|2018
Ibuprofen + Pseudoephedrine|2018
Ichthammol|2018
Ichthammol + Zinc oxide|2018
Imidapril|2018
Imipenem + Cilastatin|2018
Imipramine|2018
Imiquimod|2018
Indacaterol|2018
Indacaterol + Glycopyrronium|2018
Indapamide|2018
Indometacin|2018
Indoramin|2018
Industrial methylated spirit + Povidone-Iodine|2018
Industrial methylated spirit + Soft soap|2018
Influenza vaccine|2018
Ingenol mebutate|2018
Inosine acedoben dimepranol|2018
Inositol nicotinate|2018
Insulin aspart|2018
Insulin aspart biphasic|2018
Insulin degludec|2018
Insulin degludec + Liraglutide|2018
Insulin detemir|2018
Insulin glargine|2018
Insulin glulisine|2018
Insulin isophane biphasic human|2018
Insulin isophane biphasic porcine|2018
Insulin isophane bovine|2018
Insulin isophane human|2018
Insulin isophane porcine|2018
Insulin lispro|2018
Insulin lispro biphasic|2018
Insulin mixed bovine|2018
Insulin protamine zinc bovine|2018
Insulin soluble bovine|2018
Insulin soluble human|2018
Insulin soluble porcine|2018
Interferon beta-1a|2018
Ipratropium|2018
Irbesartan|2018
Irbesartan + Hydrochlorothiazide|2018
Iron dextran|2018
Iron sucrose|2018
Isocarboxazid|2018
Isoniazid|2018
Isopropyl alcohol|2018
Isosorbide dinitrate|2018
Isosorbide mononitrate|2018
Isotretinoin|2018
Isotretinoin + Erythromycin|2018
Ispaghula husk|2018
Ispaghula husk + Mebeverine|2018
Itraconazole|2018
Ivabradine|2018
Ivermectin|2018
Japanese encephalitis vaccine|2018
Kaolin|2018
Kaolin + Morphine|2018
Ketamine|2018
Ketoconazole|2018
Ketoprofen|2018
Ketorolac|2018
Ketotifen|2018
L-Phenylalanine|2018
Labetalol|2018
Lacidipine|2018
Lacosamide|2018
Lactic acid|2018
Lactobacillus|2018
Lactulose|2018
Lamivudine|2018
Lamotrigine|2018
Lanreotide|2018
Lansoprazole|2018
Lanthanum carbonate|2018
Latanoprost|2018
Latanoprost + Timolol|2018
Leflunomide|2018
Lercanidipine|2018
Letrozole|2018
Leuprorelin|2018
Levetiracetam|2018
Levobunolol|2018
Levocarnitine|2018
Levocetirizine|2018
Levodopa + Carbidopa + Entacapone|2018
Levofloxacin|2018
Levomepromazine|2018
Levonorgestrel|2018
Levothyroxine|2018
Lidocaine|2018
Lidocaine + Adrenaline|2018
Lidocaine + Aminoacridine|2018
Lidocaine + Cetalkonium|2018
Lidocaine + Cetylpyridinium|2018
Lidocaine + Chlorhexidine|2018
Lidocaine + Hydrocortisone|2018
Lidocaine + Phenylephrine|2018
Lidocaine + Prilocaine|2018
Linaclotide|2018
Linagliptin|2018
Linagliptin + Metformin|2018
Linezolid|2018
Linseed oil|2018
Liothyronine|2018
Liquid paraffin|2018
Liquid paraffin + Acetylated wool alcohols|2018
Liquid paraffin + Isopropyl myristate|2018
Liquorice|2018
Liraglutide|2018
Lisdexamfetamine|2018
Lisinopril|2018
Lisinopril + Hydrochlorothiazide|2018
Lithium carbonate|2018
Lithium citrate|2018
Lixisenatide|2018
Lodoxamide|2018
Lofepramine|2018
Loperamide|2018
Loprazolam|2018
Loratadine|2018
Lorazepam|2018
Lormetazepam|2018
Losartan|2018
Losartan + Hydrochlorothiazide|2018
Loteprednol|2018
Lubiprostone|2018
Lurasidone|2018
Lymecycline|2018
Macrogol 3350|2018
Magnesium aspartate|2018
Magnesium carbonate|2018
Magnesium carbonate + Magnesium trisilicate + Sodium bicarbonate|2018
Magnesium citrate|2018
Magnesium glycerophosphate|2018
Magnesium hydroxide|2018
Magnesium oxide|2018
Magnesium sulfate|2018
Maize starch|2018
Malathion|2018
Measles + Mumps + Rubella vaccine|2018
Mebendazole|2018
Mebeverine|2018
Medium-chain triglycerides|2018
Medroxyprogesterone|2018
Mefenamic acid|2018
Mefloquine|2018
Megestrol|2018
Melatonin|2018
Meloxicam|2018
Melphalan|2018
Memantine|2018
Menadiol|2018
Meningococcal group B vaccine|2018
Meningococcal groups A + C + W135 + Y vaccine|2018
Menotrophin|2018
Menthol|2018
Menthol + Eucalyptus|2018
Meprobamate|2018
Meptazinol|2018
Mepyramine|2018
Mercaptamine|2018
Mercaptopurine|2018
Meropenem|2018
Mesalazine|2018
Mesterolone|2018
Mestranol + Norethisterone|2018
Metformin|2018
Methadone|2018
Methenamine|2018
Methocarbamol|2018
Methotrexate|2018
Methyl salicylate + Menthol|2018
Methylcellulose|2018
Methyldopa|2018
Methylnaltrexone bromide|2018
Methylphenidate|2018
Methylprednisolone|2018
Methylprednisolone + Lidocaine|2018
Methylprednisolone acetate|2018
Methylprednisolone sodium succinate|2018
Metoclopramide|2018
Metoprolol|2018
Metronidazole|2018
Metyrapone|2018
Mianserin|2018
Miconazole|2018
Midazolam|2018
Midodrine|2018
Milrinone|2018
Minocycline|2018
Minoxidil|2018
Mirabegron|2018
Mirtazapine|2018
Misoprostol|2018
Mizolastine|2018
Moclobemide|2018
Modafinil|2018
Mometasone|2018
Montelukast|2018
Morphine|2018
Morphine + Cyclizine|2018
Moxifloxacin|2018
Moxisylyte|2018
Moxonidine|2018
Mucin + Xylitol|2018
Mupirocin|2018
Mycophenolate mofetil|2018
Mycophenolic acid|2018
Nabilone|2018
Nabumetone|2018
Nadolol|2018
Nafarelin|2018
Naftidrofuryl|2018
Nalmefene|2018
Naloxegol|2018
Naloxone|2018
Naltrexone|2018
Naltrexone + Bupropion|2018
Nandrolone|2018
Naphazoline|2018
Naproxen|2018
Naproxen + Esomeprazole|2018
Naratriptan|2018
Nateglinide|2018
Nebivolol|2018
Nedocromil|2018
Nefopam|2018
Neomycin|2018
Neomycin + Chlorhexidine|2018
Neostigmine|2018
Nepafenac|2018
Nicardipine|2018
Nicorandil|2018
Nicotinamide|2018
Nicotinamide + Riboflavine + Thiamine|2018
Nicotine|2018
Nifedipine|2018
Nimodipine|2018
Nitrazepam|2018
Nitrofurantoin|2018
Nizatidine|2018
Nonoxinol|2018
Norethisterone|2018
Norethisterone enantate|2018
Nortriptyline|2018
Nystatin|2018
Nystatin + Chlorhexidine|2018
Nystatin + Chlorhexidine + Hydrocortisone|2018
Octreotide|2018
Ofloxacin|2018
Olanzapine|2018
Olanzapine embonate|2018
Olive oil|2018
Olmesartan|2018
Olmesartan + Amlodipine|2018
Olmesartan + Amlodipine + Hydrochlorothiazide|2018
Olmesartan + Hydrochlorothiazide|2018
Olodaterol|2018
Olopatadine|2018
Olsalazine|2018
Omeprazole|2018
Ondansetron|2018
Opicapone|2018
Orlistat|2018
Orphenadrine|2018
Oseltamivir|2018
Oxazepam|2018
Oxcarbazepine|2018
Oxerutins|2018
Oxprenolol|2018
Oxybutynin|2018
Oxycodone|2018
Oxycodone + Naloxone|2018
Oxytetracycline|2018
Oxytetracycline + Hydrocortisone|2018
Paliperidone|2018
Pancreatin|2018
Pantoprazole|2018
Paracetamol|2018
Paracetamol + Dihydrocodeine|2018
Paracetamol + Isometheptene|2018
Paracetamol + Metoclopramide|2018
Paracetamol + Pseudoephedrine|2018
Paraffin hard|2018
Parecoxib|2018
Paricalcitol|2018
Paroxetine|2018
Penciclovir|2018
Penicillamine|2018
Pentazocine|2018
Pentoxifylline|2018
Peppermint oil|2018
Perampanel|2018
Pergolide|2018
Pericyazine|2018
Perindopril arginine|2018
Perindopril arginine + Indapamide|2018
Perindopril erbumine|2018
Perindopril erbumine + Amlodipine|2018
Permethrin|2018
Pethidine|2018
Phenelzine|2018
Phenindione|2018
Phenobarbital|2018
Phenol + Chlorhexidine|2018
Phenoxybenzamine|2018
Phenoxymethylpenicillin|2018
Phentolamine + Aviptadil|2018
Phenylephrine|2018
Phenytoin|2018
Phenytoin sodium|2018
Pholcodine|2018
Phytomenadione|2018
Pilocarpine|2018
Pimecrolimus|2018
Pimozide|2018
Pindolol|2018
Pindolol + Clopamide|2018
Pioglitazone|2018
Pioglitazone + Metformin|2018
Piperacillin + Tazobactam|2018
Piracetam|2018
Piroxicam|2018
Pivmecillinam|2018
Pizotifen|2018
Pneumococcal vaccine|2018
Podophyllotoxin|2018
Polihexanide|2018
Polymyxin B + Bacitracin|2018
Polysaccharide-iron complex|2018
Polyvinyl alcohol|2018
Potassium acid tartrate + Potassium bicarbonate|2018
Potassium aminobenzoate|2018
Potassium bicarbonate + Potassium chloride|2018
Potassium chloride|2018
Potassium citrate|2018
Potassium citrate + Citric acid|2018
Potassium hydroxide|2018
Potassium permanganate|2018
Povidone-Iodine|2018
Pramipexole|2018
Prasugrel|2018
Pravastatin|2018
Prazosin|2018
Prednisolone|2018
Prednisone|2018
Pregabalin|2018
Primidone|2018
Prochlorperazine|2018
Procyclidine|2018
Progesterone|2018
Proguanil|2018
Proguanil + Atovaquone|2018
Promazine|2018
Promethazine hydrochloride|2018
Promethazine teoclate|2018
Propafenone|2018
Propamidine|2018
Propantheline|2018
Propiverine|2018
Propofol|2018
Propranolol|2018
Propylene glycol|2018
Propylthiouracil|2018
Proxymetacaine|2018
Prucalopride|2018
Pseudoephedrine|2018
Pseudoephedrine + Acrivastine|2018
Pseudoephedrine + Chlorphenamine|2018
Pseudoephedrine + Triprolidine|2018
Pyrazinamide|2018
Pyridostigmine|2018
Pyridoxine|2018
Pyrimethamine|2018
Quetiapine|2018
Quinagolide|2018
Quinapril|2018
Quinapril + Hydrochlorothiazide|2018
Quinine bisulfate|2018
Quinine sulfate|2018
Rabeprazole|2018
Rabies vaccine|2018
Racecadotril|2018
Raloxifene|2018
Raltegravir|2018
Ramipril|2018
Ranitidine|2018
Ranolazine|2018
Rasagiline|2018
Reboxetine|2018
Repaglinide|2018
Retigabine|2018
Retinol + Vitamin D|2018
Rhubarb extract + Salicylic acid|2018
Riboflavin|2018
Rifabutin|2018
Rifampicin|2018
Rifampicin + Isoniazid|2018
Rifampicin + Isoniazid + Pyrazinamide|2018
Rifaximin|2018
Riluzole|2018
Risedronate sodium|2018
Risperidone|2018
Ritonavir|2018
Rivaroxaban|2018
Rivastigmine|2018
Rizatriptan|2018
Roflumilast|2018
Ropinirole|2018
Rosuvastatin|2018
Rotigotine|2018
Rufinamide|2018
Rupatadine|2018
Sacubitril + Valsartan|2018
Safinamide|2018
Salbutamol|2018
Salbutamol + Ipratropium|2018
Salicylic acid|2018
Salicylic acid + Betamethasone|2018
Salicylic acid + Lactic acid|2018
Salicylic acid + Mucopolysaccharide polysulfate|2018
Salmeterol|2018
Saxagliptin|2018
Saxagliptin + Dapagliflozin|2018
Saxagliptin + Metformin|2018
Secobarbital|2018
Selegiline|2018
Selenium|2018
Senna|2018
Senna + Ispaghula|2018
Sertraline|2018
Sesame oil|2018
Sevelamer|2018
Shingles (Herpes Zoster) vaccine|2018
Sildenafil|2018
Silicone|2018
Silver nitrate|2018
Simeticone|2018
Simeticone + Loperamide|2018
Simvastatin|2018
Simvastatin + Ezetimibe|2018
Sirolimus|2018
Sitagliptin|2018
Sitagliptin + Metformin|2018
Sodium acid phosphate + Sodium bicarbonate|2018
Sodium acid phosphate + Sodium phosphate|2018
Sodium alginate + Magnesium alginate|2018
Sodium alginate + Potassium bicarbonate|2018
Sodium aurothiomalate|2018
Sodium bicarbonate|2018
Sodium chloride|2018
Sodium citrate|2018
Sodium clodronate|2018
Sodium cromoglicate|2018
Sodium dihydrogen phosphate|2018
Sodium feredetate|2018
Sodium fluoride|2018
Sodium fusidate|2018
Sodium hyaluronate|2018
Sodium hyaluronate + Chondroitin|2018
Sodium hyaluronate + Dexpanthenol|2018
Sodium hyaluronate + Ectoin|2018
Sodium hyaluronate + Trehalose|2018
Sodium lauryl ether sulfo-succinate + Sodium lauryl ether sulfate|2018
Sodium oxybate|2018
Sodium phenylbutyrate|2018
Sodium picosulfate|2018
Sodium valproate|2018
Soft paraffin + Wool fat|2018
Solifenacin|2018
Solifenacin + Tamsulosin|2018
Somatropin|2018
Sotalol|2018
Soya oil|2018
Soya oil + Lauromacrogols|2018
Spironolactone|2018
Spironolactone + Furosemide|2018
Sterculia|2018
Sterculia + Frangula|2018
Stiripentol|2018
Strontium ranelate|2018
Sucroferric oxyhydroxide|2018
Sulfadiazine|2018
Sulfadiazine silver|2018
Sulfasalazine|2018
Sulfur|2018
Sulindac|2018
Sulpiride|2018
Sumatra benzoin|2018
Sumatriptan|2018
Tacalcitol|2018
Tacrolimus|2018
Tadalafil|2018
Tafluprost|2018
Tafluprost + Timolol|2018
Tamoxifen|2018
Tamsulosin|2018
Tamsulosin + Dutasteride|2018
Tapentadol|2018
Tartaric acid|2018
Tazarotene|2018
Teicoplanin|2018
Telmisartan|2018
Telmisartan + Hydrochlorothiazide|2018
Temazepam|2018
Tenofovir disoproxil|2018
Tenoxicam|2018
Terazosin|2018
Terbinafine|2018
Terbutaline|2018
Terlipressin|2018
Testosterone|2018
Testosterone enantate|2018
Testosterone undecanoate|2018
Tetrabenazine|2018
Tetracaine|2018
Tetracosactide|2018
Tetracycline|2018
Theophylline|2018
Thiamine|2018
Tiagabine|2018
Tiaprofenic acid|2018
Tibolone|2018
Ticagrelor|2018
Tick-borne encephalitis vaccine|2018
Tilactase|2018
Timolol|2018
Timolol + Bendroflumethiazide|2018
Tinidazole|2018
Tinzaparin|2018
Tioconazole|2018
Tiotropium|2018
Tiotropium + Olodaterol|2018
Tipranavir|2018
Tizanidine|2018
Tobramycin|2018
Tocofersolan|2018
Tolbutamide|2018
