ID_VMP_NM;VMP_NM;VERSION;DATE_FROM;DATE_TO
21;Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm;1;2018-11-07;2018-11-07
22;Absorbent cotton gauze type 13 light BP 1988 not sterilised;1;2018-11-07;2018-11-07
23;Absorbent cotton gauze type 13 light BP 1988 sterile 90cm;1;2018-11-07;2018-11-07
24;Absorbent cotton hospital quality;1;2018-11-07;2018-11-07
25;Absorbent dressing pad sterile 10cm x 12cm;1;2018-11-07;2018-11-07
26;Absorbent dressing pad sterile 10cm x 20cm;1;2018-11-07;2018-11-07
27;Absorbent dressing pad sterile 20cm x 20cm;1;2018-11-07;2018-11-07
28;Absorbent dressing pad sterile 20cm x 40cm;1;2018-11-07;2018-11-07
29;Absorbent lint BPC;1;2018-11-07;2018-11-07
30;Absorbent perforated dressing with adhesive border 10cm x 10cm;1;2018-11-07;2018-11-07
31;Absorbent perforated dressing with adhesive border 10cm x 15cm;1;2018-11-07;2018-11-07
32;Absorbent perforated dressing with adhesive border 10cm x 20cm;1;2018-11-07;2018-11-07
33;Absorbent perforated dressing with adhesive border 10cm x 25cm;1;2018-11-07;2018-11-07
34;Absorbent perforated dressing with adhesive border 10cm x 30cm;1;2018-11-07;2018-11-07
35;Absorbent perforated dressing with adhesive border 10cm x 35cm;1;2018-11-07;2018-11-07
36;Absorbent perforated dressing with adhesive border 5cm x 7cm;1;2018-11-07;2018-11-07
37;Absorbent perforated plastic film faced dressing 10cm x 10cm;1;2018-11-07;2018-11-07
38;Absorbent perforated plastic film faced dressing 20cm x 10cm;1;2018-11-07;2018-11-07
39;Absorbent perforated plastic film faced dressing 5cm x 5cm;1;2018-11-07;2018-11-07
40;Acacia spray dried powder;1;2018-11-07;2018-11-07
41;Acamprosate 333mg gastro-resistant tablets;1;2018-11-07;2018-11-07
42;Acarbose 100mg tablets;1;2018-11-07;2018-11-07
43;Acarbose 50mg tablets;1;2018-11-07;2018-11-07
44;Acebutolol 100mg capsules;1;2018-11-07;2018-11-07
45;Acebutolol 200mg capsules;1;2018-11-07;2018-11-07
46;Acebutolol 400mg tablets;1;2018-11-07;2018-11-07
47;Aceclofenac 100mg tablets;1;2018-11-07;2018-11-07
48;Acemetacin 60mg capsules;1;2018-11-07;2018-11-07
49;Acenocoumarol 1mg tablets;1;2018-11-07;2018-11-07
50;Acetazolamide 250mg modified-release capsules;1;2018-11-07;2018-11-07
51;Acetazolamide 250mg tablets;1;2018-11-07;2018-11-07
52;Acetic acid 2% ear spray;1;2018-11-07;2018-11-07
53;Acetic acid 33% liquid;1;2018-11-07;2018-11-07
54;Acetone liquid;1;2018-11-07;2018-11-07
55;Acetylcysteine 200mg granules sachets;1;2018-11-07;2018-11-07
56;Acetylcysteine 200mg oral powder sachets sugar free;1;2018-11-07;2018-11-07
57;Acetylcysteine 2g/10ml solution for infusion ampoules;1;2018-11-07;2018-11-07
58;Acetylcysteine 5% eye drops;1;2018-11-07;2018-11-07
59;Acetylcysteine 600mg capsules;1;2018-11-07;2018-11-07
60;Acetylcysteine 600mg effervescent tablets sugar free;1;2018-11-07;2018-11-07
61;Acetylcysteine 600mg tablets;1;2018-11-07;2018-11-07
62;Aciclovir 200mg dispersible tablets;1;2018-11-07;2018-11-07
63;Aciclovir 200mg tablets;1;2018-11-07;2018-11-07
64;Aciclovir 200mg/5ml oral suspension sugar free;1;2018-11-07;2018-11-07
65;Aciclovir 250mg powder for solution for infusion vials;1;2018-11-07;2018-11-07
66;Aciclovir 3% eye ointment;1;2018-11-07;2018-11-07
67;Aciclovir 400mg dispersible tablets;1;2018-11-07;2018-11-07
68;Aciclovir 400mg tablets;1;2018-11-07;2018-11-07
69;Aciclovir 400mg/5ml oral suspension sugar free;1;2018-11-07;2018-11-07
70;Aciclovir 5% cream;1;2018-11-07;2018-11-07
71;Aciclovir 500mg powder for solution for infusion vials;1;2018-11-07;2018-11-07
72;Aciclovir 800mg dispersible tablets;1;2018-11-07;2018-11-07
73;Aciclovir 800mg tablets;1;2018-11-07;2018-11-07
74;Acipimox 250mg capsules;1;2018-11-07;2018-11-07
75;Acitretin 10mg capsules;1;2018-11-07;2018-11-07
76;Acitretin 25mg capsules;1;2018-11-07;2018-11-07
77;Aclidinium bromide 375micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
78;Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
79;Acrivastine 8mg capsules;1;2018-11-07;2018-11-07
80;Activated charcoal 200mg/ml oral suspension sugar free;1;2018-11-07;2018-11-07
81;Activated charcoal 300mg capsules;1;2018-11-07;2018-11-07
82;Activated charcoal 300mg tablets;1;2018-11-07;2018-11-07
83;Activated charcoal absorbent dressing 10cm x 10cm;1;2018-11-07;2018-11-07
84;Activated charcoal absorbent dressing 10cm x 20cm;1;2018-11-07;2018-11-07
85;Activated charcoal absorbent dressing 15cm x 20cm;1;2018-11-07;2018-11-07
86;Activated charcoal absorbent dressing 8cm x 15cm oval;1;2018-11-07;2018-11-07
87;Adapalene 0.1% / Benzoyl peroxide 2.5% gel;1;2018-11-07;2018-11-07
88;Adapalene 0.1% cream;1;2018-11-07;2018-11-07
89;Adapalene 0.1% gel;1;2018-11-07;2018-11-07
90;Adenosine 6mg/2ml solution for injection vials;1;2018-11-07;2018-11-07
91;Adhesive dressing remover sterile foam applicator;1;2018-11-07;2018-11-07
92;Adhesive dressing remover sterile sachets;1;2018-11-07;2018-11-07
93;Adhesive dressing remover sterile spray;1;2018-11-07;2018-11-07
94;Adhesive dressing remover sterile wipes;1;2018-11-07;2018-11-07
95;Adhesive felt 10.5cm x 8.3cm x 5mm;1;2018-11-07;2018-11-07
96;Adhesive felt 10cm x 22.5cm x 5mm;1;2018-11-07;2018-11-07
97;Adrenaline (base) 150micrograms/0.15ml (1 in 1,000) solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
98;Adrenaline (base) 150micrograms/0.3ml (1 in 2,000) solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
99;Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection ampoules;1;2018-11-07;2018-11-07
100;Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes;1;2018-11-07;2018-11-07
101;Adrenaline (base) 300micrograms/0.3ml (1 in 1,000) solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
102;Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection ampoules;1;2018-11-07;2018-11-07
103;Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
104;Agomelatine 25mg tablets;1;2018-11-07;2018-11-07
105;Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
106;Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
107;Alclometasone 0.05% cream;1;2018-11-07;2018-11-07
108;Alclometasone 0.05% ointment;1;2018-11-07;2018-11-07
109;Alcohol impregnated swabs;1;2018-11-07;2018-11-07
110;Aldioxa 0.22% / Chloroxylenol 0.5% powder;1;2018-11-07;2018-11-07
111;Alendronic acid 10mg tablets;1;2018-11-07;2018-11-07
112;Alendronic acid 70mg / Colecalciferol 70microgram tablets;1;2018-11-07;2018-11-07
113;Alendronic acid 70mg effervescent tablets sugar free;1;2018-11-07;2018-11-07
114;Alendronic acid 70mg tablets;1;2018-11-07;2018-11-07
115;Alendronic acid 70mg/100ml oral solution unit dose sugar free;1;2018-11-07;2018-11-07
116;Alfacalcidol 1microgram capsules;1;2018-11-07;2018-11-07
117;Alfacalcidol 1micrograms/0.5ml solution for injection ampoules;1;2018-11-07;2018-11-07
118;Alfacalcidol 250nanogram capsules;1;2018-11-07;2018-11-07
119;Alfacalcidol 2micrograms/1ml solution for injection ampoules;1;2018-11-07;2018-11-07
120;Alfacalcidol 2micrograms/ml oral drops sugar free;1;2018-11-07;2018-11-07
121;Alfacalcidol 500nanogram capsules;1;2018-11-07;2018-11-07
122;Alfentanil 1mg/2ml solution for injection ampoules;1;2018-11-07;2018-11-07
123;Alfentanil 5mg/1ml solution for injection ampoules;1;2018-11-07;2018-11-07
124;Alfuzosin 10mg modified-release tablets;1;2018-11-07;2018-11-07
125;Alfuzosin 2.5mg tablets;1;2018-11-07;2018-11-07
126;Alginate dressing sterile 10cm x 10cm;1;2018-11-07;2018-11-07
127;Alginate dressing sterile 10cm x 20cm;1;2018-11-07;2018-11-07
128;Alginate dressing sterile 15cm x 25cm;1;2018-11-07;2018-11-07
129;Alginate dressing sterile 5cm x 5cm;1;2018-11-07;2018-11-07
130;Alginate dressing sterile 7.5cm x 12cm;1;2018-11-07;2018-11-07
131;Alginate raft-forming oral suspension sugar free;1;2018-11-07;2018-11-07
132;Alimemazine 10mg tablets;1;2018-11-07;2018-11-07
133;Alimemazine 30mg/5ml oral solution;1;2018-11-07;2018-11-07
134;Alimemazine 7.5mg/5ml oral solution;1;2018-11-07;2018-11-07
135;Alirocumab 75mg/1ml solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
136;Aliskiren 150mg tablets;1;2018-11-07;2018-11-07
137;Aliskiren 300mg tablets;1;2018-11-07;2018-11-07
138;Allantoin 0.5% / Lidocaine 0.5% ointment;1;2018-11-07;2018-11-07
139;Allantoin 10.25mg / Lidocaine 10.25mg suppositories;1;2018-11-07;2018-11-07
140;Allopurinol 100mg tablets;1;2018-11-07;2018-11-07
141;Allopurinol 300mg tablets;1;2018-11-07;2018-11-07
142;Almond oil liquid;1;2018-11-07;2018-11-07
143;Almotriptan 12.5mg tablets;1;2018-11-07;2018-11-07
144;Alogliptin 12.5mg / Metformin 1g tablets;1;2018-11-07;2018-11-07
145;Alogliptin 12.5mg tablets;1;2018-11-07;2018-11-07
146;Alogliptin 25mg tablets;1;2018-11-07;2018-11-07
147;Alogliptin 6.25mg tablets;1;2018-11-07;2018-11-07
148;Alpha tocopheryl acetate 100mg chewable tablets;1;2018-11-07;2018-11-07
149;Alpha tocopheryl acetate 500mg/5ml oral suspension;1;2018-11-07;2018-11-07
150;Alprostadil 10microgram powder and solvent for solution for injection cartridges;1;2018-11-07;2018-11-07
151;Alprostadil 10microgram powder and solvent for solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
152;Alprostadil 10microgram powder and solvent for solution for injection vials;1;2018-11-07;2018-11-07
153;Alprostadil 1mg urethral sticks;1;2018-11-07;2018-11-07
154;Alprostadil 20microgram powder and solvent for solution for injection cartridges;1;2018-11-07;2018-11-07
155;Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
156;Alprostadil 20microgram powder and solvent for solution for injection vials;1;2018-11-07;2018-11-07
157;Alprostadil 250microgram urethral sticks;1;2018-11-07;2018-11-07
158;Alprostadil 3mg/g cream;1;2018-11-07;2018-11-07
159;Alprostadil 40microgram powder and solvent for solution for injection cartridges;1;2018-11-07;2018-11-07
160;Alprostadil 40microgram powder and solvent for solution for injection vials;1;2018-11-07;2018-11-07
161;Alprostadil 500microgram urethral sticks;1;2018-11-07;2018-11-07
162;Alprostadil 5microgram powder and solvent for solution for injection vials;1;2018-11-07;2018-11-07
163;Alum powder;1;2018-11-07;2018-11-07
164;Aluminium chloride 20% solution;1;2018-11-07;2018-11-07
165;Aluminium chloride 20% spray;1;2018-11-07;2018-11-07
166;Aluminium hydroxide 475mg capsules;1;2018-11-07;2018-11-07
167;Aluminium oxide 38% paste;1;2018-11-07;2018-11-07
168;Alverine 120mg capsules;1;2018-11-07;2018-11-07
169;Alverine 60mg / Simeticone 300mg capsules;1;2018-11-07;2018-11-07
170;Alverine 60mg capsules;1;2018-11-07;2018-11-07
171;Amantadine 100mg capsules;1;2018-11-07;2018-11-07
172;Amantadine 50mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
173;Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets;1;2018-11-07;2018-11-07
174;Amiloride 5mg / Bumetanide 1mg tablets;1;2018-11-07;2018-11-07
175;Amiloride 5mg tablets;1;2018-11-07;2018-11-07
176;Amiloride 5mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
177;Aminophylline 250mg/10ml solution for injection ampoules;1;2018-11-07;2018-11-07
178;Aminophylline hydrate 225mg modified-release tablets;1;2018-11-07;2018-11-07
179;Aminophylline hydrate 350mg modified-release tablets;1;2018-11-07;2018-11-07
180;Amiodarone 100mg tablets;1;2018-11-07;2018-11-07
181;Amiodarone 150mg/3ml solution for injection ampoules;1;2018-11-07;2018-11-07
182;Amiodarone 200mg tablets;1;2018-11-07;2018-11-07
183;Amiodarone 300mg/10ml solution for injection pre-filled syringes;1;2018-11-07;2018-11-07
184;Amisulpride 100mg tablets;1;2018-11-07;2018-11-07
185;Amisulpride 100mg/ml oral solution sugar free;1;2018-11-07;2018-11-07
186;Amisulpride 200mg tablets;1;2018-11-07;2018-11-07
187;Amisulpride 400mg tablets;1;2018-11-07;2018-11-07
188;Amisulpride 50mg tablets;1;2018-11-07;2018-11-07
189;Amitriptyline 10mg tablets;1;2018-11-07;2018-11-07
190;Amitriptyline 10mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
191;Amitriptyline 25mg / Perphenazine 2mg tablets;1;2018-11-07;2018-11-07
192;Amitriptyline 25mg tablets;1;2018-11-07;2018-11-07
193;Amitriptyline 25mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
194;Amitriptyline 50mg tablets;1;2018-11-07;2018-11-07
195;Amitriptyline 50mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
196;Amlodipine 10mg / Valsartan 160mg tablets;1;2018-11-07;2018-11-07
197;Amlodipine 10mg tablets;1;2018-11-07;2018-11-07
198;Amlodipine 10mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
199;Amlodipine 5mg / Valsartan 160mg tablets;1;2018-11-07;2018-11-07
200;Amlodipine 5mg / Valsartan 80mg tablets;1;2018-11-07;2018-11-07
201;Amlodipine 5mg tablets;1;2018-11-07;2018-11-07
202;Amlodipine 5mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
203;Ammonia and Ipecacuanha mixture;1;2018-11-07;2018-11-07
204;Ammonia solution aromatic;1;2018-11-07;2018-11-07
205;Ammonium bicarbonate powder;1;2018-11-07;2018-11-07
206;Amobarbital sodium 200mg capsules;1;2018-11-07;2018-11-07
207;Amobarbital sodium 60mg capsules;1;2018-11-07;2018-11-07
208;Amorolfine 5% medicated nail lacquer;1;2018-11-07;2018-11-07
209;Amoxicillin 125mg/1.25ml oral suspension paediatric;1;2018-11-07;2018-11-07
210;Amoxicillin 125mg/5ml oral suspension;1;2018-11-07;2018-11-07
211;Amoxicillin 125mg/5ml oral suspension sugar free;1;2018-11-07;2018-11-07
212;Amoxicillin 1g powder for solution for injection vials;1;2018-11-07;2018-11-07
213;Amoxicillin 250mg capsules;1;2018-11-07;2018-11-07
214;Amoxicillin 250mg/5ml oral suspension;1;2018-11-07;2018-11-07
215;Amoxicillin 250mg/5ml oral suspension sugar free;1;2018-11-07;2018-11-07
216;Amoxicillin 3g oral powder sachets sugar free;1;2018-11-07;2018-11-07
217;Amoxicillin 500mg capsules;1;2018-11-07;2018-11-07
218;Amoxicillin 500mg powder for solution for injection vials;1;2018-11-07;2018-11-07
219;Ampicillin 125mg/5ml oral suspension;1;2018-11-07;2018-11-07
220;Ampicillin 250mg capsules;1;2018-11-07;2018-11-07
221;Ampicillin 250mg/5ml oral suspension;1;2018-11-07;2018-11-07
222;Ampicillin 500mg capsules;1;2018-11-07;2018-11-07
223;Ampicillin 500mg powder for solution for injection vials;1;2018-11-07;2018-11-07
224;Anal irrigation systems;1;2018-11-07;2018-11-07
225;Anal plugs;1;2018-11-07;2018-11-07
226;Anastrozole 1mg tablets;1;2018-11-07;2018-11-07
227;Animal wool BP 1988;1;2018-11-07;2018-11-07
228;Anise oil liquid;1;2018-11-07;2018-11-07
229;Antazoline 0.5% / Xylometazoline 0.05% eye drops;1;2018-11-07;2018-11-07
230;Apis mellifica 3x / Belladonna 3x drops;1;2018-11-07;2018-11-07
231;Apixaban 2.5mg tablets;1;2018-11-07;2018-11-07
232;Apixaban 5mg tablets;1;2018-11-07;2018-11-07
233;Apomorphine 20mg/2ml solution for injection ampoules;1;2018-11-07;2018-11-07
234;Apomorphine 30mg/3ml solution for injection pre-filled disposable devices;1;2018-11-07;2018-11-07
235;Apomorphine 50mg/10ml solution for infusion pre-filled syringes;1;2018-11-07;2018-11-07
236;Apomorphine 50mg/5ml solution for injection ampoules;1;2018-11-07;2018-11-07
237;Apraclonidine 1% eye drops 0.25ml unit dose preservative free;1;2018-11-07;2018-11-07
238;Apraclonidine 5mg/ml eye drops;1;2018-11-07;2018-11-07
239;Aprepitant 125mg capsules;1;2018-11-07;2018-11-07
240;Aprepitant 80mg capsules;1;2018-11-07;2018-11-07
241;Aqueous calamine cream;1;2018-11-07;2018-11-07
242;Aqueous cream;1;2018-11-07;2018-11-07
243;Arachis oil 130ml enema;1;2018-11-07;2018-11-07
244;Arachis oil liquid;1;2018-11-07;2018-11-07
245;Aripiprazole 10mg orodispersible tablets sugar free;1;2018-11-07;2018-11-07
246;Aripiprazole 10mg tablets;1;2018-11-07;2018-11-07
247;Aripiprazole 15mg orodispersible tablets sugar free;1;2018-11-07;2018-11-07
248;Aripiprazole 15mg tablets;1;2018-11-07;2018-11-07
249;Aripiprazole 1mg/ml oral solution;1;2018-11-07;2018-11-07
250;Aripiprazole 30mg tablets;1;2018-11-07;2018-11-07
251;Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes;1;2018-11-07;2018-11-07
252;Aripiprazole 400mg powder and solvent for suspension for injection vials;1;2018-11-07;2018-11-07
253;Aripiprazole 5mg tablets;1;2018-11-07;2018-11-07
254;Aripiprazole 9.75mg/1.3ml solution for injection vials;1;2018-11-07;2018-11-07
255;Arm sling web adjustable;1;2018-11-07;2018-11-07
256;Arnica / Urtica urens ointment;1;2018-11-07;2018-11-07
257;Arnica montana 0.9% cream;1;2018-11-07;2018-11-07
258;Arnica montana 5% ointment;1;2018-11-07;2018-11-07
259;Arnica montana gel;1;2018-11-07;2018-11-07
260;Artemether 20mg / Lumefantrine 120mg tablets;1;2018-11-07;2018-11-07
261;Artificial eye lubricants;1;2018-11-07;2018-11-07
262;Artificial saliva gel;1;2018-11-07;2018-11-07
263;Artificial saliva lozenges;1;2018-11-07;2018-11-07
264;Artificial saliva pastilles;1;2018-11-07;2018-11-07
265;Artificial saliva protective spray;1;2018-11-07;2018-11-07
266;Artificial saliva spray;1;2018-11-07;2018-11-07
267;Ascorbic acid 100mg chewable tablets;1;2018-11-07;2018-11-07
268;Ascorbic acid 100mg tablets;1;2018-11-07;2018-11-07
269;Ascorbic acid 1g / Zinc citrate 10mg effervescent tablets sugar free;1;2018-11-07;2018-11-07
270;Ascorbic acid 1g chewable tablets;1;2018-11-07;2018-11-07
271;Ascorbic acid 1g effervescent tablets;1;2018-11-07;2018-11-07
272;Ascorbic acid 1g modified-release tablets;1;2018-11-07;2018-11-07
273;Ascorbic acid 200mg tablets;1;2018-11-07;2018-11-07
274;Ascorbic acid 500mg chewable tablets;1;2018-11-07;2018-11-07
275;Ascorbic acid 500mg chewable tablets sugar free;1;2018-11-07;2018-11-07
276;Ascorbic acid 500mg effervescent tablets;1;2018-11-07;2018-11-07
277;Ascorbic acid 500mg modified-release tablets;1;2018-11-07;2018-11-07
278;Ascorbic acid 500mg tablets;1;2018-11-07;2018-11-07
279;Ascorbic acid 500mg/5ml solution for injection ampoules;1;2018-11-07;2018-11-07
280;Ascorbic acid 50mg tablets;1;2018-11-07;2018-11-07
281;Ascorbic acid powder;1;2018-11-07;2018-11-07
282;Asenapine 10mg sublingual tablets sugar free;1;2018-11-07;2018-11-07
283;Asenapine 5mg sublingual tablets sugar free;1;2018-11-07;2018-11-07
284;Aspirin 150mg suppositories;1;2018-11-07;2018-11-07
285;Aspirin 300mg dispersible tablets;1;2018-11-07;2018-11-07
286;Aspirin 300mg gastro-resistant tablets;1;2018-11-07;2018-11-07
287;Aspirin 300mg suppositories;1;2018-11-07;2018-11-07
288;Aspirin 300mg tablets;1;2018-11-07;2018-11-07
289;Aspirin 500mg / Codeine 8mg dispersible tablets sugar free;1;2018-11-07;2018-11-07
290;Aspirin 75mg dispersible tablets;1;2018-11-07;2018-11-07
291;Aspirin 75mg gastro-resistant tablets;1;2018-11-07;2018-11-07
292;Aspirin 75mg tablets;1;2018-11-07;2018-11-07
293;Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free;1;2018-11-07;2018-11-07
294;Aspirin powder;1;2018-11-07;2018-11-07
295;Atenolol 100mg tablets;1;2018-11-07;2018-11-07
296;Atenolol 25mg tablets;1;2018-11-07;2018-11-07
297;Atenolol 25mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
298;Atenolol 50mg / Nifedipine 20mg modified-release capsules;1;2018-11-07;2018-11-07
299;Atenolol 50mg tablets;1;2018-11-07;2018-11-07
300;Atomoxetine 100mg capsules;1;2018-11-07;2018-11-07
301;Atomoxetine 10mg capsules;1;2018-11-07;2018-11-07
302;Atomoxetine 18mg capsules;1;2018-11-07;2018-11-07
303;Atomoxetine 25mg capsules;1;2018-11-07;2018-11-07
304;Atomoxetine 40mg capsules;1;2018-11-07;2018-11-07
305;Atomoxetine 4mg/1ml oral solution sugar free;1;2018-11-07;2018-11-07
306;Atomoxetine 60mg capsules;1;2018-11-07;2018-11-07
307;Atomoxetine 80mg capsules;1;2018-11-07;2018-11-07
308;Atorvastatin 10mg chewable tablets sugar free;1;2018-11-07;2018-11-07
309;Atorvastatin 10mg tablets;1;2018-11-07;2018-11-07
310;Atorvastatin 20mg chewable tablets sugar free;1;2018-11-07;2018-11-07
311;Atorvastatin 20mg tablets;1;2018-11-07;2018-11-07
312;Atorvastatin 30mg tablets;1;2018-11-07;2018-11-07
313;Atorvastatin 40mg tablets;1;2018-11-07;2018-11-07
314;Atorvastatin 60mg tablets;1;2018-11-07;2018-11-07
315;Atorvastatin 80mg tablets;1;2018-11-07;2018-11-07
316;Atovaquone 750mg/5ml oral suspension sugar free;1;2018-11-07;2018-11-07
317;Atropine 1% eye drops;1;2018-11-07;2018-11-07
318;Atropine 1% eye drops 0.5ml unit dose preservative free;1;2018-11-07;2018-11-07
319;Atropine 1mg/1ml solution for injection ampoules;1;2018-11-07;2018-11-07
320;Atropine 1mg/5ml solution for injection pre-filled syringes;1;2018-11-07;2018-11-07
321;Atropine 3mg/10ml solution for injection pre-filled syringes;1;2018-11-07;2018-11-07
322;Atropine 400micrograms/1ml solution for injection ampoules;1;2018-11-07;2018-11-07
323;Atropine 600microgram tablets;1;2018-11-07;2018-11-07
324;Atropine 600micrograms/1ml solution for injection ampoules;1;2018-11-07;2018-11-07
325;Auto inflation device;1;2018-11-07;2018-11-07
326;Avanafil 100mg tablets;1;2018-11-07;2018-11-07
327;Avanafil 200mg tablets;1;2018-11-07;2018-11-07
328;Avanafil 50mg tablets;1;2018-11-07;2018-11-07
329;Azathioprine 25mg tablets;1;2018-11-07;2018-11-07
330;Azathioprine 50mg powder for solution for injection vials;1;2018-11-07;2018-11-07
331;Azathioprine 50mg tablets;1;2018-11-07;2018-11-07
332;Azelaic acid 15% gel;1;2018-11-07;2018-11-07
333;Azelaic acid 20% cream;1;2018-11-07;2018-11-07
334;Azelastine 0.05% eye drops;1;2018-11-07;2018-11-07
335;Azelastine 140micrograms/dose nasal spray;1;2018-11-07;2018-11-07
336;Azilsartan medoxomil 20mg tablets;1;2018-11-07;2018-11-07
337;Azilsartan medoxomil 40mg tablets;1;2018-11-07;2018-11-07
338;Azilsartan medoxomil 80mg tablets;1;2018-11-07;2018-11-07
339;Azithromycin 15mg/g eye drops 0.25g unit dose preservative free;1;2018-11-07;2018-11-07
340;Azithromycin 200mg/5ml oral suspension;1;2018-11-07;2018-11-07
341;Azithromycin 250mg capsules;1;2018-11-07;2018-11-07
342;Azithromycin 250mg tablets;1;2018-11-07;2018-11-07
343;Azithromycin 500mg tablets;1;2018-11-07;2018-11-07
344;Aztreonam 2g powder for solution for injection vials;1;2018-11-07;2018-11-07
345;Baclofen 10mg tablets;1;2018-11-07;2018-11-07
346;Baclofen 5mg/5ml oral solution sugar free;1;2018-11-07;2018-11-07
347;Balsalazide 750mg capsules;1;2018-11-07;2018-11-07
348;Bambuterol 10mg tablets;1;2018-11-07;2018-11-07
349;Bambuterol 20mg tablets;1;2018-11-07;2018-11-07
350;Beclometasone 0.025% cream;1;2018-11-07;2018-11-07
351;Beclometasone 0.025% ointment;1;2018-11-07;2018-11-07
352;Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
353;Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free;1;2018-11-07;2018-11-07
354;Beclometasone 100micrograms/dose breath actuated inhaler CFC free;1;2018-11-07;2018-11-07
355;Beclometasone 100micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
356;Beclometasone 100micrograms/dose inhaler CFC free;1;2018-11-07;2018-11-07
357;Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
358;Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free;1;2018-11-07;2018-11-07
359;Beclometasone 200micrograms/dose dry powder inhaler;1;2018-11-07;2018-11-07
360;Beclometasone 200micrograms/dose inhaler CFC free;1;2018-11-07;2018-11-07
