ID_AMP_NM;AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;VERSION;DATE_FROM;DATE_TO
44;;;;5mg/ml;1;2018-11-09;2018-11-09
45;;;;5microgram/hour;1;2018-11-09;2018-11-09
46;;;;600mg;1;2018-11-09;2018-11-09
47;;;;60mg;1;2018-11-09;2018-11-09
48;;;;63%;1;2018-11-09;2018-11-09
49;;;;63.40%;1;2018-11-09;2018-11-09
50;;;;7.5mg;1;2018-11-09;2018-11-09
51;;;;7.5mg/0.15ml;1;2018-11-09;2018-11-09
52;;;;7.5mg/0.3ml;1;2018-11-09;2018-11-09
53;;;;75mg;1;2018-11-09;2018-11-09
54;;;;75mg /  18.75mg /  200mg;1;2018-11-09;2018-11-09
55;;;;8.4g;1;2018-11-09;2018-11-09
56;;;;800unit;1;2018-11-09;2018-11-09
57;;;;82.95% /  15%;1;2018-11-09;2018-11-09
58;;;;90mg;1;2018-11-09;2018-11-09
59;;;AMPOULE;5MG/1ML;1;2018-11-09;2018-11-09
60;;;AMPOULES;250MCG/ML;1;2018-11-09;2018-11-09
61;;;ANKLET;;1;2018-11-09;2018-11-09
62;;;ANKLET;STOCK SIZ;1;2018-11-09;2018-11-09
63;;;B/K X/M C/TOE;XS-L;1;2018-11-09;2018-11-09
64;;;BANDAGE;;1;2018-11-09;2018-11-09
65;;;BANDAGE;10CMX4.5M;1;2018-11-09;2018-11-09
66;;;BANDAGE;10CMX5M;1;2018-11-09;2018-11-09
67;;;BANDAGE;15CMX4.5M;1;2018-11-09;2018-11-09
68;;;BANDAGE;2.5CMX5M;1;2018-11-09;2018-11-09
69;;;BANDAGE;5CMX4.5M;1;2018-11-09;2018-11-09
70;;;BANDAGE;5CMX5M;1;2018-11-09;2018-11-09
71;;;BANDAGE;7.5CMX4.5;1;2018-11-09;2018-11-09
72;;;BANDAGE;7.5CMX5M;1;2018-11-09;2018-11-09
73;;;BANDAGE;EX.LARGE;1;2018-11-09;2018-11-09
74;;;BANDAGE;LARGE;1;2018-11-09;2018-11-09
75;;;BANDAGE;MEDIUM;1;2018-11-09;2018-11-09
76;;;BANDAGE;SMALL;1;2018-11-09;2018-11-09
77;;;CAPSULE;4MG;1;2018-11-09;2018-11-09
78;;;CAPSULES;2MG;1;2018-11-09;2018-11-09
79;;;CARTON;25G;1;2018-11-09;2018-11-09
80;;;CARTRIDGE;10MG;1;2018-11-09;2018-11-09
81;;;CATHETER;;1;2018-11-09;2018-11-09
82;;;CHEWING GUM;2MG;1;2018-11-09;2018-11-09
83;;;CHIROPODY;WALLET 9;1;2018-11-09;2018-11-09
84;;;COTTON WOOL;100G;1;2018-11-09;2018-11-09
85;;;COTTON WOOL;25G;1;2018-11-09;2018-11-09
86;;;COTTON WOOL;500G;1;2018-11-09;2018-11-09
87;;;CREAM;;1;2018-11-09;2018-11-09
88;;;CRYSTALS;;1;2018-11-09;2018-11-09
89;;;CYLINDER;2122L;1;2018-11-09;2018-11-09
90;;;CYLINDER;419L;1;2018-11-09;2018-11-09
91;;;Capsule;;1;2018-11-09;2018-11-09
92;;;Capsule;1000unit;1;2018-11-09;2018-11-09
93;;;Capsule;100mg;1;2018-11-09;2018-11-09
94;;;Capsule;10mg;1;2018-11-09;2018-11-09
95;;;Capsule;10mg /  100mg;1;2018-11-09;2018-11-09
96;;;Capsule;200mg;1;2018-11-09;2018-11-09
97;;;Capsule;20mg;1;2018-11-09;2018-11-09
98;;;Capsule;25000unit;1;2018-11-09;2018-11-09
99;;;Capsule;25mg;1;2018-11-09;2018-11-09
100;;;Capsule;25mg/200mg;1;2018-11-09;2018-11-09
101;;;Capsule;290microgram;1;2018-11-09;2018-11-09
102;;;Capsule;2mg;1;2018-11-09;2018-11-09
103;;;Capsule;30mg;1;2018-11-09;2018-11-09
104;;;Capsule;37.5mg/500mg;1;2018-11-09;2018-11-09
105;;;Capsule;400mg;1;2018-11-09;2018-11-09
106;;;Capsule;400unit;1;2018-11-09;2018-11-09
107;;;Capsule;40mg;1;2018-11-09;2018-11-09
108;;;Capsule;50000unit;1;2018-11-09;2018-11-09
109;;;Capsule;50mg;1;2018-11-09;2018-11-09
110;;;Capsule;5600unit;1;2018-11-09;2018-11-09
111;;;Capsule;5mg /  100mg;1;2018-11-09;2018-11-09
112;;;Capsule;60mg;1;2018-11-09;2018-11-09
113;;;Capsule;60mg /  300mg;1;2018-11-09;2018-11-09
114;;;Capsule;667mg;1;2018-11-09;2018-11-09
115;;;Catheter valves;CV3808;1;2018-11-09;2018-11-09
116;;;Chewable tablet;1000unit /  2.5g;1;2018-11-09;2018-11-09
117;;;Chewable tablet;25mg;1;2018-11-09;2018-11-09
118;;;Chewable tablet;500mg /  100mg;1;2018-11-09;2018-11-09
119;;;Chewable tablet;50mg;1;2018-11-09;2018-11-09
120;;;Colostomy bags;9010-10,Cut to fit 10mm-55mm/70mm,Opaque,midi;1;2018-11-09;2018-11-09
121;;;Colostomy bags;9050-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi;1;2018-11-09;2018-11-09
122;;;Colostomy bags;9310-37,Cut to fit 10mm-37mm,Opaque,midi;1;2018-11-09;2018-11-09
123;;;Colostomy bags;9310-46,Cut to fit 10mm-46mm,Opaque,midi;1;2018-11-09;2018-11-09
124;;;Colostomy bags;9310-59,Cut to fit 10mm-59mm,Opaque,maxi;1;2018-11-09;2018-11-09
125;;;Colostomy bags;971-54,Cut to fit 15mm-54mm,Opaque,maxi;1;2018-11-09;2018-11-09
126;;;ConvaTec Ltd;Cut to fit 20mm-70mm, Opaque, 421686,;1;2018-11-09;2018-11-09
127;;;Cream;0;1;2018-11-09;2018-11-09
128;;;Cream;0.01%;1;2018-11-09;2018-11-09
129;;;Cream;10mg/g;1;2018-11-09;2018-11-09
130;;;Cream;15% /  6%;1;2018-11-09;2018-11-09
131;;;Cream;2%;1;2018-11-09;2018-11-09
132;;;Cream;2.5% /  2.5%;1;2018-11-09;2018-11-09
133;;;Cream;3%;1;2018-11-09;2018-11-09
134;;;Cream;3.00%;1;2018-11-09;2018-11-09
135;;;Cream;4%;1;2018-11-09;2018-11-09
136;;;Cream;4.00%;1;2018-11-09;2018-11-09
137;;;Cream;5%;1;2018-11-09;2018-11-09
138;;;Cream;5.00%;1;2018-11-09;2018-11-09
139;;;Cutaneous emulsion;;1;2018-11-09;2018-11-09
140;;;DRESSING;;1;2018-11-09;2018-11-09
141;;;DRESSING;NO.1;1;2018-11-09;2018-11-09
142;;;DRESSING;SPEC 35;1;2018-11-09;2018-11-09
143;;;DROPPER;;1;2018-11-09;2018-11-09
144;;;DROPS;0.3MG/ML;1;2018-11-09;2018-11-09
145;;;Dansac Ltd;Cut to fit 15mm-34mm, Beige, 3071-34,;1;2018-11-09;2018-11-09
146;;;Dansac Ltd;Cut to fit 15mm-44mm, Beige, 3071-44,;1;2018-11-09;2018-11-09
147;;;Dispersible tablet;50mg;1;2018-11-09;2018-11-09
148;;;DreamSkin Health Ltd;3-4 years girl;1;2018-11-09;2018-11-09
149;;;DreamSkin Health Ltd;5-6 years girl;1;2018-11-09;2018-11-09
150;;;ELASTIC HOISERY;;1;2018-11-09;2018-11-09
151;;;ELASTIC HOSIERY;;1;2018-11-09;2018-11-09
152;;;EYE BATH;PLASTIC;1;2018-11-09;2018-11-09
153;;;EYE DROP;300microgram/ml;1;2018-11-09;2018-11-09
154;;;EYE SHADES;;1;2018-11-09;2018-11-09
155;;;Ear drops;0.3% /  0.1%;1;2018-11-09;2018-11-09
156;;;Effervescent tablet;;1;2018-11-09;2018-11-09
157;;;Effervescent tablet;1.25g;1;2018-11-09;2018-11-09
158;;;Effervescent tablet;125mg;1;2018-11-09;2018-11-09
159;;;Effervescent tablet;150mg;1;2018-11-09;2018-11-09
160;;;Effervescent tablet;2.263g /  1.75g;1;2018-11-09;2018-11-09
161;;;Effervescent tablet;250mg;1;2018-11-09;2018-11-09
162;;;Effervescent tablet;300mg;1;2018-11-09;2018-11-09
163;;;Effervescent tablet;400unit /  1.5g;1;2018-11-09;2018-11-09
164;;;Effervescent tablet;70mg;1;2018-11-09;2018-11-09
165;;;Enema;2.5mg/1.25ml;1;2018-11-09;2018-11-09
166;;;Enema;2g/59ml;1;2018-11-09;2018-11-09
167;;;Eye drops;0;1;2018-11-09;2018-11-09
168;;;Eye drops;0.3% /  0.1%;1;2018-11-09;2018-11-09
169;;;Eye drops;0.32%;1;2018-11-09;2018-11-09
170;;;Eye drops;0.44%;1;2018-11-09;2018-11-09
171;;;Eye drops;0.50%;1;2018-11-09;2018-11-09
172;;;Eye drops;1%;1;2018-11-09;2018-11-09
173;;;Eye drops;1.00%;1;2018-11-09;2018-11-09
174;;;Eye drops;10mg/ml;1;2018-11-09;2018-11-09
175;;;Eye drops;15microgram/;1;2018-11-09;2018-11-09
176;;;Eye drops;15microgram/ml;1;2018-11-09;2018-11-09
177;;;Eye drops;15microgram/ml /  5mg/ml;1;2018-11-09;2018-11-09
178;;;Eye drops;1m/;1;2018-11-09;2018-11-09
179;;;Eye drops;2%;1;2018-11-09;2018-11-09
180;;;Eye drops;2% /  0.5%;1;2018-11-09;2018-11-09
181;;;Eye drops;2.00%;1;2018-11-09;2018-11-09
182;;;Eye drops;2.5mg/ml;1;2018-11-09;2018-11-09
183;;;Eye drops;300microgram/ml / 5mg/ml;1;2018-11-09;2018-11-09
184;;;Eye drops;50microgram/;1;2018-11-09;2018-11-09
185;;;Eye drops;50microgram/ml;1;2018-11-09;2018-11-09
186;;;Eye drops;5mg/ml;1;2018-11-09;2018-11-09
187;;;Eye drops;900microgram/ml;1;2018-11-09;2018-11-09
188;;;FELT;10.5X8.3;1;2018-11-09;2018-11-09
189;;;FELT;10X22.5X5;1;2018-11-09;2018-11-09
190;;;FINGER COTS;PACK OF10;1;2018-11-09;2018-11-09
191;;;FOAM;22.5X45CM;1;2018-11-09;2018-11-09
192;;;FOOD;125G;1;2018-11-09;2018-11-09
193;;;Foam;50microgram/g /  500microgram/g;1;2018-11-09;2018-11-09
194;;;GAMGEE;500G;1;2018-11-09;2018-11-09
195;;;GAUZE;1.25CMX5M;1;2018-11-09;2018-11-09
196;;;GAUZE;2.5CMX5M;1;2018-11-09;2018-11-09
197;;;GAUZE;25M;1;2018-11-09;2018-11-09
198;;;GAUZE;90CM X 1M;1;2018-11-09;2018-11-09
199;;;GAUZE;90CM X 3M;1;2018-11-09;2018-11-09
200;;;GAUZE;90CM X 5M;1;2018-11-09;2018-11-09
201;;;GAUZE;90CM X10M;1;2018-11-09;2018-11-09
202;;;GLOVES;PACK OF25;1;2018-11-09;2018-11-09
203;;;GUM;2MG;1;2018-11-09;2018-11-09
204;;;Gastro-resistant tablet;180mg;1;2018-11-09;2018-11-09
205;;;Gastro-resistant tablet;360mg;1;2018-11-09;2018-11-09
206;;;Gastro-resistant tablet;500mg;1;2018-11-09;2018-11-09
207;;;Gastroenteral liquid;10 x 200ml;1;2018-11-09;2018-11-09
208;;;Gel;;1;2018-11-09;2018-11-09
209;;;Gel;0;1;2018-11-09;2018-11-09
210;;;Gel;0.1% /  2.5%;1;2018-11-09;2018-11-09
211;;;Gel;0.75%;1;2018-11-09;2018-11-09
212;;;Gel;1%;1;2018-11-09;2018-11-09
213;;;Gel;2%;1;2018-11-09;2018-11-09
214;;;Gel;2.00%;1;2018-11-09;2018-11-09
215;;;Gel;2.32%;1;2018-11-09;2018-11-09
216;;;Gel;2.50%;1;2018-11-09;2018-11-09
217;;;Gel;26%;1;2018-11-09;2018-11-09
218;;;Gel;26.00%;1;2018-11-09;2018-11-09
219;;;Gel;4%;1;2018-11-09;2018-11-09
220;;;Gel;50mg/5g;1;2018-11-09;2018-11-09
221;;;Granules;100mg;1;2018-11-09;2018-11-09
222;;;Granules;3g;1;2018-11-09;2018-11-09
223;;;HOSIERY;;1;2018-11-09;2018-11-09
224;;;Haddenham Healthcare Ltd;Class 1 (18-21mmHg),  , SC-10;1;2018-11-09;2018-11-09
225;;;Ileostomy bags;9150-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi;1;2018-11-09;2018-11-09
226;;;Ileostomy bags;9230-10,Cut to fit 10mm-55mm/70mm,Opaque,midi;1;2018-11-09;2018-11-09
227;;;Ileostomy bags;9410-37,Cut to fit 10mm-37mm,Opaque,midi;1;2018-11-09;2018-11-09
228;;;Ileostomy bags;9410-46,Cut to fit 10mm-46mm,Opaque,midi;1;2018-11-09;2018-11-09
229;;;Ileostomy bags;9410-59,Cut to fit 10mm-59mm,Opaque,maxi;1;2018-11-09;2018-11-09
230;;;Ileostomy bags;981-24,Cut to fit 15mm-24mm,Opaque,midi;1;2018-11-09;2018-11-09
231;;;Ileostomy bags;981-25,25mm,Opaque,midi;1;2018-11-09;2018-11-09
232;;;Ileostomy bags;981-30,30mm,Opaque,midi;1;2018-11-09;2018-11-09
233;;;Ileostomy bags;981-34,Cut to fit 15mm-34mm,Opaque,midi;1;2018-11-09;2018-11-09
234;;;Ileostomy bags;981-35,35mm,Opaque,midi;1;2018-11-09;2018-11-09
235;;;Ileostomy bags;981-54,Cut to fit 15mm-54mm,Opaque,maxi;1;2018-11-09;2018-11-09
236;;;Impregnated dressing;7.5CM X 50CM;1;2018-11-09;2018-11-09
237;;;Inhalation powder;100microgram/dose /  6microgram/dose;1;2018-11-09;2018-11-09
238;;;Inhalation powder;184microgram/dose /  22microgram/dose;1;2018-11-09;2018-11-09
239;;;Inhalation powder;18microgram;1;2018-11-09;2018-11-09
240;;;Inhalation powder;200microgram/dose;1;2018-11-09;2018-11-09
241;;;Inhalation powder;200microgram/dose /  6microgram/dose;1;2018-11-09;2018-11-09
242;;;Inhalation powder;250microgram/dose;1;2018-11-09;2018-11-09
243;;;Inhalation powder;375microgram/dose;1;2018-11-09;2018-11-09
244;;;Inhalation powder;396microgram/dose /  11.8microgram/dose;1;2018-11-09;2018-11-09
245;;;Inhalation powder;55microgram;1;2018-11-09;2018-11-09
246;;;Inhalation powder;65microgram/dose /  22microgram/dose;1;2018-11-09;2018-11-09
247;;;Inhalation powder;92microgram/dose /  22microgram/dose;1;2018-11-09;2018-11-09
248;;;Inhalation powder;95microgram/dose;1;2018-11-09;2018-11-09
249;;;Jobskin Ltd;Class 2 (23-32mmHg), normal size VI  , Beige;1;2018-11-09;2018-11-09
250;;;KNEECAP;;1;2018-11-09;2018-11-09
251;;;KNEECAP;STOCK SIZ;1;2018-11-09;2018-11-09
252;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite large  , Black;1;2018-11-09;2018-11-09
253;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite medium  , Natural tan;1;2018-11-09;2018-11-09
254;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Black;1;2018-11-09;2018-11-09
255;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Natural tan;1;2018-11-09;2018-11-09
256;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Black;1;2018-11-09;2018-11-09
257;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Natural tan;1;2018-11-09;2018-11-09
258;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard medium  , Natural tan;1;2018-11-09;2018-11-09
259;;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard small  , Black;1;2018-11-09;2018-11-09
260;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Black;1;2018-11-09;2018-11-09
261;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Natural tan;1;2018-11-09;2018-11-09
262;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite medium  , Natural tan;1;2018-11-09;2018-11-09
263;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard large  , Natural tan;1;2018-11-09;2018-11-09
264;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Black;1;2018-11-09;2018-11-09
265;;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Natural tan;1;2018-11-09;2018-11-09
266;;;LANCET;2.0MM/23G;1;2018-11-09;2018-11-09
267;;;LINT;100G;1;2018-11-09;2018-11-09
268;;;LINT;25G;1;2018-11-09;2018-11-09
269;;;LINT;500G;1;2018-11-09;2018-11-09
270;;;LIQUID;;1;2018-11-09;2018-11-09
271;;;LIQUID;250ML;1;2018-11-09;2018-11-09
272;;;LIQUID;33%;1;2018-11-09;2018-11-09
273;;;LIQUID;33.00%;1;2018-11-09;2018-11-09
274;;;LIQUID;90%;1;2018-11-09;2018-11-09
275;;;LIQUID;90.00%;1;2018-11-09;2018-11-09
276;;;LOTION;10%;1;2018-11-09;2018-11-09
277;;;LOZENGES;1MG;1;2018-11-09;2018-11-09
278;;;LOZENGES;2MG;1;2018-11-09;2018-11-09
279;;;LYOPHILISATE;2MG;1;2018-11-09;2018-11-09
280;;;Liquid;;1;2018-11-09;2018-11-09
281;;;Liquid;0.05%;1;2018-11-09;2018-11-09
282;;;Liquid;1%;1;2018-11-09;2018-11-09
283;;;Liquid;2%;1;2018-11-09;2018-11-09
284;;;Liquid;2.00%;1;2018-11-09;2018-11-09
285;;;Lozenge;1.2mg;1;2018-11-09;2018-11-09
286;;;Lozenge;200microgram;1;2018-11-09;2018-11-09
287;;;Lozenge;400microgram;1;2018-11-09;2018-11-09
288;;;Lozenge;800microgram;1;2018-11-09;2018-11-09
289;;;MASK;DISP FEE;1;2018-11-09;2018-11-09
290;;;MASK;NO D FEE;1;2018-11-09;2018-11-09
291;;;MIX;500G;1;2018-11-09;2018-11-09
292;;;MIXTURE;;1;2018-11-09;2018-11-09
293;;;Medicated plaster;0;1;2018-11-09;2018-11-09
294;;;Medicated plaster;140mg;1;2018-11-09;2018-11-09
295;;;Medicated plaster;5%;1;2018-11-09;2018-11-09
296;;;Medicated plaster;5.00%;1;2018-11-09;2018-11-09
297;;;Modified-release capsule;100mg;1;2018-11-09;2018-11-09
298;;;Modified-release capsule;120mg;1;2018-11-09;2018-11-09
299;;;Modified-release capsule;160mg;1;2018-11-09;2018-11-09
300;;;Modified-release capsule;180mg;1;2018-11-09;2018-11-09
301;;;Modified-release capsule;200mg;1;2018-11-09;2018-11-09
302;;;Modified-release capsule;2mg;1;2018-11-09;2018-11-09
303;;;Modified-release capsule;300mg;1;2018-11-09;2018-11-09
304;;;Modified-release capsule;3mg;1;2018-11-09;2018-11-09
305;;;Modified-release capsule;400microgram;1;2018-11-09;2018-11-09
306;;;Modified-release capsule;500microgram;1;2018-11-09;2018-11-09
307;;;Modified-release capsule;5mg;1;2018-11-09;2018-11-09
308;;;Modified-release capsule;80mg;1;2018-11-09;2018-11-09
309;;;Modified-release capsule;8mg;1;2018-11-09;2018-11-09
310;;;Modified-release granules;100mg;1;2018-11-09;2018-11-09
311;;;Modified-release granules;1g;1;2018-11-09;2018-11-09
312;;;Modified-release granules;250mg;1;2018-11-09;2018-11-09
313;;;Modified-release granules;4g;1;2018-11-09;2018-11-09
314;;;Modified-release granules;500mg;1;2018-11-09;2018-11-09
315;;;Modified-release tablet;120mg;1;2018-11-09;2018-11-09
316;;;Modified-release tablet;15mg;1;2018-11-09;2018-11-09
317;;;Modified-release tablet;200mg;1;2018-11-09;2018-11-09
318;;;Modified-release tablet;20mg;1;2018-11-09;2018-11-09
319;;;Modified-release tablet;225mg;1;2018-11-09;2018-11-09
320;;;Modified-release tablet;25mg/100mg;1;2018-11-09;2018-11-09
321;;;Modified-release tablet;300mg;1;2018-11-09;2018-11-09
322;;;Modified-release tablet;3mg;1;2018-11-09;2018-11-09
323;;;Modified-release tablet;400mg;1;2018-11-09;2018-11-09
324;;;Modified-release tablet;40mg;1;2018-11-09;2018-11-09
325;;;Modified-release tablet;40mg /  20mg;1;2018-11-09;2018-11-09
326;;;Modified-release tablet;4mg;1;2018-11-09;2018-11-09
327;;;Modified-release tablet;50mg;1;2018-11-09;2018-11-09
328;;;Modified-release tablet;50mg/200mg;1;2018-11-09;2018-11-09
329;;;Modified-release tablet;6mg;1;2018-11-09;2018-11-09
330;;;Modified-release tablet;6mg /  400microgram;1;2018-11-09;2018-11-09
331;;;Modified-release tablet;75mg;1;2018-11-09;2018-11-09
332;;;Modified-release tablet;8mg;1;2018-11-09;2018-11-09
333;;;Modified-release tablet;9mg;1;2018-11-09;2018-11-09
334;;;Mouthwash;0%;1;2018-11-09;2018-11-09
335;;;Mouthwash;0.05%;1;2018-11-09;2018-11-09
336;;;Mouthwash;0.06% /  0.05%;1;2018-11-09;2018-11-09
337;;;Mouthwash;1.50%;1;2018-11-09;2018-11-09
338;;;NAIL LACQUER;;1;2018-11-09;2018-11-09
339;;;NASAL CANULA;;1;2018-11-09;2018-11-09
340;;;NEEDLE;0.45MM26G;1;2018-11-09;2018-11-09
341;;;NEEDLE;0.5MM 25G;1;2018-11-09;2018-11-09
342;;;NEEDLE;12MM/29G;1;2018-11-09;2018-11-09
343;;;NEEDLE;27G 0.4MM;1;2018-11-09;2018-11-09
344;;;NEEDLE CLIPPING;;1;2018-11-09;2018-11-09
345;;;NELATON  CATHETER FEMALE;USCC08F;1;2018-11-09;2018-11-09
346;;;NELATON  CATHETER FEMALE;USCC16F;1;2018-11-09;2018-11-09
347;;;NELATON  CATHETER MALE;USCC10M;1;2018-11-09;2018-11-09
348;;;Nasal drops;400microgram/dose;1;2018-11-09;2018-11-09
349;;;Nebuliser liquid;0;1;2018-11-09;2018-11-09
350;;;Nebuliser liquid;0.90%;1;2018-11-09;2018-11-09
351;;;Nebuliser liquid;1%;1;2018-11-09;2018-11-09
352;;;Nebuliser liquid;2.5mg/2.5ml /  500microgram/2.5ml;1;2018-11-09;2018-11-09
353;;;Nebuliser liquid;300mg/5ml;1;2018-11-09;2018-11-09
354;;;Neon Diagnostics Ltd;;1;2018-11-09;2018-11-09
355;;;Not applicable;;1;2018-11-09;2018-11-09
356;;;OIL;;1;2018-11-09;2018-11-09
357;;;ORAL SUSPENSION;100MG/5ML;1;2018-11-09;2018-11-09
358;;;ORAL SUSPENSION;1G/5ML;1;2018-11-09;2018-11-09
359;;;OROMUCOSAL SOLUTION;;1;2018-11-09;2018-11-09
360;;;OXYGEN;;1;2018-11-09;2018-11-09
361;;;OXYGEN;DISP FEE;1;2018-11-09;2018-11-09
362;;;Ointment;50%;1;2018-11-09;2018-11-09
363;;;Ointment;50.00%;1;2018-11-09;2018-11-09
364;;;Oral drops;10000unit/ml;1;2018-11-09;2018-11-09
365;;;Oral drops;200unit/drop;1;2018-11-09;2018-11-09
366;;;Oral drops;2740unit/ml;1;2018-11-09;2018-11-09
367;;;Oral emulsion;/;1;2018-11-09;2018-11-09
368;;;Oral gel;0;1;2018-11-09;2018-11-09
369;;;Oral gel;40%;1;2018-11-09;2018-11-09
370;;;Oral gel;40.00%;1;2018-11-09;2018-11-09
371;;;Oral solution;;1;2018-11-09;2018-11-09
372;;;Oral solution;1.09g/5ml /  727mg/5ml;1;2018-11-09;2018-11-09
373;;;Oral solution;1.46g/5ml (5mmol/ml);1;2018-11-09;2018-11-09
374;;;Oral solution;1.5mg/5ml;1;2018-11-09;2018-11-09
375;;;Oral solution;10000unit/ml;1;2018-11-09;2018-11-09
376;;;Oral solution;100mg/ml;1;2018-11-09;2018-11-09
377;;;Oral solution;10mg/5ml;1;2018-11-09;2018-11-09
378;;;Oral solution;10mg/ml;1;2018-11-09;2018-11-09
379;;;Oral solution;125mg/5ml;1;2018-11-09;2018-11-09
380;;;Oral solution;1mg/5ml;1;2018-11-09;2018-11-09
381;;;Oral solution;1mg/ml;1;2018-11-09;2018-11-09
382;;;Oral solution;2.5mg/5ml;1;2018-11-09;2018-11-09
383;;;Oral solution;20mg/5ml;1;2018-11-09;2018-11-09
384;;;Oral solution;20mg/ml;1;2018-11-09;2018-11-09
385;;;Oral solution;25mg/5ml;1;2018-11-09;2018-11-09
386;;;Oral solution;292.5mg/5ml (1mmol/ml);1;2018-11-09;2018-11-09
387;;;Oral solution;360microgram/ml;1;2018-11-09;2018-11-09
388;;;Oral solution;40mg/5ml;1;2018-11-09;2018-11-09
389;;;Oral solution;441.17mg/5ml;1;2018-11-09;2018-11-09
390;;;Oral solution;4mg/1ml;1;2018-11-09;2018-11-09
391;;;Oral solution;50000unit/1ml;1;2018-11-09;2018-11-09
392;;;Oral solution;500mg/5ml;1;2018-11-09;2018-11-09
393;;;Oral solution;509mg/5ml;1;2018-11-09;2018-11-09
394;;;Oral solution;50mg/5ml;1;2018-11-09;2018-11-09
395;;;Oral solution;520mg/5ml;1;2018-11-09;2018-11-09
396;;;Oral solution;5mg/5ml;1;2018-11-09;2018-11-09
397;;;Oral solution;7.5mg/5ml;1;2018-11-09;2018-11-09
398;;;Oral suspension;;1;2018-11-09;2018-11-09
399;;;Oral suspension;100mg/5ml;1;2018-11-09;2018-11-09
400;;;Oral suspension;125mg/31mg/5ml;1;2018-11-09;2018-11-09
401;;;Oral suspension;125mg/5ml;1;2018-11-09;2018-11-09
402;;;Oral suspension;195mg/220mg/5ml;1;2018-11-09;2018-11-09
403;;;Oral suspension;1g/5ml;1;2018-11-09;2018-11-09
404;;;Oral suspension;2.5mg/ml;1;2018-11-09;2018-11-09
405;;;Oral suspension;200mg/5ml;1;2018-11-09;2018-11-09
406;;;Oral suspension;250mg/5ml;1;2018-11-09;2018-11-09
