PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
52,Dr Rea & Partners,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,2851
53,Dr B J Colgan,463 FALLS ROAD,BELFAST,NULL,BT12 6DD,Belfast,3107
55,Dr D O'Kane,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1221
57,DR. JE CAMPBELL AND PARTNERS,THE CARRICKHILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,4902
58,DR B J FARNAN & PARTNERS,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5804
60,DR. GE BURNS AND PARTNER,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,2801
61,Dr Crossin & Partners,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9865
62,Dr. GARDINER                        ,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1313
63,Drs McMullan & O'Donnell,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2946
64,Drs Donaghy & Murphy,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4276
66,Dr. MCAUGHEY & PARTNERS             ,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6972
68,Dr Crawford & Partners,136/138 SHANKILL ROAD,BELFAST,NULL,BT13 2BD,Belfast,2614
69,Drs Tan & McGirr (1),FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,3083
70,Dr Rainey & Partners,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5505
71,Dr. LEAVY & PARTNERS                ,463 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7DP,Belfast,6347
72,Dr R H McKee,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1856
73,Dr. CLULOW & PARTNER                ,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2288
74,Drs Ryan & Simpson,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,2842
75,Dr Lenfestey & Partners,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,10203
79,Dr Bready & Partners,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,9092
80,DR. KB SWAIN AND PARTNERS,460 OLDPARK ROAD,BELFAST,NULL,BT14 6QG,Belfast,4675
81,Dr Giles & Partners,46 SPRINGFIELD ROAD,BELFAST,NULL,BT12 7AH,Belfast,7803
83,Dr. CARROLL & PARTNERS              ,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6304
84,Drs Salters & Diamond,186 FALLS ROAD,BELFAST,NULL,BT12 6AG,Belfast,3692
85,Dr MacSorley & Partners,515 ANTRIM ROAD,BELFAST,NULL,BT15 3BS,Belfast,5497
86,Dr Brown & Partners,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,10550
92,Dr. MCFERRAN & PARTNERS             ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,5005
93,Dr Sharma & Partners,61 CLIFTONVILLE ROAD,BELFAST,NULL,BT14 6JN,Belfast,5837
94,Dr Cummings & Partners,115 FALLS ROAD,BELFAST,NULL,BT12 6AA,Belfast,7041
95,Dr S J McHugh,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2674
96,Dr. BROWN & PARTNERS                ,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,5552
98,Drs Wilson & McClure,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3745
101,Drs Toal & Watters,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast,4744
103,Dr Donnelly & Partners,15/17 CLIFTON STREET,BELFAST,NULL,BT13 1AD,Belfast,9086
104,Dr. WRIGHT & PARTNERS               ,17 BALLYGOMARTIN ROAD,BELFAST,NULL,BT13 3BW,Belfast,8005
105,Dr Collins & Partners,OLD CHURCH PRACTICE,"2ND FLOOR, CORNERSTONE MEDICAL CENTRE","69 SHANKILL ROAD, BELFAST",BT13 1FD,Belfast,2527
111,Dr. MCKENNA & PARTNER               ,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast,2734
113,Dr Dugan,173 ANDERSONSTOWN ROAD,BELFAST,NULL,BT11 9EA,Belfast,4486
114,Dr. BONNAR & PARTNERS               ,33 STEWARTSTOWN ROAD,BELFAST,NULL,BT11 9FZ,Belfast,6956
116,Dr Mulholland & Partners,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast,4514
132,DR. S HOLMES AND PARTNERS,THE KELLY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,4069
136,Dr. HAIGNEY & PARTNERS              ,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast,6384
140,DR. R RODRIGUES AND PARTNERS,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,8259
143,Dr Rowan & Partners,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,5682
144,Dr A T Dawson,RAVENBANK SURGERY,113 RAVENHILL ROAD,BELFAST,BT6 8DR,Belfast,1567
145,Dr. KILLINER & PARTNERS             ,15A DONEGALL ROAD,BELFAST,NULL,BT12 5JJ,Belfast,7996
146,Drs Boyd & Hamilton,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast,4115
147,Dr Dean & Partners,281 ORMEAU ROAD,BELFAST,NULL,BT7 3GG,Belfast,7781
148,Drs Rutherford & McFarland,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast,9091
151,Dr Irwin & Partners,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast,13353
153,Dr McDonnell & Partners,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast,9546
154,Drs McCauley & Toland,142 - 144 UNIVERSITY STREET,BELFAST,NULL,BT7 1HH,Belfast,4906
156,Dr Chakravarty & Partners,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,7203
157,Dr. FAIR & PARTNERS                 ,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast,10377
159,Dr Corkey & Partners,485 ORMEAU ROAD,BELFAST,NULL,BT7 3GR,Belfast,5961
162,Drs Collier & Thompson,10/12 LISBURN ROAD,BELFAST,CO ANTRIM,BT9 6AA,Belfast,2584
164,Dr E Murdock,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast,3320
165,Dr Cashell & Partners,6 NORTH PARADE,BELFAST,NULL,BT7 2GG,Belfast,8391
166,Dr E Cullen,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast,2656
191,DR R T S HARRISON  PARTNERS,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern,9788
192,Dr J McGill,KILLYLEAGH SURGERY,14 DOWNPATRICK ROAD,"KILLYLEAGH, DOWNPATRICK",BT30 9RG,South Eastern,4875
193,Dr Greer & Partners,14 CHURCH VIEW,DUNDRUM,NEWCASTLE,BT33 0NA,South Eastern,9386
194,Drs Hyland & Denvir,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,2006
195,Dr J M Kyle,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,1732
196,DR. M MURPHY,THE HEALTH CENTRE,DOWNPATRICK ROAD,ARDGLASS,BT30 7SF,South Eastern,3175
198,Dr Ross & Partners,THE HEALTH CENTRE,FAIRVIEW,"SAINTFIELD, BALLYNAHINCH",BT24 7AD,South Eastern,8672
201,Dr Bready & Partners,DONARD FAMILY PRACTICE,56 MAIN STREET,"NEWCASTLE, CO DOWN",BT33 0AE,South Eastern,11725
202,Drs Moore & Small,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,3796
204,Drs Mulhall & Deeny,THE SURGERY,12 THE GREEN,"IRISH STREET, DOWNPATRICK",BT30 6BE,South Eastern,4803
205,Dr Phillips & Partners,THE SURGERY,JAMES STREET,"CROSSGAR, DOWNPATRICK",BT30 9JU,South Eastern,4782
206,Drs Hannah & McGoldrick,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,4801
207,Drs Harney & Harney,STREAM STREET SURGERY,40 STREAM STREET,DOWNPATRICK,BT30 6DE,South Eastern,4897
221,DR. A SMYLIE AND PARTNERS,HEALTH CENTRE,BALLYNAHINCH ST,HILLSBOROUGH,BT26 6AW,South Eastern,9659
222,Dr Bradley & Partners,WOODBROOK MEDICAL PRACTICE,STEWARTSTOWN ROAD,DUNMURRY  BELFAST,BT17 0FB,South Eastern,8755
223,Drs Walmsley & Carson,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,3782
224,Dr Cowan & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,7033
226,Dr Hicks & Partners,THE SURGERY,BEGNEY HILL ROAD,DROMARA,BT25 2AT,South Eastern,8080
227,Dr Jefferson & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,11700
228,Drs Forde & Doherty,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,4249
229,Dr Greene & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,8635
230,DR. JS HENRY AND PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,5188
231,DR. G M WILSON & PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,9838
232,Dr Dick & Partners,192 KINGSWAY,DUNMURRY,BELFAST,BT17 9AL,South Eastern,7821
233,DR. OT GALLAGHER AND PARTNER,GLENAVY FAMILY PRACTICE,47 MAIN STREET,"GLENAVY, CRUMLIN",BT29 4LN,South Eastern,4660
234,Drs Patterson & Vaughan,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,1853
252,Dr Lavery & Partners,PRIORY SURGERY,26 HIGH STREET,HOLYWOOD,BT18 9AD,South Eastern,14675
253,DR. WJS BAIRD AND PARTNERS,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7714
254,Dr Donaldson & Partners,24 LISBARNETT ROAD,LISBANE,NEWTOWNARDS,BT23 6AW,South Eastern,4060
255,Dr H C Johnston & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5396
256,Dr. CRAIG & PARTNERS                ,140 GROOMSPORT ROAD,BANGOR,CO DOWN,BT20 5PE,South Eastern,5625
257,Dr Kane & Partners,THE SURGERY,BROOK STREET,HOLYWOOD,BT18 9DA,South Eastern,7979
258,Drs Drew & Nicol,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,4909
259,DR. D COMPTON AND PARTNER,CUAN FAMILY PRACTICE,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,3815
260,Dr Douglas & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7275
261,Dr. NEOH & PARTNERS                 ,KILLYNETHER PRACTICE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,6111
263,Dr J Bissett,DR ROBERT HENRY SURGERY,7A NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5AU,South Eastern,1774
264,Dr N Majury,SILVERBIRCH MEDICAL PRACTICE,39A SILVERBIRCH ROAD,BANGOR,BT19 6EU,South Eastern,2778
265,Dr. HYLAND & PARTNER                ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4144
267,Dr. SEMPLE & PARTNERS               ,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,2605
271,Dr Lees & Partners,OLD MILL SURGERY,CHURCH STREET,NEWTOWNARDS,BT23 4AS,South Eastern,10490
272,Dr G F B Horner & Partners,16 A THE SQUARE,COMBER,NEWTOWNARDS,BT23 5DT,South Eastern,6559
273,Drs Leonard & McMillan,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,3032
274,Dr  Laird & Partners,BLOOMFIELD SURGERY,95 BLOOMFIELD ROAD,BANGOR,BT20 4XA,South Eastern,10371
275,Drs McCarthy & Webb,REGENCY MEDICAL CENTRE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,4703
276,Dr J Miller & Partners,DONAGHADEE HEALTH CENTRE,3 KILLAUGHEY ROAD,DONAGHADEE,BT21 0BU,South Eastern,9061
278,Dr. KENNEDY & PARTNERS              ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4435
279,Dr Peacock & Partners,WINDMILL SURGERY,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,2486
280,Drs Thompson & McMinn,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5223
281,Dr. ABRAHAM & PARTNERS              ,CLELAND PARK SURGERY,2 CLELAND PARK,BANGOR,BT20 3EB,South Eastern,5576
282,Drs Steele & Hughes,THE HEALTH CENTRE,FOWLER WAY,"BALLYWALTER, NEWTOWNARDS",BT22 2PY,South Eastern,5249
283,Dr Steele & Partners,LOUGH VIEW SURGERY,2 MAIN STREET,"KIRCUBBIN, NEWTOWNARDS",BT22 2SP,South Eastern,5690
284,Drs Armstrong & Stelfox,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,3045
285,Dr. JACKSON & PARTNER               ,GREEN ROAD MEDICAL CENTRE,5 GREEN ROAD,"CONLIG, NEWTOWNARDS",BT23 7PZ,South Eastern,3382
302,Dr Green & Partners,THE SURGERY,80 CASTLETON,"TEMPLEPATRICK, BALLYCLARE",BT39 0AZ,Northern,8955
303,Dr Hyndman & Partners,1 GLENAVY ROAD,CRUMLIN,CO ANTRIM,BT29 4LA,Northern,7432
304,Dr. BUTLER & PARTNERS               ,"MAINE MEDICAL, THE HEALTH CENTRE",PORTGLENONE ROAD,"AHOGHILL, BALLYMENA",BT42 1LE,Northern,4909
305,Dr. HARPER & PARTNERS               ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,3639
307,DR W HOGG AND PARTNER,"CASTLE MEDICAL PRACTICE, ANTRIM HEALTH CENTRE",32A STATION ROAD,ANTRIM,BT41 4BS,Northern,4087
308,DR. HUNTER AND PARTNERS,ORIEL SURGERY,31 ORIEL ROAD,ANTRIM,BT41 4HR,Northern,5764
310,Dr Allen & Partners,CULLYBACKEY HEALTH CENTRE,TOBER PARK,"CULLYBACKEY, BALLYMENA",BT42 1NW,Northern,7389
311,Drs Magowan & Magowan,THE SURGERY,77 GALGORM ROAD,BALLYMENA,BT42 1AA,Northern,2448
312,Dr. PURCE & PARTNERS                ,SLEMISH VIEW MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,2570
313,Drs Russell & Simms,THE GABLES,45 WAVENEY ROAD,BALLYMENA,BT43 5BA,Northern,3603
314,Dr. MCFARLAND & PARTNERS            ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4496
315,Dr. O'HARA & PARTNER                ,CUSHENDALL ROAD,BALLYMENA,CO ANTRIM,BT43 6HQ,Northern,3241
317,Dr Redmond & Partners,THE HEALTH CENTRE,76 MAIN STREET,BROUGHSHANE BALLYMENA,BT42 4JA,Northern,6679
319,DR. W.J.C.WILSON AND PARTNERS,PORTGLENONE HEALTH CENTRE,17 TOWNHILL ROAD,"PORTGLENONE, BALLYMENA",BT44 8AD,Northern,6732
321,Dr. MCQUILLAN & PARTNERS            ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4340
323,Dr J D Simpson,SMITHFIELD MEDICAL CENTRE,7 SMITHFIELD PLACE,"GALGORM ROAD, BALLYMENA",BT43 5HB,Northern,2491
325,Dr R H Bill,KELLS & CONNOR MEDICAL CENTRE,36 CHURCH ROAD,"KELLS, BALLYMENA",BT42 3JU,Northern,3673
326,DR. MCCUSKER AND PARTNERS,THE FAMILY PRACTICE,THE HEALTH CENTRE,"STATION ROAD, ANTRIM",BT41 4BS,Northern,5712
327,Drs Leggett & Kidd,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3458
328,Dr. JOHNSTON & PARTNERS             ,MAINE MEDICAL PRACTICE,"OLD MILL PARK, MAIN STREET","CULLYBACKEY, BALLYMENA",BT42 1GP,Northern,5058
329,DR. HUTCHINSON & PARTNER,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3712
330,Drs Turk & McKenna,THE HEALTH CENTRE,STATION ROAD, ANTRIM,BT41 4BS,Northern,4759
331,Drs Huey & Khanna,BRAID FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4164
333,DR D S RAINEY,THE SURGERY,"TOOME HOUSE, 55 MAIN STREET","TOOMEBRIDGE, ANTRIM",BT41 3TF,Northern,3426
334,Dr McIlroy & Partners,THE HEALTH CENTRE,5 NEILLSBROOK ROAD,"RANDALSTOWN, ANTRIM",BT41 3AE,Northern,10350
336,Dr Hegan & Partners,2 MALLUSK ROAD,NEWTOWNABBEY,NULL,BT36 4PP,Northern,8533
337,DR KYLE AND PARTNERS,GLENGORMLEY PRACTICE,324 ANTRIM ROAD,NEWTOWNABBEY,BT36 5EQ,Northern,8517
341,DR. BECK AND PARTNERS,THE HEALTH CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5000
344,Dr. TRACEY & PARTNERS               ,KILLOWEN MEDICAL CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5603
345,Dr Johnston & Partners,BALLYMONEY FAMILY PRACTICE,BALLYMONEY HEALTH CENTRE,"21B NEWAL ROAD, BALLYMONEY",BT53 6HB,Northern,12414
346,Dr Shannon & Partners,LODGE HEALTH,20 LODGE MANOR,COLERAINE,BT52 1JX,Northern,10226
349,Dr Lynch &  Partners,THE COUNTRY MEDICAL PRACTICE,122 BALLINLEA ROAD,"ARMOY, BALLYMONEY",BT53 8TY,Northern,6138
350,Drs Wee & Brown,6 PRIESTLAND ROAD,BUSHMILLS,NULL,BT57 8QP,Northern,2959
351,DR. JS BAILIE AND PARTNERS,PORTRUSH MEDICAL CENTRE,17 DUNLUCE AVENUE,PORTRUSH,BT56 8DW,Northern,7378
352,Dr Kerr & Partners,GARVAGH HEALTH CENTRE,110 MAIN STREET,"GARVAGH, COLERAINE",BT51 5AE,Northern,5740
354,Drs J Harley & D Harley,THE FAMILY PRACTICE,6 LEVER ROAD,PORTSTEWART,BT55 7EF,Northern,3224
355,Dr McGurk & Partners,THE HEALTH CENTRE,36 GARVAGH ROAD,"KILREA, COLERAINE",BT51 5QP,Northern,6843
356,Dr Turner &  Partners,4 MOUNTSANDEL ROAD,COLERAINE,CO LONDONDERRY,BT52 1JB,Northern,11370
357,Dr McSparran & Partners,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD,"CUSHENDALL, BALLYMENA",BT44 0TE,Northern,5126
358,Drs Nutt & Siberry,LIFFOCK,69 SEA ROAD,"CASTLEROCK, COLERAINE",BT51 4TW,Northern,2700
360,Drs Henderson & Young,THE HEALTH CENTRE,10 MONEYLECK ROAD,"RASHARKIN, BALLYMENA",BT44 8QB,Northern,4374
361,Dr Fannin & Partners,THE HEALTH CENTRE,ROBINSON MEMORIAL HOSPITAL,BALLYMONEY,BT53 6HH,Northern,5349
366,Dr. MCLISTER & PARTNERS             ,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,3979
367,Drs McCurdy & Armstrong,THE FROCESS MEDICAL CENTRE,56 MAIN STREET,"CLOUGHMILLS, BALLYMENA",BT44 9LF,Northern,4535
368,Dr Bell & Partners,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,4740
369,Dr Carlin & Partners,PORTSTEWART MEDICAL CENTRE,MILL ROAD,PORTSTEWART,BT55 7SW,Northern,4281
382,Dr Esler & Partners,MEADOWBRIDGE SURGERY,SLAUGHTERFORD ROAD,"WHITEHEAD, CARRICKFERGUS",BT38 9TG,Northern,9128
385,Dr Gamble & Partners,OLD SCHOOL SURGERY,54 STATION ROAD,"GREENISLAND, CARRICKFERGUS",BT38 8TP,Northern,9869
386,Dr B D Glover,ANTRIM COAST MEDICAL PRACTICE,7 THE CLONEY,"GLENARM, BALLYMENA",BT44 0AB,Northern,2018
387,DR. FERGUSON AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,7272
388,Dr Dunn & Partners,INVER SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5051
389,Dr McIlroy & Partners,CORRAN SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,7888
390,DR. BRADLEY AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,14806
391,Dr Crory & Partners,VICTORIA SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5638
393,Dr Craig & Partners,THE HEALTH CENTRE,GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern,2971
394,Drs Howie & Carlisle,"LARNE FAMILY PRACTICE, LARNE HEALTH CENTRE",GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern,4297
395,Dr. WILSON & PARTNER                ,ROCKFIELD MEDICAL CENTRE,BALLYMENA,NULL,BT43 6JD,Northern,4264
396,Dr. VERCOE-ROGERS & PARTNER         ,OLD BANK SURGERY,97 MILL STREET,BALLYMENA,BT43 5AF,Northern,3735
401,Dr Smyth & Partners,THE HEALTH CENTRE,52 ORRITOR ROAD,COOKSTOWN,BT80 8BN,Northern,6422
402,Dr White & Partners,DRAPERSTOWN SURGERY,6 TOBERMORE ROAD,"DRAPERSTOWN, MAGHERAFELT",BT45 7AG,Northern,8383
404,Dr Finch & Partners,67 URBAL ROAD,COAGH,COOKSTOWN,BT80 0DP,Northern,5139
