VMP_NM|DATE_FROM|DATE_TO|VERSION
Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Alclometasone 0.05% cream|2018-11-07|2018-11-07|1
Alclometasone 0.05% ointment|2018-11-07|2018-11-07|1
Alcohol impregnated swabs|2018-11-07|2018-11-07|1
Aldioxa 0.22% / Chloroxylenol 0.5% powder|2018-11-07|2018-11-07|1
Alendronic acid 10mg tablets|2018-11-07|2018-11-07|1
Alendronic acid 70mg / Colecalciferol 70microgram tablets|2018-11-07|2018-11-07|1
Alendronic acid 70mg effervescent tablets sugar free|2018-11-07|2018-11-07|1
Alendronic acid 70mg tablets|2018-11-07|2018-11-07|1
Alendronic acid 70mg/100ml oral solution unit dose sugar free|2018-11-07|2018-11-07|1
Alfacalcidol 1microgram capsules|2018-11-07|2018-11-07|1
Alfacalcidol 1micrograms/0.5ml solution for injection ampoules|2018-11-07|2018-11-07|1
Alfacalcidol 250nanogram capsules|2018-11-07|2018-11-07|1
Alfacalcidol 2micrograms/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Alfacalcidol 2micrograms/ml oral drops sugar free|2018-11-07|2018-11-07|1
Alfacalcidol 500nanogram capsules|2018-11-07|2018-11-07|1
Alfentanil 1mg/2ml solution for injection ampoules|2018-11-07|2018-11-07|1
Alfentanil 5mg/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Alfuzosin 10mg modified-release tablets|2018-11-07|2018-11-07|1
Alfuzosin 2.5mg tablets|2018-11-07|2018-11-07|1
Alginate dressing sterile 10cm x 10cm|2018-11-07|2018-11-07|1
Alginate dressing sterile 10cm x 20cm|2018-11-07|2018-11-07|1
Alginate dressing sterile 15cm x 25cm|2018-11-07|2018-11-07|1
Alginate dressing sterile 5cm x 5cm|2018-11-07|2018-11-07|1
Alginate dressing sterile 7.5cm x 12cm|2018-11-07|2018-11-07|1
Alginate raft-forming oral suspension sugar free|2018-11-07|2018-11-07|1
Alimemazine 10mg tablets|2018-11-07|2018-11-07|1
Alimemazine 30mg/5ml oral solution|2018-11-07|2018-11-07|1
Alimemazine 7.5mg/5ml oral solution|2018-11-07|2018-11-07|1
Alirocumab 75mg/1ml solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Aliskiren 150mg tablets|2018-11-07|2018-11-07|1
Aliskiren 300mg tablets|2018-11-07|2018-11-07|1
Allantoin 0.5% / Lidocaine 0.5% ointment|2018-11-07|2018-11-07|1
Allantoin 10.25mg / Lidocaine 10.25mg suppositories|2018-11-07|2018-11-07|1
Allopurinol 100mg tablets|2018-11-07|2018-11-07|1
Allopurinol 300mg tablets|2018-11-07|2018-11-07|1
Almond oil liquid|2018-11-07|2018-11-07|1
Almotriptan 12.5mg tablets|2018-11-07|2018-11-07|1
Alogliptin 12.5mg / Metformin 1g tablets|2018-11-07|2018-11-07|1
Alogliptin 12.5mg tablets|2018-11-07|2018-11-07|1
Alogliptin 25mg tablets|2018-11-07|2018-11-07|1
Alogliptin 6.25mg tablets|2018-11-07|2018-11-07|1
Alpha tocopheryl acetate 100mg chewable tablets|2018-11-07|2018-11-07|1
Alpha tocopheryl acetate 500mg/5ml oral suspension|2018-11-07|2018-11-07|1
Alprostadil 10microgram powder and solvent for solution for injection cartridges|2018-11-07|2018-11-07|1
Alprostadil 10microgram powder and solvent for solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Alprostadil 10microgram powder and solvent for solution for injection vials|2018-11-07|2018-11-07|1
Alprostadil 1mg urethral sticks|2018-11-07|2018-11-07|1
Alprostadil 20microgram powder and solvent for solution for injection cartridges|2018-11-07|2018-11-07|1
Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Alprostadil 20microgram powder and solvent for solution for injection vials|2018-11-07|2018-11-07|1
Alprostadil 250microgram urethral sticks|2018-11-07|2018-11-07|1
Alprostadil 3mg/g cream|2018-11-07|2018-11-07|1
Alprostadil 40microgram powder and solvent for solution for injection cartridges|2018-11-07|2018-11-07|1
Alprostadil 40microgram powder and solvent for solution for injection vials|2018-11-07|2018-11-07|1
Alprostadil 500microgram urethral sticks|2018-11-07|2018-11-07|1
Alprostadil 5microgram powder and solvent for solution for injection vials|2018-11-07|2018-11-07|1
Alum powder|2018-11-07|2018-11-07|1
Aluminium chloride 20% solution|2018-11-07|2018-11-07|1
Aluminium chloride 20% spray|2018-11-07|2018-11-07|1
Aluminium hydroxide 475mg capsules|2018-11-07|2018-11-07|1
Aluminium oxide 38% paste|2018-11-07|2018-11-07|1
Alverine 120mg capsules|2018-11-07|2018-11-07|1
Alverine 60mg / Simeticone 300mg capsules|2018-11-07|2018-11-07|1
Alverine 60mg capsules|2018-11-07|2018-11-07|1
Amantadine 100mg capsules|2018-11-07|2018-11-07|1
Amantadine 50mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets|2018-11-07|2018-11-07|1
Amiloride 5mg / Bumetanide 1mg tablets|2018-11-07|2018-11-07|1
Amiloride 5mg tablets|2018-11-07|2018-11-07|1
Amiloride 5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Aminophylline 250mg/10ml solution for injection ampoules|2018-11-07|2018-11-07|1
Aminophylline hydrate 225mg modified-release tablets|2018-11-07|2018-11-07|1
Aminophylline hydrate 350mg modified-release tablets|2018-11-07|2018-11-07|1
Amiodarone 100mg tablets|2018-11-07|2018-11-07|1
Amiodarone 150mg/3ml solution for injection ampoules|2018-11-07|2018-11-07|1
Amiodarone 200mg tablets|2018-11-07|2018-11-07|1
Amiodarone 300mg/10ml solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
Amisulpride 100mg tablets|2018-11-07|2018-11-07|1
Amisulpride 100mg/ml oral solution sugar free|2018-11-07|2018-11-07|1
Amisulpride 200mg tablets|2018-11-07|2018-11-07|1
Amisulpride 400mg tablets|2018-11-07|2018-11-07|1
Amisulpride 50mg tablets|2018-11-07|2018-11-07|1
Amitriptyline 10mg tablets|2018-11-07|2018-11-07|1
Amitriptyline 10mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Amitriptyline 25mg / Perphenazine 2mg tablets|2018-11-07|2018-11-07|1
Amitriptyline 25mg tablets|2018-11-07|2018-11-07|1
Amitriptyline 25mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Amitriptyline 50mg tablets|2018-11-07|2018-11-07|1
Amitriptyline 50mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Amlodipine 10mg / Valsartan 160mg tablets|2018-11-07|2018-11-07|1
Amlodipine 10mg tablets|2018-11-07|2018-11-07|1
Amlodipine 10mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Amlodipine 5mg / Valsartan 160mg tablets|2018-11-07|2018-11-07|1
Amlodipine 5mg / Valsartan 80mg tablets|2018-11-07|2018-11-07|1
Amlodipine 5mg tablets|2018-11-07|2018-11-07|1
Amlodipine 5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Ammonia and Ipecacuanha mixture|2018-11-07|2018-11-07|1
Ammonia solution aromatic|2018-11-07|2018-11-07|1
Ammonium bicarbonate powder|2018-11-07|2018-11-07|1
Amobarbital sodium 200mg capsules|2018-11-07|2018-11-07|1
Amobarbital sodium 60mg capsules|2018-11-07|2018-11-07|1
Amorolfine 5% medicated nail lacquer|2018-11-07|2018-11-07|1
Amoxicillin 125mg/1.25ml oral suspension paediatric|2018-11-07|2018-11-07|1
Amoxicillin 125mg/5ml oral suspension|2018-11-07|2018-11-07|1
Amoxicillin 125mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Amoxicillin 1g powder for solution for injection vials|2018-11-07|2018-11-07|1
Amoxicillin 250mg capsules|2018-11-07|2018-11-07|1
Amoxicillin 250mg/5ml oral suspension|2018-11-07|2018-11-07|1
Amoxicillin 250mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Amoxicillin 3g oral powder sachets sugar free|2018-11-07|2018-11-07|1
Amoxicillin 500mg capsules|2018-11-07|2018-11-07|1
Amoxicillin 500mg powder for solution for injection vials|2018-11-07|2018-11-07|1
Ampicillin 125mg/5ml oral suspension|2018-11-07|2018-11-07|1
Ampicillin 250mg capsules|2018-11-07|2018-11-07|1
Ampicillin 250mg/5ml oral suspension|2018-11-07|2018-11-07|1
Ampicillin 500mg capsules|2018-11-07|2018-11-07|1
Ampicillin 500mg powder for solution for injection vials|2018-11-07|2018-11-07|1
Anal irrigation systems|2018-11-07|2018-11-07|1
Anal plugs|2018-11-07|2018-11-07|1
Anastrozole 1mg tablets|2018-11-07|2018-11-07|1
Animal wool BP 1988|2018-11-07|2018-11-07|1
Anise oil liquid|2018-11-07|2018-11-07|1
Antazoline 0.5% / Xylometazoline 0.05% eye drops|2018-11-07|2018-11-07|1
Apis mellifica 3x / Belladonna 3x drops|2018-11-07|2018-11-07|1
Apixaban 2.5mg tablets|2018-11-07|2018-11-07|1
Apixaban 5mg tablets|2018-11-07|2018-11-07|1
Apomorphine 20mg/2ml solution for injection ampoules|2018-11-07|2018-11-07|1
Apomorphine 30mg/3ml solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Apomorphine 50mg/10ml solution for infusion pre-filled syringes|2018-11-07|2018-11-07|1
Apomorphine 50mg/5ml solution for injection ampoules|2018-11-07|2018-11-07|1
Apraclonidine 1% eye drops 0.25ml unit dose preservative free|2018-11-07|2018-11-07|1
Apraclonidine 5mg/ml eye drops|2018-11-07|2018-11-07|1
Aprepitant 125mg capsules|2018-11-07|2018-11-07|1
Aprepitant 80mg capsules|2018-11-07|2018-11-07|1
Aqueous calamine cream|2018-11-07|2018-11-07|1
Aqueous cream|2018-11-07|2018-11-07|1
Arachis oil 130ml enema|2018-11-07|2018-11-07|1
Arachis oil liquid|2018-11-07|2018-11-07|1
Aripiprazole 10mg orodispersible tablets sugar free|2018-11-07|2018-11-07|1
Aripiprazole 10mg tablets|2018-11-07|2018-11-07|1
Aripiprazole 15mg orodispersible tablets sugar free|2018-11-07|2018-11-07|1
Aripiprazole 15mg tablets|2018-11-07|2018-11-07|1
Aripiprazole 1mg/ml oral solution|2018-11-07|2018-11-07|1
Aripiprazole 30mg tablets|2018-11-07|2018-11-07|1
Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes|2018-11-07|2018-11-07|1
Aripiprazole 400mg powder and solvent for suspension for injection vials|2018-11-07|2018-11-07|1
Aripiprazole 5mg tablets|2018-11-07|2018-11-07|1
Aripiprazole 9.75mg/1.3ml solution for injection vials|2018-11-07|2018-11-07|1
Arm sling web adjustable|2018-11-07|2018-11-07|1
Arnica / Urtica urens ointment|2018-11-07|2018-11-07|1
Arnica montana 0.9% cream|2018-11-07|2018-11-07|1
Arnica montana 5% ointment|2018-11-07|2018-11-07|1
Arnica montana gel|2018-11-07|2018-11-07|1
Artemether 20mg / Lumefantrine 120mg tablets|2018-11-07|2018-11-07|1
Artificial eye lubricants|2018-11-07|2018-11-07|1
Artificial saliva gel|2018-11-07|2018-11-07|1
Artificial saliva lozenges|2018-11-07|2018-11-07|1
Artificial saliva pastilles|2018-11-07|2018-11-07|1
Artificial saliva protective spray|2018-11-07|2018-11-07|1
Artificial saliva spray|2018-11-07|2018-11-07|1
Ascorbic acid 100mg chewable tablets|2018-11-07|2018-11-07|1
Ascorbic acid 100mg tablets|2018-11-07|2018-11-07|1
Ascorbic acid 1g / Zinc citrate 10mg effervescent tablets sugar free|2018-11-07|2018-11-07|1
Ascorbic acid 1g chewable tablets|2018-11-07|2018-11-07|1
Ascorbic acid 1g effervescent tablets|2018-11-07|2018-11-07|1
Ascorbic acid 1g modified-release tablets|2018-11-07|2018-11-07|1
Ascorbic acid 200mg tablets|2018-11-07|2018-11-07|1
Ascorbic acid 500mg chewable tablets|2018-11-07|2018-11-07|1
Ascorbic acid 500mg chewable tablets sugar free|2018-11-07|2018-11-07|1
Ascorbic acid 500mg effervescent tablets|2018-11-07|2018-11-07|1
Ascorbic acid 500mg modified-release tablets|2018-11-07|2018-11-07|1
Ascorbic acid 500mg tablets|2018-11-07|2018-11-07|1
Ascorbic acid 500mg/5ml solution for injection ampoules|2018-11-07|2018-11-07|1
Ascorbic acid 50mg tablets|2018-11-07|2018-11-07|1
Ascorbic acid powder|2018-11-07|2018-11-07|1
Asenapine 10mg sublingual tablets sugar free|2018-11-07|2018-11-07|1
Asenapine 5mg sublingual tablets sugar free|2018-11-07|2018-11-07|1
Aspirin 150mg suppositories|2018-11-07|2018-11-07|1
Aspirin 300mg dispersible tablets|2018-11-07|2018-11-07|1
Aspirin 300mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Aspirin 300mg suppositories|2018-11-07|2018-11-07|1
Aspirin 300mg tablets|2018-11-07|2018-11-07|1
Aspirin 500mg / Codeine 8mg dispersible tablets sugar free|2018-11-07|2018-11-07|1
Aspirin 75mg dispersible tablets|2018-11-07|2018-11-07|1
Aspirin 75mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Aspirin 75mg tablets|2018-11-07|2018-11-07|1
Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free|2018-11-07|2018-11-07|1
Aspirin powder|2018-11-07|2018-11-07|1
Atenolol 100mg tablets|2018-11-07|2018-11-07|1
Atenolol 25mg tablets|2018-11-07|2018-11-07|1
Atenolol 25mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Atenolol 50mg / Nifedipine 20mg modified-release capsules|2018-11-07|2018-11-07|1
Atenolol 50mg tablets|2018-11-07|2018-11-07|1
Atomoxetine 100mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 10mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 18mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 25mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 40mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 4mg/1ml oral solution sugar free|2018-11-07|2018-11-07|1
Atomoxetine 60mg capsules|2018-11-07|2018-11-07|1
Atomoxetine 80mg capsules|2018-11-07|2018-11-07|1
Atorvastatin 10mg chewable tablets sugar free|2018-11-07|2018-11-07|1
Atorvastatin 10mg tablets|2018-11-07|2018-11-07|1
Atorvastatin 20mg chewable tablets sugar free|2018-11-07|2018-11-07|1
Atorvastatin 20mg tablets|2018-11-07|2018-11-07|1
Atorvastatin 30mg tablets|2018-11-07|2018-11-07|1
Atorvastatin 40mg tablets|2018-11-07|2018-11-07|1
Atorvastatin 60mg tablets|2018-11-07|2018-11-07|1
Atorvastatin 80mg tablets|2018-11-07|2018-11-07|1
Atovaquone 750mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Atropine 1% eye drops|2018-11-07|2018-11-07|1
Atropine 1% eye drops 0.5ml unit dose preservative free|2018-11-07|2018-11-07|1
Atropine 1mg/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Atropine 1mg/5ml solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
Atropine 3mg/10ml solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
Atropine 400micrograms/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Atropine 600microgram tablets|2018-11-07|2018-11-07|1
Atropine 600micrograms/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Auto inflation device|2018-11-07|2018-11-07|1
Avanafil 100mg tablets|2018-11-07|2018-11-07|1
Avanafil 200mg tablets|2018-11-07|2018-11-07|1
Avanafil 50mg tablets|2018-11-07|2018-11-07|1
Azathioprine 25mg tablets|2018-11-07|2018-11-07|1
Azathioprine 50mg powder for solution for injection vials|2018-11-07|2018-11-07|1
Azathioprine 50mg tablets|2018-11-07|2018-11-07|1
Azelaic acid 15% gel|2018-11-07|2018-11-07|1
Azelaic acid 20% cream|2018-11-07|2018-11-07|1
Azelastine 0.05% eye drops|2018-11-07|2018-11-07|1
Azelastine 140micrograms/dose nasal spray|2018-11-07|2018-11-07|1
Azilsartan medoxomil 20mg tablets|2018-11-07|2018-11-07|1
Azilsartan medoxomil 40mg tablets|2018-11-07|2018-11-07|1
Azilsartan medoxomil 80mg tablets|2018-11-07|2018-11-07|1
Azithromycin 15mg/g eye drops 0.25g unit dose preservative free|2018-11-07|2018-11-07|1
Azithromycin 200mg/5ml oral suspension|2018-11-07|2018-11-07|1
Azithromycin 250mg capsules|2018-11-07|2018-11-07|1
Azithromycin 250mg tablets|2018-11-07|2018-11-07|1
Azithromycin 500mg tablets|2018-11-07|2018-11-07|1
Aztreonam 2g powder for solution for injection vials|2018-11-07|2018-11-07|1
Baclofen 10mg tablets|2018-11-07|2018-11-07|1
Baclofen 5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Balsalazide 750mg capsules|2018-11-07|2018-11-07|1
Bambuterol 10mg tablets|2018-11-07|2018-11-07|1
Bambuterol 20mg tablets|2018-11-07|2018-11-07|1
Beclometasone 0.025% cream|2018-11-07|2018-11-07|1
Beclometasone 0.025% ointment|2018-11-07|2018-11-07|1
Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 100micrograms/dose breath actuated inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 100micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 100micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 200micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 200micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 250micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 250micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 400microgram inhalation powder blisters|2018-11-07|2018-11-07|1
Beclometasone 400microgram inhalation powder blisters with device|2018-11-07|2018-11-07|1
Beclometasone 400micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Beclometasone 50micrograms/dose breath actuated inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 50micrograms/dose inhaler CFC free|2018-11-07|2018-11-07|1
Beclometasone 50micrograms/dose nasal spray|2018-11-07|2018-11-07|1
Beclometasone 5mg gastro-resistant modified-release tablets|2018-11-07|2018-11-07|1
Beeswax white solid|2018-11-07|2018-11-07|1
Belladonna adhesive plaster BP 1980 19cm x 12.5cm|2018-11-07|2018-11-07|1
Belladonna adhesive plaster BP 1980 28cm x 17.5cm|2018-11-07|2018-11-07|1
Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets|2018-11-07|2018-11-07|1
Bendroflumethiazide 2.5mg tablets|2018-11-07|2018-11-07|1
Bendroflumethiazide 5mg tablets|2018-11-07|2018-11-07|1
Benperidol 250microgram tablets|2018-11-07|2018-11-07|1
Benzalkonium chloride 0.5% shampoo|2018-11-07|2018-11-07|1
Benzocaine 1.5mg/dose oromucosal spray sugar free|2018-11-07|2018-11-07|1
Benzocaine 10% dental gel sugar free|2018-11-07|2018-11-07|1
