AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;;Eye drops;15microgram/
;;Eye drops;15microgram/ml
;;Eye drops;15microgram/ml /  5mg/ml
;;Eye drops;1m/
;;Eye drops;2%
;;Eye drops;2% /  0.5%
;;Eye drops;2.5mg/ml
;;Eye drops;300microgram/ml / 5mg/ml
;;Eye drops;50microgram/
;;Eye drops;50microgram/ml
;;Eye drops;5mg/ml
;;FELT;10.5X8.3
;;FELT;10X22.5X5
;;FINGER COTS;PACK OF10
;;FOAM;22.5X45CM
;;GAMGEE;500G
;;GAUZE;1.25CMX5M
;;GAUZE;2.5CMX5M
;;GAUZE;25M
;;GAUZE;90CM X 1M
;;GAUZE;90CM X 3M
;;GAUZE;90CM X 5M
;;GAUZE;90CM X10M
;;GLOVES;PACK OF25
;;Gastro-resistant tablet;180mg
;;Gastro-resistant tablet;360mg
;;Gastro-resistant tablet;500mg
;;Gastroenteral liquid;10 x 200ml
;;Gel;
;;Gel;1%
;;Gel;4%
;;Granules;100mg
;;HOSIERY;
;;Haddenham Healthcare Ltd;Class 1 (18-21mmHg),  , SC-10
;;Ileostomy bags;9150-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi
;;Ileostomy bags;9230-10,Cut to fit 10mm-55mm/70mm,Opaque,midi
;;Ileostomy bags;9410-37,Cut to fit 10mm-37mm,Opaque,midi
;;Ileostomy bags;9410-46,Cut to fit 10mm-46mm,Opaque,midi
;;Ileostomy bags;9410-59,Cut to fit 10mm-59mm,Opaque,maxi
;;Ileostomy bags;981-24,Cut to fit 15mm-24mm,Opaque,midi
;;Ileostomy bags;981-25,25mm,Opaque,midi
;;Ileostomy bags;981-30,30mm,Opaque,midi
;;Ileostomy bags;981-34,Cut to fit 15mm-34mm,Opaque,midi
;;Ileostomy bags;981-35,35mm,Opaque,midi
;;Ileostomy bags;981-54,Cut to fit 15mm-54mm,Opaque,maxi
;;Inhalation powder;18microgram
;;Jobskin Ltd;Class 2 (23-32mmHg), normal size VI  , Beige
;;KNEECAP;
;;KNEECAP;STOCK SIZ
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite large  , Black
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite medium  , Natural tan
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Black
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Natural tan
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Black
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Natural tan
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard medium  , Natural tan
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard small  , Black
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Black
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Natural tan
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite medium  , Natural tan
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard large  , Natural tan
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Black
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Natural tan
;;LINT;25G
;;LINT;500G
;;LIQUID;
;;LIQUID;90%
;;LOZENGES;1MG
;;Liquid;
;;Liquid;0.05%
;;Liquid;1%
;;Lozenge;1.2mg
;;Lozenge;200microgram
;;Lozenge;400microgram
;;Lozenge;800microgram
;;MASK;DISP FEE
;;MASK;NO D FEE
;;Medicated plaster;5%
;;Modified-release capsule;120mg
;;Modified-release capsule;180mg
;;Modified-release capsule;3mg
;;Modified-release capsule;500microgram
;;Modified-release capsule;5mg
;;Modified-release granules;500mg
;;Modified-release tablet;20mg
;;Modified-release tablet;3mg
;;Modified-release tablet;400mg
;;Modified-release tablet;40mg /  20mg
;;Modified-release tablet;4mg
;;Modified-release tablet;6mg
;;Modified-release tablet;8mg
;;Modified-release tablet;9mg
;;Mouthwash;0.06% /  0.05%
;;Mouthwash;1.50%
;;NASAL CANULA;
;;NEEDLE;0.45MM26G
;;NEEDLE;0.5MM 25G
;;NEEDLE;27G 0.4MM
;;NEEDLE CLIPPING;
;;NELATON  CATHETER FEMALE;USCC08F
;;NELATON  CATHETER FEMALE;USCC16F
;;Nasal drops;400microgram/dose
;;Nebuliser liquid;0.90%
;;Nebuliser liquid;300mg/5ml
;;Neon Diagnostics Ltd;
;;Not applicable;
;;OIL;
;;OROMUCOSAL SOLUTION;
;;OXYGEN;DISP FEE
;;Oral gel;40%
;;Oral solution;
;;Oral solution;1mg/ml
;;Oral solution;441.17mg/5ml
;;Oral solution;4mg/1ml
;;Oral solution;520mg/5ml
;;Oral solution;5mg/5ml
;;Oral suspension;125mg/5ml
;;Oral suspension;250mg/5ml
;;Oromucosal solution;10mg/1ml
;;Owen Mumford Ltd;
;;PATCH;14MG/24HR
;;PATCH;25MG
;;PESSARIES;110MM
;;PESSARIES;7.5MM THK
;;PESSARY;100mm diameter
;;PESSARY;50MM
;;PESSARY;50mm diameter
;;PESSARY;53mm diameter
;;PESSARY;56mm diameter
;;PESSARY;59mm diameter
;;PESSARY;62mm diameter
;;PESSARY;65mm diameter
;;PESSARY;68mm diameter
;;PESSARY;71mm diameter
;;PESSARY;74mm diameter
;;PESSARY;77mm diameter
;;PESSARY;80mm diameter
;;PESSARY;85MM
;;PESSARY;85mm diameter
;;PESSARY;90mm diameter
;;PESSARY;95mm diameter
;;PLASTIC;
;;PLASTIC;CIRCULAR
;;PUMP;60ML
;;Platon Medical Ltd;7244
;;Powder;
;;Powder;1.5g
;;Powder and solvent for solution for injection;120mg
;;Powder and solvent for solution for injection;4mg
;;Powder and solvent for solution for injection;80mg
;;Powder and solvent for suspension for injection;10mg
;;Powder and solvent for suspension for injection;20mg
;;Powder and solvent for suspension for injection;25mg
;;Powder and solvent for suspension for injection;30mg
;;Powder and solvent for suspension for injection;37.5mg
;;Powder and solvent for suspension for injection;50mg
;;Powder for solution for injection;1million unit
;;Powder for solution for injection;2million unit
;;Pressurised inhalation;5mg/dose
;;RINGS;PCK OF 4
;;Roche Diagnostics Ltd;
;;SLING;
;;SPIRIT;
;;STOCKINETTE;2.5CMX1M
;;STOCKINETTE;7.5CMX1M
;;STOCKING;
;;STOCKING;STOCK SIZ
;;STOCKING;STOCKSIZ
;;SUSPENSION;500MG/5ML
;;SWAB;10CM SQ
;;SWAB;10CMX10CM
;;SWAB;7.5CM SQ
;;SWAB;7.5X7.5CM
;;SYRINGE;0.3ML
;;SYRINGE;0.5ML
;;SYRINGE;1.0ML
;;SYRINGE;100ML
;;SYRINGE;U100 /1ML
;;SYRINGE;U100/.5ML
;;Solution for injection;0unit/
;;Solution for injection;100microgram/0.5ml
;;Solution for injection;100unit/
;;Solution for injection;100unit/ml
;;Solution for injection;100unit/ml / 3.6mg/ml
;;Solution for injection;10mg/0.2ml
;;Solution for injection;10mg/1.5ml
;;Solution for injection;10mg/2ml
;;Solution for injection;10microgram/0.4ml
;;Solution for injection;12.5mg/0.25ml
;;Solution for injection;12.5mg/0.5ml
;;Solution for injection;12mg/1.5ml
;;Solution for injection;150microgram/0.15ml (1 in 1000)
;;Solution for injection;150microgram/0.3ml
;;Solution for injection;150microgram/0.3ml (1 in 2000)
;;Solution for injection;15mg/0.3ml
;;Solution for injection;15mg/0.6ml
;;Solution for injection;17.5mg/0.35ml
;;Solution for injection;200unit/
;;Solution for injection;200unit/ml
;;Solution for injection;20mg/0.4ml
;;Solution for injection;20mg/0.8ml
;;Solution for injection;20mg/2.5ml
;;Solution for injection;20microgram/0.5ml
;;Solution for injection;22.5mg/0.45ml
;;Solution for injection;25mg/0.5ml
;;Solution for injection;25mg/1ml
;;Solution for injection;25microgram/0.5ml
;;Solution for injection;27.5mg/0.55ml
;;Solution for injection;300unit/
;;Solution for injection;30mg/0.6ml
;;Solution for injection;30microgram/0.3ml
;;Solution for injection;40microgram/0.4ml
;;Solution for injection;50microgram/0.5ml
;;Solution for injection;5mg/1.5ml
;;Solution for injection;60mg/0.5ml
;;Solution for injection;60microgram/0.3ml
;;Solution for injection;6mg/1.03ml
;;Solution for injection;7.5mg/0.15ml
;;Solution for injection;7.5mg/0.3ml
;;Solution for injection;80microgram/0.4ml
;;Solution for injection;90mg/0.5ml
;;Spray;10mg/0.1ml
;;Spray;20mg/0.1ml
;;Spray;5mg/0.1ml
;;Stoma caps;CCB120,Cut to fit 20mm,Beige
;;Suppository;500mg
;;Suspension for injection;
;;Suspension for injection;100mg/1ml
;;Suspension for injection;100unit/ml
;;Suspension for injection;150mg/1.5ml
;;Suspension for injection;50mg/0.5ml
;;Suspension for injection;75mg/0.75ml
;;Syringe;0.3ml with not less than 12mm needle 0.33mm/29gauge
;;TABLET;500mg
;;TAPE;1.25CMX5M
;;TAPE;2.5CM X3M
;;TAPE;2.5CMX4.5
;;TAPE;2.5CMX5M
;;TAPE;5CMX5M
;;TAPE;7.5CMX5M
;;TRUSS;DBLE EXT
;;TRUSS;DOUBLE
;;TRUSS;EXTRA
;;TRUSS;SINGLE
;;TRUSS;SNGLE EXT
;;TUBING;NO D FEE
;;Tablet;100mg
;;Tablet;10mg
;;Tablet;12mg
;;Tablet;1mg /  500microgram
;;Tablet;2.5mg /  1g
;;Tablet;2.5mg /  850mg
;;Tablet;200mg
;;Tablet;20mg
;;Tablet;2mg
;;Tablet;400mg
;;Tablet;4mg
;;Tablet;500microgram /  2.5mg
;;Tablet;50mg
;;Tablet;5mg
;;Tablet;6mg
;;Tablet;800mg
;;Tablet;8mg
;;Transdermal patch;100microgram/24 hours
;;Transdermal patch;10mg/24 hours
;;Transdermal patch;14mg/24 hours
;;Transdermal patch;15mg/24 hours
;;Transdermal patch;1mg/24 hours
;;Transdermal patch;25microgram/24 hours
;;Transdermal patch;37.5microgram/24 hours
;;Transdermal patch;3mg/24 hours
;;Transdermal patch;40microgram/24 hours
;;Transdermal patch;50microgram/24 hours
;;Transdermal patch;50microgram/24 hours /  7microgram/24 hours
;;Transdermal patch;5mg/24 hours
;;Transdermal patch;7mg/24 hours
;;Transdermal patch;80microgram/24 hours
;;Venture Healthcare Ltd;
;;WATER;
;;WOUND MAN DRESS;10CMX10CM
;;WOUND MAN DRESS;10CMX20CM
;;WOUND MAN DRESS;10X12.5CM
;;WOUND MAN DRESS;15X17CM
;;WOUND MAN DRESS;2.5CMX4CM
;;WOUND MAN DRESS;20CMX30CM
;;WOUND MAN DRESS;30CMX30CM
;;WOUND MAN DRESS;4CM X 5CM
;;WOUND MAN DRESS;500ML
;;WOUND MAN DRESS;5CM X 6CM
;;WOUND MAN DRESS;5CMX5CM
;;WOUND MAN DRESS;6CMX12CM
;;capsules;100mg
;;crystals;
;;infusion;0.90%
;;liquid;
;;liquid extract;
;;lyophilisates;1.25mg
;;modified-release  tablets;2.5mg
;;ointment;0.30%
;;oral powder;1g
;;oral powder;4g
;;oral solution;2mg/5ml
;;oral suspension;100mg/5ml
;;oral suspension;120mg/5ml
;;oral suspension;20mg/5ml
;;powder;
;;pump sublingual spray;400microgram/dose
;;solution for infusion;500mg/5ml
;;spray dried powder;
;;sublimed powder;
;;syrup;
;;tablets;20mg
;;tablets;500mg
;;tablets;500mg /  400mg
;;tablets;62mg
;;tincture;
;;water concentrated;
;0101010C0AAAAAA;Capsule;475mg
;0101010G0AAABAB;Oral suspension;195mg/220mg/5ml
;0101010G0AAAGAG;Oral suspension;175mg/200mg/5ml
;0101010J0AAAAAA;Oral suspension;
;0101010J0AAAHAH;Tablet;
;0101010P0AAAAAA;Oral suspension;125mg/500mg/5ml
;0101010Q0AAAGAG;Oral suspension;7.45-8.35%
;0101010R0AAABAB;Oral suspension;40mg/ml
;0101010R0AAADAD;Oral drops;42mg/5ml
;0101010R0AAAHAH;Capsule;125mg
;0101012B0AAABAB;Oral solution;420mg/5ml (1mmol/ml)
;0101012B0AAAPAP;Powder;
;0101021B0AAAHAH;Oral suspension;
;0101021B0AAAJAJ;Powder;225mg/dose /  87.5mg/dose
;0101021B0AAALAL;Oral suspension;500mg/5ml /  100mg/5ml
;0101021B0AAAPAP;Chewable tablet;500mg /  100mg
;0101021B0BEACAH;Oral suspension;
;0101021B0BEAIAL;Oral suspension;500mg/5ml /  100mg/5ml
;0101021C0AAAFAF;Chewable tablet;500mg
;0102000A0AAAAAA;Capsule;60mg
;0102000A0AAABAB;Capsule;120mg
;0102000ACAAAGAG;Tablet;600microgram
;0102000J0AAAAAA;Oral solution;10mg/5ml
;0102000J0AAABAB;Tablet;10mg
;0102000J0AAACAC;Tablet;20mg
;0102000L0AAAAAA;Tablet;2mg
;0102000L0AAACAC;Tablet;1mg
;0102000L0AABNBN;Oral solution;1mg/5ml
;0102000L0AABQBQ;Oral solution;400microgram/ml
;0102000N0AAAAAA;Solution for injection;20mg/1ml
;0102000N0AAABAB;Tablet;10mg
;0102000P0AAAAAA;Oral suspension;50mg/5ml
;0102000P0AAABAB;Tablet;135mg
;0102000P0AAADAD;Modified-release capsule;200mg
;0102000P0BCACAB;Tablet;135mg
;0102000T0AAAAAA;Gastro-resistant capsule;0.2ml
;0102000T0AAABAB;liquid;
;0102000T0AAAFAF;Modified-release capsule;0.2ml
;0102000X0AAAAAA;Effervescent granules;3.5g /  135mg
;0102000Y0AAAFAF;Tablet;15mg
;0103010D0AAABAB;Tablet;400mg
;0103010D0AAACAC;Tablet;800mg
;0103010D0AAADAD;Oral solution;200mg/5ml
;0103010D0AAALAL;Oral solution;200mg/5ml
;0103010H0AAAAAA;Tablet;20mg
;0103010H0AAABAB;Tablet;40mg
;0103010N0AAAAAA;Capsule;150mg
;0103010N0AAABAB;Capsule;300mg
;0103010T0AAAAAA;Tablet;150mg
;0103010T0AAACAC;Tablet;300mg
;0103010T0AAADAD;Solution for injection;50mg/2ml
;0103010T0AAAEAE;Oral solution;75mg/5ml
;0103010T0AAAPAP;Tablet;75mg
;0103010T0BBAIAP;Tablet;75mg
;0103040M0AAAAAA;Tablet;200microgram
;0103050E0AAAAAA;Gastro-resistant tablet;20mg
;0103050E0AAABAB;Gastro-resistant tablet;40mg
;0103050E0AAAEAE;Gastro-resistant granules;10mg
;0103050E0AAAFAF;Gastro-resistant capsule;20mg
;0103050E0AAAGAG;Gastro-resistant capsule;40mg
;0103050L0AAAAAA;Gastro-resistant capsule;30mg
;0103050L0AAABAB;Gastro-resistant capsule;15mg
;0103050L0AAAGAG;orodispersible tablets;15mg
;0103050L0AAAHAH;orodispersible tablets;30mg
;0103050P0AAAAAA;Gastro-resistant capsule;20mg
;0103050P0AAAEAE;Gastro-resistant capsule;40mg
;0103050P0AAAFAF;Gastro-resistant capsule;10mg
;0103050P0AAAMAM;Gastro-resistant tablet;10mg
;0103050P0AAANAN;Gastro-resistant tablet;20mg
;0103050P0AAAPAP;Gastro-resistant tablet;40mg
;0103050P0AABCBC;Gastro-resistant tablet;10mg
;0103050P0AABDBD;Gastro-resistant tablet;20mg
;0103050P0AABEBE;Gastro-resistant tablet;40mg
;0103050R0AAAAAA;Gastro-resistant tablet;40mg
;0103050R0AAABAB;Gastro-resistant tablet;20mg
;0103050T0AAAAAA;Gastro-resistant tablet;10mg
;0103050T0AAABAB;Gastro-resistant tablet;20mg
;0104020L0AAAAAA;Capsule;2mg
;0104020L0AAABAB;Oral solution;1mg/5ml
;0104020L0AAADAD;Tablet;2mg
;0104020L0AAARAR;orodispersible tablets;2mg
;0104020L0BBAAAA;Capsule;2mg
;0104020N0AAABAB;Oral suspension;
;0104020P0BBAAAA;Tablet;2mg /  125mg
;0105010B0AAAAAA;Gastro-resistant tablet;400mg
;0105010B0AAABAB;Suppository;500mg
;0105010B0AAACAC;Enema;1g/100ml
;0105010B0AAAGAG;Suppository;250mg
;0105010B0AAAHAH;Gastro-resistant tablet;250mg
;0105010B0AAAIAI;Modified-release tablet;500mg
;0105010B0AAAJAJ;Suppository;1g
;0105010B0AAAKAK;Foam;1g/application
;0105010B0AAALAL;Enema;2g/59ml
;0105010B0AAANAN;Modified-release granules;1g
;0105010B0AAARAR;Modified-release tablet;1.2g
;0105010B0AAASAS;Gastro-resistant tablet;800mg
;0105010B0AAATAT;Modified-release granules;2g
;0105010B0AAAUAU;Modified-release granules;1.5g
;0105010B0AAAXAX;Modified-release granules;1g
;0105010B0AAAYAY;Modified-release tablet;1g
;0105010B0AAAZAZ;Modified-release granules;3g
;0105010B0AABABA;Modified-release granules;4g
;0105010C0AAAAAA;Capsule;250mg
;0105010C0AAADAD;Tablet;500mg
;0105010D0AAABAB;Capsule;750mg
;0105010E0AAAAAA;Tablet;500mg
;0105010E0AAABAB;Gastro-resistant tablet;500mg
;0105010E0AAAPAP;Oral suspension;250mg/5ml
;0105020A0AAAAAA;Modified-release capsule;3mg
;0105020A0AAACAC;Gastro-resistant capsule;3mg
;0105020A0AAAEAE;Gastro-resistant granules;9mg
;0105020A0AAAFAF;Modified-release tablet;9mg
;0105020B0AAAAAA;Foam;10%
;0105020D0AAACAC;Foam;20mg/application
;0105020E0AAAAAA;Suppository;5mg
;0105020E0AAABAB;Enema;20mg/100ml
;0105040A0AAAAAA;Capsule;100mg
;0106010E0AAADAD;Effervescent granules;3.5g
;0106010H0AAACAC;Tablet;500mg
;0106010N0AAAAAA;Granules;62%
;0106010N0AAACAC;Granules;62% /  8%
;0106010N0AAADAD;Granules;62%
;0106010N0AAAFAF;Granules;62% /  8%
;0106020B0AAAAAA;Oral suspension;25mg/200mg/5ml
;0106020B0AAABAB;Oral suspension;75mg/1000mg/5ml
;0106020C0AAAAAA;Gastro-resistant tablet;5mg
;0106020C0AAADAD;Suppository;5mg
;0106020C0AAAEAE;Suppository;10mg
;0106020I0AAAHAH;Oral solution;12.5mg/5ml
;0106020I0AAAIAI;Oral solution;50mg/5ml
;0106020I0AAAKAK;Capsule;100mg
;0106020J0AAAAAA;Capsule;50mg/60mg
;0106020J0AAADAD;Oral suspension;50mg/60mg/5ml
;0106020L0AAAAAA;Suppository;1g
;0106020L0AAABAB;Suppository;2g
;0106020L0AAACAC;Suppository;4g
;0106020M0AAACAC;Tablet;7.5mg
;0106020M0AAAJAJ;Granules;12.4% /  54.2%
;0106020M0AAAPAP;Tablet;15mg
;0106020M0AAATAT;Oral solution;7.5mg/5ml
;0106020M0BBAHAT;Oral solution;7.5mg/5ml
;0106020P0AAABAB;Oral solution;5mg/5ml
;0106030A0AAAAAA;Enema;
;0106040G0AAAAAA;Oral solution;3.1-3.7g/5ml
;0106040G0AAAGAG;Oral solution;10g/
;0106040J0AAAIAI;Oral suspension;8%
;0106040L0AAABAB;Powder;
;0106040M0AAAAAA;Powder;
;0106040M0AAABAB;Powder;
;0106040M0AAAHAH;Oral solution;
;0106040M0AAAJAJ;Powder;
;0106040N0AAAAAA;Enema;
;0106040N0AAABAB;Enema;
;0106040N0AAAGAG;Suppository;340mg /  250mg
;0106060B0AAAAAA;Tablet;12.5mg
;0106060B0AAABAB;Tablet;25mg
;0106070A0AAAAAA;Tablet;1mg
;0106070A0AAABAB;Tablet;2mg
;0106070B0AAAAAA;Capsule;290microgram
;0107020J0AAADAD;Foam;1% /  1%
;0107020J0AAAEAE;Ointment;0.5% /  0.5%
;0107020J0AAAFAF;Suppository;5mg /  5mg
;0107020J0AAAGAG;Ointment;5% /  0.275%
;0107020P0AAACAC;Ointment;0.5% /  0.19%
;0107020P0AAADAD;Suppository;1mg /  1.3mg
;0107040A0AAAIAI;Rectal ointment;0.40%
;0109010U0AAAAAA;Tablet;150mg
;0109010U0AAABAB;Capsule;250mg
;0109010U0AAAYAY;Tablet;300mg
;0109010U0AABEBE;Oral suspension;250mg/5ml
;0109010U0AABKBK;Tablet;500mg
;0109010U0AABLBL;Tablet;250mg
;0201010F0AAAAAA;Oral solution;50microgram/ml
;0201010F0AAADAD;Tablet;62.5microgram
;0201010F0AAAEAE;Tablet;125microgram
;0201010F0AAAFAF;Tablet;250microgram
;0202010B0AAABAB;Tablet;2.5mg
;0202010B0AAACAC;Tablet;5mg
;0202010F0AAAAAA;Tablet;50mg
;0202010P0AAAAAA;Tablet;2.5mg
;0202010P0AAADAD;Modified-release tablet;1.5mg
;0202010Y0AAAAAA;Tablet;20mg
;0202020D0AAADAD;Oral solution;1mg/5ml
;0202020D0AAAEAE;Tablet;1mg
;0202020D0AAAFAF;Tablet;5mg
;0202020L0AAAAAA;Solution for injection;20mg/2ml
;0202020L0AABBBB;Tablet;20mg
;0202020L0AABDBD;Tablet;40mg
;0202020L0AABIBI;Tablet;500mg
;0202020L0AABNBN;Oral solution;40mg/5ml
;0202020L0AABPBP;Oral solution;50mg/5ml
;0202020L0AABQBQ;Oral solution;20mg/5ml
;0202020U0AAAAAA;Tablet;2.5mg
;0202020U0AAABAB;Tablet;5mg
;0202020U0AAACAC;Tablet;10mg
;0202030C0AAACAC;Tablet;5mg
;0202030C0AAASAS;Oral solution;5mg/5ml
;0202030S0AAATAT;Tablet;25mg
;0202030S0AAAUAU;Tablet;50mg
;0202030S0AAAVAV;Tablet;100mg
;0202030W0AAAAAA;Capsule;50mg
;0202030X0AAAAAA;Tablet;25mg
;0202030X0AAABAB;Tablet;50mg
;0202040A0AAAAAA;Tablet;2.5mg /  250microgram
;0202040B0AAAAAA;Tablet;5mg/40mg
;0202040B0AAABAB;Tablet;2.5mg/20mg
;0202040B0AAACAC;Tablet;10mg/80mg
;0202040C0AAAAAA;Tablet;5mg/50mg
;0202040C0AAABAB;Tablet;2.5mg/25mg
;0202040D0AAAAAA;Tablet;5mg /  1mg
;0202040G0AAAAAA;Tablet;25mg/25mg
;0202040G0AAABAB;Tablet;50mg/50mg
;0202040H0AAAAAA;Tablet;50mg/25mg
;0202040U0AAAAAA;Tablet;50mg /  40mg
;0203020D0AAAAAA;Tablet;100mg
;0203020D0AAABAB;Tablet;200mg
;0203020D0AABVBV;Solution for injection;300mg/10ml
;0203020F0AAABAB;Capsule;100mg
;0203020F0AAACAC;Capsule;150mg
;0203020G0AAACAC;Modified-release tablet;250mg
;0203020I0AAADAD;Tablet;100mg
;0203020I0AAAKAK;Tablet;50mg
;0203020R0AAAAAA;Tablet;150mg
;0203020R0AAABAB;Tablet;300mg
;0203020X0AAAAAA;Tablet;400mg
;020400010AAAAAA;Tablet;10mg /  5mg
;020400030AAAEAE;Tablet;10mg /  2.5mg
;020400040AAAAAA;Tablet;50mg/12.5mg
;020400040AAABAB;Tablet;100mg/25mg
;020400060AAAAAA;Tablet;200mg
;020400060AAABAB;Tablet;400mg
;020400080AAABAB;Tablet;12.5mg
;020400080AAACAC;Tablet;25mg
;020400080AAAEAE;Tablet;3.125mg
;020400080AAAFAF;Tablet;6.25mg
;0204000ABAAAAAA;Tablet;5mg
;0204000ABAAABAB;Tablet;2.5mg
;0204000ABAAACAC;Tablet;10mg
;0204000ACAAAAAA;Capsule;5mg /  75mg
;0204000ACAAABAB;Capsule;10mg /  75mg
;0204000ACAAACAC;Capsule;10mg /  100mg
;0204000ACAAADAD;Capsule;5mg /  100mg
;0204000C0AAAAAA;Capsule;100mg
;0204000C0AAABAB;Capsule;200mg
;0204000C0AAADAD;Tablet;400mg
;0204000E0AAAAAA;Oral solution;25mg/5ml
;0204000E0AAABAB;Tablet;50mg
;0204000E0AAACAC;Tablet;100mg
;0204000E0AAAGAG;Tablet;25mg
;0204000H0AAAAAA;Tablet;5mg
;0204000H0AAABAB;Tablet;10mg
;0204000H0AAAJAJ;Tablet;2.5mg
;0204000H0AAAKAK;Tablet;3.75mg
;0204000H0AAALAL;Tablet;7.5mg
;0204000H0AAAMAM;Tablet;1.25mg
;0204000I0AAABAB;Tablet;50mg
;0204000I0AAACAC;Tablet;100mg
;0204000I0AAADAD;Tablet;200mg
;0204000I0AAAEAE;Tablet;400mg
;0204000K0AAABAB;Tablet;50mg
;0204000K0AAACAC;Tablet;100mg
;0204000M0AAABAB;Tablet;80mg
;0204000N0AAABAB;Tablet;20mg
;0204000N0AAACAC;Tablet;40mg
;0204000P0AAAAAA;Tablet;5mg
;0204000R0AAAAAA;Modified-release capsule;80mg
;0204000R0AAABAB;Modified-release capsule;160mg
;0204000R0AAAHAH;Tablet;10mg
;0204000R0AAAJAJ;Tablet;40mg
;0204000R0AAAKAK;Tablet;80mg
;0204000R0AAALAL;Tablet;160mg
;0204000R0AACWCW;Oral solution;5mg/5ml
;0204000R0AACXCX;Oral solution;10mg/5ml
;0204000R0AACYCY;Oral solution;50mg/5ml
;0204000R0AADBDB;Oral solution;40mg/5ml
;0204000R0BDAEAB;Modified-release capsule;160mg
