AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;DATE_FROM;DATE_TO;VERSION
;;CARTRIDGE;10MG;2018-11-09;2018-11-09;1
;;CATHETER;;2018-11-09;2018-11-09;1
;;CHEWING GUM;2MG;2018-11-09;2018-11-09;1
;;CHIROPODY;WALLET 9;2018-11-09;2018-11-09;1
;;COTTON WOOL;100G;2018-11-09;2018-11-09;1
;;COTTON WOOL;25G;2018-11-09;2018-11-09;1
;;COTTON WOOL;500G;2018-11-09;2018-11-09;1
;;CREAM;;2018-11-09;2018-11-09;1
;;CRYSTALS;;2018-11-09;2018-11-09;1
;;CYLINDER;2122L;2018-11-09;2018-11-09;1
;;CYLINDER;419L;2018-11-09;2018-11-09;1
;;Capsule;;2018-11-09;2018-11-09;1
;;Capsule;1000unit;2018-11-09;2018-11-09;1
;;Capsule;100mg;2018-11-09;2018-11-09;1
;;Capsule;10mg;2018-11-09;2018-11-09;1
;;Capsule;10mg /  100mg;2018-11-09;2018-11-09;1
;;Capsule;200mg;2018-11-09;2018-11-09;1
;;Capsule;20mg;2018-11-09;2018-11-09;1
;;Capsule;25000unit;2018-11-09;2018-11-09;1
;;Capsule;25mg;2018-11-09;2018-11-09;1
;;Capsule;25mg/200mg;2018-11-09;2018-11-09;1
;;Capsule;290microgram;2018-11-09;2018-11-09;1
;;Capsule;2mg;2018-11-09;2018-11-09;1
;;Capsule;30mg;2018-11-09;2018-11-09;1
;;Capsule;37.5mg/500mg;2018-11-09;2018-11-09;1
;;Capsule;400mg;2018-11-09;2018-11-09;1
;;Capsule;400unit;2018-11-09;2018-11-09;1
;;Capsule;40mg;2018-11-09;2018-11-09;1
;;Capsule;50000unit;2018-11-09;2018-11-09;1
;;Capsule;50mg;2018-11-09;2018-11-09;1
;;Capsule;5600unit;2018-11-09;2018-11-09;1
;;Capsule;5mg /  100mg;2018-11-09;2018-11-09;1
;;Capsule;60mg;2018-11-09;2018-11-09;1
;;Capsule;60mg /  300mg;2018-11-09;2018-11-09;1
;;Capsule;667mg;2018-11-09;2018-11-09;1
;;Catheter valves;CV3808;2018-11-09;2018-11-09;1
;;Chewable tablet;1000unit /  2.5g;2018-11-09;2018-11-09;1
;;Chewable tablet;25mg;2018-11-09;2018-11-09;1
;;Chewable tablet;500mg /  100mg;2018-11-09;2018-11-09;1
;;Chewable tablet;50mg;2018-11-09;2018-11-09;1
;;Colostomy bags;9010-10,Cut to fit 10mm-55mm/70mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Colostomy bags;9050-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;Colostomy bags;9310-37,Cut to fit 10mm-37mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Colostomy bags;9310-46,Cut to fit 10mm-46mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Colostomy bags;9310-59,Cut to fit 10mm-59mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;Colostomy bags;971-54,Cut to fit 15mm-54mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;ConvaTec Ltd;Cut to fit 20mm-70mm, Opaque, 421686,;2018-11-09;2018-11-09;1
;;Cream;0;2018-11-09;2018-11-09;1
;;Cream;0.01%;2018-11-09;2018-11-09;1
;;Cream;10mg/g;2018-11-09;2018-11-09;1
;;Cream;15% /  6%;2018-11-09;2018-11-09;1
;;Cream;2%;2018-11-09;2018-11-09;1
;;Cream;2.5% /  2.5%;2018-11-09;2018-11-09;1
;;Cream;3%;2018-11-09;2018-11-09;1
;;Cream;3.00%;2018-11-09;2018-11-09;1
;;Cream;4%;2018-11-09;2018-11-09;1
;;Cream;4.00%;2018-11-09;2018-11-09;1
;;Cream;5%;2018-11-09;2018-11-09;1
;;Cream;5.00%;2018-11-09;2018-11-09;1
;;Cutaneous emulsion;;2018-11-09;2018-11-09;1
;;DRESSING;;2018-11-09;2018-11-09;1
;;DRESSING;NO.1;2018-11-09;2018-11-09;1
;;DRESSING;SPEC 35;2018-11-09;2018-11-09;1
;;DROPPER;;2018-11-09;2018-11-09;1
;;DROPS;0.3MG/ML;2018-11-09;2018-11-09;1
;;Dansac Ltd;Cut to fit 15mm-34mm, Beige, 3071-34,;2018-11-09;2018-11-09;1
;;Dansac Ltd;Cut to fit 15mm-44mm, Beige, 3071-44,;2018-11-09;2018-11-09;1
;;Dispersible tablet;50mg;2018-11-09;2018-11-09;1
;;DreamSkin Health Ltd;3-4 years girl;2018-11-09;2018-11-09;1
;;DreamSkin Health Ltd;5-6 years girl;2018-11-09;2018-11-09;1
;;ELASTIC HOISERY;;2018-11-09;2018-11-09;1
;;ELASTIC HOSIERY;;2018-11-09;2018-11-09;1
;;EYE BATH;PLASTIC;2018-11-09;2018-11-09;1
;;EYE DROP;300microgram/ml;2018-11-09;2018-11-09;1
;;EYE SHADES;;2018-11-09;2018-11-09;1
;;Ear drops;0.3% /  0.1%;2018-11-09;2018-11-09;1
;;Effervescent tablet;;2018-11-09;2018-11-09;1
;;Effervescent tablet;1.25g;2018-11-09;2018-11-09;1
;;Effervescent tablet;125mg;2018-11-09;2018-11-09;1
;;Effervescent tablet;150mg;2018-11-09;2018-11-09;1
;;Effervescent tablet;2.263g /  1.75g;2018-11-09;2018-11-09;1
;;Effervescent tablet;250mg;2018-11-09;2018-11-09;1
;;Effervescent tablet;300mg;2018-11-09;2018-11-09;1
;;Effervescent tablet;400unit /  1.5g;2018-11-09;2018-11-09;1
;;Effervescent tablet;70mg;2018-11-09;2018-11-09;1
;;Enema;2.5mg/1.25ml;2018-11-09;2018-11-09;1
;;Enema;2g/59ml;2018-11-09;2018-11-09;1
;;Eye drops;0;2018-11-09;2018-11-09;1
;;Eye drops;0.3% /  0.1%;2018-11-09;2018-11-09;1
;;Eye drops;0.32%;2018-11-09;2018-11-09;1
;;Eye drops;0.44%;2018-11-09;2018-11-09;1
;;Eye drops;0.50%;2018-11-09;2018-11-09;1
;;Eye drops;1%;2018-11-09;2018-11-09;1
;;Eye drops;1.00%;2018-11-09;2018-11-09;1
;;Eye drops;10mg/ml;2018-11-09;2018-11-09;1
;;Eye drops;15microgram/;2018-11-09;2018-11-09;1
;;Eye drops;15microgram/ml;2018-11-09;2018-11-09;1
;;Eye drops;15microgram/ml /  5mg/ml;2018-11-09;2018-11-09;1
;;Eye drops;1m/;2018-11-09;2018-11-09;1
;;Eye drops;2%;2018-11-09;2018-11-09;1
;;Eye drops;2% /  0.5%;2018-11-09;2018-11-09;1
;;Eye drops;2.00%;2018-11-09;2018-11-09;1
;;Eye drops;2.5mg/ml;2018-11-09;2018-11-09;1
;;Eye drops;300microgram/ml / 5mg/ml;2018-11-09;2018-11-09;1
;;Eye drops;50microgram/;2018-11-09;2018-11-09;1
;;Eye drops;50microgram/ml;2018-11-09;2018-11-09;1
;;Eye drops;5mg/ml;2018-11-09;2018-11-09;1
;;Eye drops;900microgram/ml;2018-11-09;2018-11-09;1
;;FELT;10.5X8.3;2018-11-09;2018-11-09;1
;;FELT;10X22.5X5;2018-11-09;2018-11-09;1
;;FINGER COTS;PACK OF10;2018-11-09;2018-11-09;1
;;FOAM;22.5X45CM;2018-11-09;2018-11-09;1
;;FOOD;125G;2018-11-09;2018-11-09;1
;;Foam;50microgram/g /  500microgram/g;2018-11-09;2018-11-09;1
;;GAMGEE;500G;2018-11-09;2018-11-09;1
;;GAUZE;1.25CMX5M;2018-11-09;2018-11-09;1
;;GAUZE;2.5CMX5M;2018-11-09;2018-11-09;1
;;GAUZE;25M;2018-11-09;2018-11-09;1
;;GAUZE;90CM X 1M;2018-11-09;2018-11-09;1
;;GAUZE;90CM X 3M;2018-11-09;2018-11-09;1
;;GAUZE;90CM X 5M;2018-11-09;2018-11-09;1
;;GAUZE;90CM X10M;2018-11-09;2018-11-09;1
;;GLOVES;PACK OF25;2018-11-09;2018-11-09;1
;;GUM;2MG;2018-11-09;2018-11-09;1
;;Gastro-resistant tablet;180mg;2018-11-09;2018-11-09;1
;;Gastro-resistant tablet;360mg;2018-11-09;2018-11-09;1
;;Gastro-resistant tablet;500mg;2018-11-09;2018-11-09;1
;;Gastroenteral liquid;10 x 200ml;2018-11-09;2018-11-09;1
;;Gel;;2018-11-09;2018-11-09;1
;;Gel;0;2018-11-09;2018-11-09;1
;;Gel;0.1% /  2.5%;2018-11-09;2018-11-09;1
;;Gel;0.75%;2018-11-09;2018-11-09;1
;;Gel;1%;2018-11-09;2018-11-09;1
;;Gel;2%;2018-11-09;2018-11-09;1
;;Gel;2.00%;2018-11-09;2018-11-09;1
;;Gel;2.32%;2018-11-09;2018-11-09;1
;;Gel;2.50%;2018-11-09;2018-11-09;1
;;Gel;26%;2018-11-09;2018-11-09;1
;;Gel;26.00%;2018-11-09;2018-11-09;1
;;Gel;4%;2018-11-09;2018-11-09;1
;;Gel;50mg/5g;2018-11-09;2018-11-09;1
;;Granules;100mg;2018-11-09;2018-11-09;1
;;Granules;3g;2018-11-09;2018-11-09;1
;;HOSIERY;;2018-11-09;2018-11-09;1
;;Haddenham Healthcare Ltd;Class 1 (18-21mmHg),  , SC-10;2018-11-09;2018-11-09;1
;;Ileostomy bags;9150-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;Ileostomy bags;9230-10,Cut to fit 10mm-55mm/70mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;9410-37,Cut to fit 10mm-37mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;9410-46,Cut to fit 10mm-46mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;9410-59,Cut to fit 10mm-59mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-24,Cut to fit 15mm-24mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-25,25mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-30,30mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-34,Cut to fit 15mm-34mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-35,35mm,Opaque,midi;2018-11-09;2018-11-09;1
;;Ileostomy bags;981-54,Cut to fit 15mm-54mm,Opaque,maxi;2018-11-09;2018-11-09;1
;;Impregnated dressing;7.5CM X 50CM;2018-11-09;2018-11-09;1
;;Inhalation powder;100microgram/dose /  6microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;184microgram/dose /  22microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;18microgram;2018-11-09;2018-11-09;1
;;Inhalation powder;200microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;200microgram/dose /  6microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;250microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;375microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;396microgram/dose /  11.8microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;55microgram;2018-11-09;2018-11-09;1
;;Inhalation powder;65microgram/dose /  22microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;92microgram/dose /  22microgram/dose;2018-11-09;2018-11-09;1
;;Inhalation powder;95microgram/dose;2018-11-09;2018-11-09;1
;;Jobskin Ltd;Class 2 (23-32mmHg), normal size VI  , Beige;2018-11-09;2018-11-09;1
;;KNEECAP;;2018-11-09;2018-11-09;1
;;KNEECAP;STOCK SIZ;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite large  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), petite medium  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard extra large  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard large  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard medium  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 1 (18-21mmHg), standard small  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite large  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), petite medium  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard large  , Natural tan;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Black;2018-11-09;2018-11-09;1
;;L&R Medical UK Ltd;Class 2 (23-32mmHg), standard medium  , Natural tan;2018-11-09;2018-11-09;1
;;LANCET;2.0MM/23G;2018-11-09;2018-11-09;1
;;LINT;100G;2018-11-09;2018-11-09;1
;;LINT;25G;2018-11-09;2018-11-09;1
;;LINT;500G;2018-11-09;2018-11-09;1
;;LIQUID;;2018-11-09;2018-11-09;1
;;LIQUID;250ML;2018-11-09;2018-11-09;1
;;LIQUID;33%;2018-11-09;2018-11-09;1
;;LIQUID;33.00%;2018-11-09;2018-11-09;1
;;LIQUID;90%;2018-11-09;2018-11-09;1
;;LIQUID;90.00%;2018-11-09;2018-11-09;1
;;LOTION;10%;2018-11-09;2018-11-09;1
;;LOZENGES;1MG;2018-11-09;2018-11-09;1
;;LOZENGES;2MG;2018-11-09;2018-11-09;1
;;LYOPHILISATE;2MG;2018-11-09;2018-11-09;1
;;Liquid;;2018-11-09;2018-11-09;1
;;Liquid;0.05%;2018-11-09;2018-11-09;1
;;Liquid;1%;2018-11-09;2018-11-09;1
;;Liquid;2%;2018-11-09;2018-11-09;1
;;Liquid;2.00%;2018-11-09;2018-11-09;1
;;Lozenge;1.2mg;2018-11-09;2018-11-09;1
;;Lozenge;200microgram;2018-11-09;2018-11-09;1
;;Lozenge;400microgram;2018-11-09;2018-11-09;1
;;Lozenge;800microgram;2018-11-09;2018-11-09;1
;;MASK;DISP FEE;2018-11-09;2018-11-09;1
;;MASK;NO D FEE;2018-11-09;2018-11-09;1
;;MIX;500G;2018-11-09;2018-11-09;1
;;MIXTURE;;2018-11-09;2018-11-09;1
;;Medicated plaster;0;2018-11-09;2018-11-09;1
;;Medicated plaster;140mg;2018-11-09;2018-11-09;1
;;Medicated plaster;5%;2018-11-09;2018-11-09;1
;;Medicated plaster;5.00%;2018-11-09;2018-11-09;1
;;Modified-release capsule;100mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;120mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;160mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;180mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;200mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;2mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;300mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;3mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;400microgram;2018-11-09;2018-11-09;1
;;Modified-release capsule;500microgram;2018-11-09;2018-11-09;1
;;Modified-release capsule;5mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;80mg;2018-11-09;2018-11-09;1
;;Modified-release capsule;8mg;2018-11-09;2018-11-09;1
;;Modified-release granules;100mg;2018-11-09;2018-11-09;1
;;Modified-release granules;1g;2018-11-09;2018-11-09;1
;;Modified-release granules;250mg;2018-11-09;2018-11-09;1
;;Modified-release granules;4g;2018-11-09;2018-11-09;1
;;Modified-release granules;500mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;120mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;15mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;200mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;20mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;225mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;25mg/100mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;300mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;3mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;400mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;40mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;40mg /  20mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;4mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;50mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;50mg/200mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;6mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;6mg /  400microgram;2018-11-09;2018-11-09;1
;;Modified-release tablet;75mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;8mg;2018-11-09;2018-11-09;1
;;Modified-release tablet;9mg;2018-11-09;2018-11-09;1
;;Mouthwash;0%;2018-11-09;2018-11-09;1
;;Mouthwash;0.05%;2018-11-09;2018-11-09;1
;;Mouthwash;0.06% /  0.05%;2018-11-09;2018-11-09;1
;;Mouthwash;1.50%;2018-11-09;2018-11-09;1
;;NAIL LACQUER;;2018-11-09;2018-11-09;1
;;NASAL CANULA;;2018-11-09;2018-11-09;1
;;NEEDLE;0.45MM26G;2018-11-09;2018-11-09;1
;;NEEDLE;0.5MM 25G;2018-11-09;2018-11-09;1
;;NEEDLE;12MM/29G;2018-11-09;2018-11-09;1
;;NEEDLE;27G 0.4MM;2018-11-09;2018-11-09;1
;;NEEDLE CLIPPING;;2018-11-09;2018-11-09;1
;;NELATON  CATHETER FEMALE;USCC08F;2018-11-09;2018-11-09;1
;;NELATON  CATHETER FEMALE;USCC16F;2018-11-09;2018-11-09;1
;;NELATON  CATHETER MALE;USCC10M;2018-11-09;2018-11-09;1
;;Nasal drops;400microgram/dose;2018-11-09;2018-11-09;1
;;Nebuliser liquid;0;2018-11-09;2018-11-09;1
;;Nebuliser liquid;0.90%;2018-11-09;2018-11-09;1
;;Nebuliser liquid;1%;2018-11-09;2018-11-09;1
;;Nebuliser liquid;2.5mg/2.5ml /  500microgram/2.5ml;2018-11-09;2018-11-09;1
;;Nebuliser liquid;300mg/5ml;2018-11-09;2018-11-09;1
;;Neon Diagnostics Ltd;;2018-11-09;2018-11-09;1
;;Not applicable;;2018-11-09;2018-11-09;1
;;OIL;;2018-11-09;2018-11-09;1
;;ORAL SUSPENSION;100MG/5ML;2018-11-09;2018-11-09;1
;;ORAL SUSPENSION;1G/5ML;2018-11-09;2018-11-09;1
;;OROMUCOSAL SOLUTION;;2018-11-09;2018-11-09;1
;;OXYGEN;;2018-11-09;2018-11-09;1
;;OXYGEN;DISP FEE;2018-11-09;2018-11-09;1
;;Ointment;50%;2018-11-09;2018-11-09;1
;;Ointment;50.00%;2018-11-09;2018-11-09;1
;;Oral drops;10000unit/ml;2018-11-09;2018-11-09;1
;;Oral drops;200unit/drop;2018-11-09;2018-11-09;1
;;Oral drops;2740unit/ml;2018-11-09;2018-11-09;1
;;Oral emulsion;/;2018-11-09;2018-11-09;1
;;Oral gel;0;2018-11-09;2018-11-09;1
;;Oral gel;40%;2018-11-09;2018-11-09;1
;;Oral gel;40.00%;2018-11-09;2018-11-09;1
;;Oral solution;;2018-11-09;2018-11-09;1
;;Oral solution;1.09g/5ml /  727mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;1.46g/5ml (5mmol/ml);2018-11-09;2018-11-09;1
;;Oral solution;1.5mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;10000unit/ml;2018-11-09;2018-11-09;1
;;Oral solution;100mg/ml;2018-11-09;2018-11-09;1
;;Oral solution;10mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;10mg/ml;2018-11-09;2018-11-09;1
;;Oral solution;125mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;1mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;1mg/ml;2018-11-09;2018-11-09;1
;;Oral solution;2.5mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;20mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;20mg/ml;2018-11-09;2018-11-09;1
;;Oral solution;25mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;292.5mg/5ml (1mmol/ml);2018-11-09;2018-11-09;1
;;Oral solution;360microgram/ml;2018-11-09;2018-11-09;1
;;Oral solution;40mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;441.17mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;4mg/1ml;2018-11-09;2018-11-09;1
;;Oral solution;50000unit/1ml;2018-11-09;2018-11-09;1
;;Oral solution;500mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;509mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;50mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;520mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;5mg/5ml;2018-11-09;2018-11-09;1
;;Oral solution;7.5mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;;2018-11-09;2018-11-09;1
;;Oral suspension;100mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;125mg/31mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;125mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;195mg/220mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;1g/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;2.5mg/ml;2018-11-09;2018-11-09;1
;;Oral suspension;200mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;250mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;250mg/62mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;25mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;2mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;40mg/200mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;40mg/ml;2018-11-09;2018-11-09;1
;;Oral suspension;500mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;500mg/5ml /  100mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;50mg/60mg/5ml;2018-11-09;2018-11-09;1
;;Oral suspension;60mg/ml;2018-11-09;2018-11-09;1
;;Oral suspension;80mg/400mg/5ml;2018-11-09;2018-11-09;1
;;Orodispersible tablet;10mg;2018-11-09;2018-11-09;1
;;Orodispersible tablet;15mg;2018-11-09;2018-11-09;1
;;Oromucosal gel;20mg/g;2018-11-09;2018-11-09;1
;;Oromucosal solution;10MG/2ML;2018-11-09;2018-11-09;1
;;Oromucosal solution;10mg/1ml;2018-11-09;2018-11-09;1
;;Oromucosal solution;2.5MG/0.5;2018-11-09;2018-11-09;1
;;Oromucosal solution;2.5mg/0.5ml;2018-11-09;2018-11-09;1
;;Oromucosal solution;5MG/1ML;2018-11-09;2018-11-09;1
;;Oromucosal solution;5mg/1ml;2018-11-09;2018-11-09;1
;;Oromucosal solution;7.5/1.5ML;2018-11-09;2018-11-09;1
;;Oromucosal solution;7.5mg/1.5ml;2018-11-09;2018-11-09;1
;;Owen Mumford Ltd;;2018-11-09;2018-11-09;1
;;PATCH;14MG/24HR;2018-11-09;2018-11-09;1
;;PATCH;15MG;2018-11-09;2018-11-09;1
