AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;;Eye drops;2.00%
;;Eye drops;50microgram/
;;FELT;10.5X8.3
;;FELT;10X22.5X5
;;FINGER COTS;PACK OF10
;;FOAM;22.5X45CM
;;FOOD;125G
;;Foam;50microgram/g /  500microgram/g
;;GAMGEE;500G
;;GAUZE;1.25CMX5M
;;GAUZE;2.5CMX5M
;;GAUZE;25M
;;GAUZE;90CM X 1M
;;GAUZE;90CM X 3M
;;GAUZE;90CM X 5M
;;GAUZE;90CM X10M
;;GLOVES;PACK OF25
;;GUM;2MG
;;Gel;
;;Gel;0
;;Gel;0.1% /  2.5%
;;Gel;2%
;;Gel;2.00%
;;Gel;2.32%
;;Gel;2.50%
;;Gel;26%
;;Gel;26.00%
;;Gel;50mg/5g
;;Granules;100mg
;;HOSIERY;
;;Ileostomy bags;9150-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi
;;Ileostomy bags;9230-10,Cut to fit 10mm-55mm/70mm,Opaque,midi
;;Ileostomy bags;9410-37,Cut to fit 10mm-37mm,Opaque,midi
;;Ileostomy bags;9410-46,Cut to fit 10mm-46mm,Opaque,midi
;;Ileostomy bags;9410-59,Cut to fit 10mm-59mm,Opaque,maxi
;;Ileostomy bags;981-24,Cut to fit 15mm-24mm,Opaque,midi
;;Ileostomy bags;981-25,25mm,Opaque,midi
;;Ileostomy bags;981-30,30mm,Opaque,midi
;;Ileostomy bags;981-34,Cut to fit 15mm-34mm,Opaque,midi
;;Ileostomy bags;981-35,35mm,Opaque,midi
;;Ileostomy bags;981-54,Cut to fit 15mm-54mm,Opaque,maxi
;;Impregnated dressing;7.5CM X 50CM
;;Inhalation powder;100microgram/dose /  6microgram/dose
;;Inhalation powder;184microgram/dose /  22microgram/dose
;;Inhalation powder;18microgram
;;Inhalation powder;200microgram/dose /  6microgram/dose
;;Inhalation powder;250microgram/dose
;;Inhalation powder;375microgram/dose
;;Inhalation powder;396microgram/dose /  11.8microgram/dose
;;Inhalation powder;55microgram
;;Inhalation powder;65microgram/dose /  22microgram/dose
;;Inhalation powder;92microgram/dose /  22microgram/dose
;;Inhalation powder;95microgram/dose
;;KNEECAP;
;;KNEECAP;STOCK SIZ
;;LINT;100G
;;LINT;25G
;;LINT;500G
;;LIQUID;
;;LIQUID;250ML
;;LIQUID;33%
;;LIQUID;33.00%
;;LIQUID;90%
;;LOTION;10%
;;LOZENGES;1MG
;;LOZENGES;2MG
;;LYOPHILISATE;2MG
;;Liquid;
;;Liquid;2%
;;Liquid;2.00%
;;MASK;DISP FEE
;;MASK;NO D FEE
;;MIX;500G
;;MIXTURE;
;;Medicated plaster;0
;;Medicated plaster;140mg
;;Medicated plaster;5%
;;Medicated plaster;5.00%
;;Modified-release capsule;160mg
;;Modified-release capsule;200mg
;;Modified-release capsule;2mg
;;Modified-release capsule;300mg
;;Modified-release capsule;80mg
;;Modified-release capsule;8mg
;;Modified-release granules;100mg
;;Modified-release granules;1g
;;Modified-release granules;250mg
;;Modified-release granules;500mg
;;Modified-release tablet;120mg
;;Modified-release tablet;15mg
;;Modified-release tablet;200mg
;;Modified-release tablet;225mg
;;Modified-release tablet;25mg/100mg
;;Modified-release tablet;300mg
;;Modified-release tablet;400mg
;;Modified-release tablet;40mg
;;Modified-release tablet;4mg
;;Modified-release tablet;50mg
;;Modified-release tablet;50mg/200mg
;;Modified-release tablet;6mg /  400microgram
;;Modified-release tablet;75mg
;;Modified-release tablet;8mg
;;NAIL LACQUER;
;;NASAL CANULA;
;;NEEDLE;0.45MM26G
;;NEEDLE;0.5MM 25G
;;NEEDLE;27G 0.4MM
;;NEEDLE CLIPPING;
;;Nasal drops;400microgram/dose
;;Nebuliser liquid;0
;;Nebuliser liquid;0.90%
;;Nebuliser liquid;1%
;;Nebuliser liquid;2.5mg/2.5ml /  500microgram/2.5ml
;;OIL;
;;ORAL SUSPENSION;100MG/5ML
;;ORAL SUSPENSION;1G/5ML
;;OROMUCOSAL SOLUTION;
;;OXYGEN;
;;OXYGEN;DISP FEE
;;Ointment;50%
;;Ointment;50.00%
;;Oral drops;10000unit/ml
;;Oral drops;2740unit/ml
;;Oral emulsion;/
;;Oral gel;0
;;Oral gel;40%
;;Oral gel;40.00%
;;Oral solution;
;;Oral solution;1.09g/5ml /  727mg/5ml
;;Oral solution;1.46g/5ml (5mmol/ml)
;;Oral solution;1.5mg/5ml
;;Oral solution;10000unit/ml
;;Oral solution;100mg/ml
;;Oral solution;10mg/5ml
;;Oral solution;10mg/ml
;;Oral solution;125mg/5ml
;;Oral solution;1mg/5ml
;;Oral solution;1mg/ml
;;Oral solution;2.5mg/5ml
;;Oral solution;20mg/5ml
;;Oral solution;20mg/ml
;;Oral solution;292.5mg/5ml (1mmol/ml)
;;Oral solution;360microgram/ml
;;Oral solution;40mg/5ml
;;Oral solution;4mg/1ml
;;Oral solution;50000unit/1ml
;;Oral solution;500mg/5ml
;;Oral solution;509mg/5ml
;;Oral solution;50mg/5ml
;;Oral solution;5mg/5ml
;;Oral solution;7.5mg/5ml
;;Oral suspension;
;;Oral suspension;100mg/5ml
;;Oral suspension;125mg/31mg/5ml
;;Oral suspension;195mg/220mg/5ml
;;Oral suspension;1g/5ml
;;Oral suspension;2.5mg/ml
;;Oral suspension;200mg/5ml
;;Oral suspension;250mg/5ml
;;Oral suspension;250mg/62mg/5ml
;;Oral suspension;25mg/5ml
;;Oral suspension;2mg/5ml
;;Oral suspension;40mg/ml
;;Oral suspension;500mg/5ml
;;Oral suspension;500mg/5ml /  100mg/5ml
;;Oral suspension;50mg/60mg/5ml
;;Oral suspension;60mg/ml
;;Orodispersible tablet;10mg
;;Orodispersible tablet;15mg
;;Oromucosal gel;20mg/g
;;Oromucosal solution;10MG/2ML
;;Oromucosal solution;2.5MG/0.5
;;Oromucosal solution;2.5mg/0.5ml
;;Oromucosal solution;5MG/1ML
;;Oromucosal solution;5mg/1ml
;;Oromucosal solution;7.5/1.5ML
;;Oromucosal solution;7.5mg/1.5ml
;;PATCH;14MG/24HR
;;PATCH;15MG
;;PATCH;25MG
;;PESSARIES;110MM
;;PESSARIES;50-80MM
;;PESSARIES;7.5MM THK
;;PESSARIES;85-100MM
;;PESSARY;
;;PESSARY + CREAM;10G
;;PLASTER;19X12.5CM
;;PLASTER;28X17.5CM
;;POWDER;
;;Pessary;500mg
;;Powder;
;;Powder;1g
;;Powder;250mg
;;Powder;57G
;;Powder and solvent for suspension for injection;11.25mg
;;Powder and solvent for suspension for injection;3mg
;;Powder for nebuliser solution;1million unit
;;Pressurised inhalation;200microgram/dose /  6microgram/dose
;;RINGS;PCK OF 4
;;ROLLS;4 ROLLS
;;SACHETS;57G
;;SLING;
;;SOLUTION;
;;SPRAY DRIED POWDER;
;;STOCKINETTE;1.5CM
;;STOCKINETTE;10CMX6M
;;STOCKINETTE;2.5CMX1M
;;STOCKINETTE;2.6-2.8CM
;;STOCKINETTE;3.6CM
;;STOCKINETTE;6.7CM
;;STOCKINETTE;7.5CMX1M
;;STOCKINETTE;7.7CM
;;STOCKINETTE;9.8CM
;;STOCKING;
;;STOCKING;STOCK SIZ
;;STOCKING;STOCKSIZ
;;SUPPLEMENT;6.5G
;;SUSPENSION;500MG/5ML
;;SWAB;10CM SQ
;;SWAB;10CMX10CM
;;SWAB;7.5CM SQ
;;SWAB;7.5X7.5CM
;;SWAB 12PLY;10CM SQ
;;SYRINGE;0.3ML
;;SYRINGE;0.5ML
;;SYRINGE;1.0ML
;;SYRINGE;100ML
;;SYRINGE;U100 /1ML
;;SYRINGE;U100/.5ML
;;SYRUP;
;;Shampoo;0
;;Shampoo;2%
;;Shampoo;2.00%
;;Shampoo;4%
;;Shampoo;4.00%
;;Soluble tablet;2mg
;;Soluble tablet;4mg
;;Soluble tablet;8mg
;;Solution for injection;0unit/
;;Solution for injection;100microgram/1ml
;;Solution for injection;100unit/
;;Solution for injection;10mg/2ml
;;Solution for injection;2500unit/0.25ml
;;Solution for injection;30%
;;Solution for injection;30mg/10ml
;;Solution for injection;30mg/3ml
;;Solution for injection;3500unit/0.35ml
;;Solution for injection;3mg/10ml
;;Solution for injection;400microgram/1ml
;;Solution for injection;4500unit/0.45ml
;;Solution for injection;50microgram/1ml
;;Solution for injection;5mg/1ml
;;Solution for injection;6.6mg/2ml
;;Solution for injection;60mg/1ml
;;Spray;0
;;Spray;10mg/0.1ml
;;Spray;20mg/0.1ml
;;Spray;5%
;;Spray;5.00%
;;Spray;50microgram/dose
;;Spray;50microgram/dose /  137microgram/dose
;;Spray;5mg/0.1ml
;;Stick;95%
;;Stick;95.00%
;;Sublingual tablet;400microgram
;;Suppository;10mg
;;Suppository;250mg
;;Suppository;500mg
;;Suspension for injection;100unit/
;;TABLET;
;;TABLET;10MG
;;TABLET;1G
;;TABLET;300MG
;;TABLETS;
;;TABLETS;0.5MG/1MG
;;TABLETS;1.5MG
;;TABLETS;2MG
;;TABLETS;600MG
;;TABLETS;75MG
;;TAPE;1.25CMX5M
;;TAPE;2.5CM X3M
;;TAPE;2.5CMX4.5
;;TAPE;2.5CMX5M
;;TAPE;5CMX5M
;;TAPE;7.5CMX5M
;;TINCTURE;
;;TRUSS;
;;TRUSS;DBLE EXT
;;TRUSS;DOUBLE
;;TRUSS;EXTRA
;;TRUSS;SINGLE
;;TRUSS;SNGLE EXT
;;TUBING;NO D FEE
;;Tablet;1000unit
;;Tablet;100mg
;;Tablet;10mg
;;Tablet;10mg /  2.5mg
;;Tablet;12.5mg
;;Tablet;12.5mg /  1g
;;Tablet;12.8mg/500mg
;;Tablet;135mg
;;Tablet;145mg /  20mg
;;Tablet;145mg /  40mg
;;Tablet;15mg
;;Tablet;1mg
;;Tablet;1mg /  2mg
;;Tablet;1mg /  500microgram
;;Tablet;200mg
;;Tablet;20mg
;;Tablet;20microgram /  1mg
;;Tablet;20microgram /  3mg
;;Tablet;20microgram /  75microgram
;;Tablet;24mg /  26mg
;;Tablet;25000unit
;;Tablet;25mg
;;Tablet;2mg
;;Tablet;2mg /  125mg
;;Tablet;2mg /  1mg
;;Tablet;2mg /  700microgram
;;Tablet;300mg
;;Tablet;30mg
;;Tablet;30microgram /  1.5mg
;;Tablet;30microgram /  3mg
;;Tablet;30microgram /  75microgram
;;Tablet;32.5mg/325mg
;;Tablet;35microgram /  250microgram
;;Tablet;35microgram /  500microgram
;;Tablet;4000unit
;;Tablet;400mg
;;Tablet;49mg /  51mg
;;Tablet;4mg
;;Tablet;500mg
;;Tablet;50mg
;;Tablet;5mg
;;Tablet;6.25mg
;;Tablet;600mg
;;Tablet;60mg
;;Tablet;75mg
;;Tablet;90mg
;;Tablet;97mg /  103mg
;;Transdermal patch;14mg/24 hours
;;Transdermal patch;15microgram/hour
;;Transdermal patch;7mg/24 hours
;;WAISTBAND;OA2AW
;;WATER;
;;WAX;
;;WOUND MAN DRESS;10CMX10CM
;;WOUND MAN DRESS;10CMX20CM
;;WOUND MAN DRESS;10X12.5CM
;;WOUND MAN DRESS;15X17CM
;;WOUND MAN DRESS;2.5CMX4CM
;;WOUND MAN DRESS;20CMX30CM
;;WOUND MAN DRESS;30CMX30CM
;;WOUND MAN DRESS;40CMX60CM
;;WOUND MAN DRESS;4CM X 5CM
;;WOUND MAN DRESS;5CM X 6CM
;;WOUND MAN DRESS;5CMX5CM
;;WOUND MAN DRESS;6CMX12CM
;;WOUND MAN DRESS;LV100
;0101010C0AAAAAA;Capsule;475mg
;0101010G0AAABAB;Oral suspension;195mg/220mg/5ml
;0101010J0AAAAAA;Oral suspension;
;0101010J0AAAHAH;Tablet;
;0101010P0AAAAAA;Oral suspension;125mg/500mg/5ml
;0101010Q0AAAAAA;Oral suspension;415mg/5ml
;0101010R0AAABAB;Oral suspension;40mg/ml
;0101012B0AAABAB;Oral solution;420mg/5ml (1mmol/ml)
;0101012B0AAAPAP;Powder;
;0101021B0AAAHAH;Oral suspension;
;0101021B0AAALAL;Oral suspension;500mg/5ml /  100mg/5ml
;0101021B0AAAPAP;Chewable tablet;500mg /  100mg
;0102000A0AAAAAA;Capsule;60mg
;0102000A0AAABAB;Capsule;120mg
;0102000ACAAAGAG;Tablet;600microgram
;0102000J0AAAAAA;Oral solution;10mg/5ml
;0102000J0AAABAB;Tablet;10mg
;0102000J0AAACAC;Tablet;20mg
;0102000L0AAAAAA;Tablet;2mg
;0102000L0AAACAC;Tablet;1mg
;0102000L0AABNBN;Oral solution;1mg/5ml
;0102000N0AAAAAA;Solution for injection;20mg/1ml
;0102000N0AAABAB;Tablet;10mg
;0102000P0AAAAAA;Oral suspension;50mg/5ml
;0102000P0AAABAB;Tablet;135mg
;0102000P0AAADAD;Modified-release capsule;200mg
;0102000T0AAAAAA;Gastro-resistant capsule;0.2ml
;0102000T0AAABAB;LIQUID;
;0102000T0AAAFAF;Modified-release capsule;0.2ml
;0102000X0AAAAAA;Effervescent granules;3.5g /  135mg
;0102000Y0AAAFAF;Tablet;15mg
;0103010D0AAAAAA;Tablet;200mg
;0103010D0AAABAB;Tablet;400mg
;0103010D0AAACAC;Tablet;800mg
;0103010D0AAADAD;Oral solution;200mg/5ml
;0103010D0AAALAL;Oral solution;200mg/5ml
;0103010H0AAAAAA;Tablet;20mg
;0103010H0AAABAB;Tablet;40mg
;0103010N0AAAAAA;Capsule;150mg
;0103010N0AAABAB;Capsule;300mg
;0103010T0AAAAAA;Tablet;150mg
;0103010T0AAACAC;Tablet;300mg
;0103010T0AAAEAE;Oral solution;75mg/5ml
;0103040M0AAAAAA;Tablet;200microgram
;0103050E0AAAAAA;Gastro-resistant tablet;20mg
;0103050E0AAABAB;Gastro-resistant tablet;40mg
;0103050E0AAAEAE;Gastro-resistant granules;10mg
;0103050E0AAAFAF;Gastro-resistant capsule;20mg
;0103050E0AAAGAG;Gastro-resistant capsule;40mg
;0103050L0AAAAAA;Gastro-resistant capsule;30mg
;0103050L0AAABAB;Gastro-resistant capsule;15mg
;0103050L0AAAGAG;ORODISPERSIBLE TABLET;15MG
;0103050L0AAAHAH;ORODISPERSIBLE TABLET;30MG
;0103050P0AAAAAA;Gastro-resistant capsule;20mg
;0103050P0AAAEAE;Gastro-resistant capsule;40mg
;0103050P0AAAFAF;Gastro-resistant capsule;10mg
;0103050P0AAAMAM;Gastro-resistant tablet;10mg
;0103050P0AAANAN;Gastro-resistant tablet;20mg
;0103050P0AAAPAP;Gastro-resistant tablet;40mg
;0103050P0AABCBC;Gastro-resistant tablet;10mg
;0103050P0AABDBD;Gastro-resistant tablet;20mg
;0103050P0AABEBE;Gastro-resistant tablet;40mg
;0103050R0AAAAAA;Gastro-resistant tablet;40mg
;0103050R0AAABAB;Gastro-resistant tablet;20mg
;0103050T0AAAAAA;Gastro-resistant tablet;10mg
;0103050T0AAABAB;Gastro-resistant tablet;20mg
;0104020H0AAAAAA;Tablet;2.5mg/0.025mg
;0104020L0AAAAAA;Capsule;2mg
;0104020L0AAABAB;Oral solution;1mg/5ml
;0104020L0AAADAD;Tablet;2mg
;0104020L0AAARAR;;2mg
;0104020N0AAABAB;Oral suspension;
;0105010B0AAAAAA;Gastro-resistant tablet;400mg
;0105010B0AAABAB;Suppository;500mg
;0105010B0AAACAC;Enema;1g/100ml
;0105010B0AAAGAG;Suppository;250mg
;0105010B0AAAIAI;Modified-release tablet;500mg
;0105010B0AAAJAJ;Suppository;1g
;0105010B0AAAKAK;Foam;1g/application
;0105010B0AAALAL;Enema;2g/59ml
;0105010B0AAANAN;Modified-release granules;1g
;0105010B0AAARAR;Modified-release tablet;1.2g
;0105010B0AAASAS;Gastro-resistant tablet;800mg
;0105010B0AAATAT;Modified-release granules;2g
;0105010B0AAAUAU;Modified-release granules;1.5g
;0105010B0AAAXAX;Modified-release granules;1g
;0105010B0AAAYAY;Modified-release tablet;1g
;0105010B0AAAZAZ;Modified-release granules;3g
;0105010C0AAAAAA;Capsule;250mg
;0105010C0AAADAD;Tablet;500mg
;0105010D0AAABAB;Capsule;750mg
;0105010E0AAAAAA;Tablet;500mg
;0105010E0AAABAB;Gastro-resistant tablet;500mg
;0105010E0AAAPAP;Oral suspension;250mg/5ml
;0105020A0AAAAAA;Modified-release capsule;3mg
;0105020A0AAACAC;Gastro-resistant capsule;3mg
;0105020A0AAAFAF;Modified-release tablet;9mg
;0105020B0AAAAAA;Foam;10%
;0105020B0AAAAAA;Foam;10.00%
;0105020D0AAACAC;Foam;20mg/application
;0105020E0AAAAAA;Suppository;5mg
;0105020E0AAABAB;Enema;20mg/100ml
;0105040A0AAAAAA;Capsule;100mg
;0106010E0AAADAD;Effervescent granules;3.5g
;0106010H0AAACAC;Tablet;500mg
;0106010N0AAAAAA;Granules;1
;0106010N0AAAAAA;Granules;62%
;0106010N0AAAAAA;Granules;62.00%
;0106010N0AAACAC;Granules;62% /  8%
;0106010N0AAADAD;Granules;62%
;0106010N0AAADAD;Granules;62.00%
;0106010N0AAAFAF;Granules;62% /  8%
;0106020B0AAAAAA;Oral suspension;25mg/200mg/5ml
;0106020B0AAABAB;Oral suspension;75mg/1000mg/5ml
;0106020B0AAAFAF;Capsule;37.5mg/500mg
;0106020C0AAAAAA;Gastro-resistant tablet;5mg
;0106020C0AAADAD;Suppository;5mg
;0106020C0AAAEAE;Suppository;10mg
;0106020I0AAAHAH;Oral solution;12.5mg/5ml
;0106020I0AAAIAI;Oral solution;50mg/5ml
;0106020I0AAAKAK;Capsule;100mg
;0106020J0AAAAAA;Capsule;50mg/60mg
;0106020J0AAADAD;Oral suspension;50mg/60mg/5ml
;0106020L0AAAAAA;Suppository;1g
;0106020L0AAABAB;Suppository;2g
;0106020L0AAACAC;Suppository;4g
;0106020M0AAACAC;Tablet;7.5mg
;0106020M0AAAJAJ;Granules;12.4% /  54.2%
;0106020M0AAAPAP;Tablet;15mg
;0106020M0AAATAT;Oral solution;7.5mg/5ml
;0106020P0AAABAB;Oral solution;5mg/5ml
;0106030A0AAAAAA;Enema;
;0106040G0AAAAAA;Oral solution;3.1-3.7g/5ml
;0106040G0AAAGAG;Oral solution;10g/
;0106040J0AAAAAA;Oral suspension;
;0106040J0AAAFAF;Oral emulsion;/
;0106040L0AAABAB;Powder;
;0106040M0AAAAAA;Powder;
;0106040M0AAAHAH;Oral solution;
;0106040N0AAAAAA;Enema;
;0106040N0AAABAB;Enema;
;0106040N0AAAFAF;Suppository;680mg /  500mg
;0106040N0AAAGAG;Suppository;340mg /  250mg
;0106060B0AAAAAA;Tablet;12.5mg
;0106060B0AAABAB;Tablet;25mg
;0106070A0AAAAAA;Tablet;1mg
;0106070A0AAABAB;Tablet;2mg
;0106070B0AAAAAA;Capsule;290microgram
;0107020J0AAADAD;Foam;1% /  1%
;0107020J0AAAGAG;Ointment;5% /  0.275%
;0107020P0AAACAC;Ointment;0.5% /  0.19%
;0107020P0AAADAD;Suppository;1mg /  1.3mg
;0107040A0AAAIAI;Rectal ointment;0
;0107040A0AAAIAI;Rectal ointment;0%
;0107040A0AAAIAI;Rectal ointment;0.40%
;0109010U0AAAAAA;Tablet;150mg
;0109010U0AAABAB;Capsule;250mg
;0109010U0AAAYAY;Tablet;300mg
;0109010U0AABEBE;Oral suspension;250mg/5ml
;0201010F0AAAAAA;Oral solution;50microgram/ml
;0201010F0AAADAD;Tablet;62.5microgram
;0201010F0AAAEAE;Tablet;125microgram
;0201010F0AAAFAF;Tablet;250microgram
;0202010B0AAABAB;Tablet;2.5mg
;0202010B0AAACAC;Tablet;5mg
;0202010F0AAAAAA;Tablet;50mg
;0202010P0AAAAAA;Tablet;2.5mg
;0202010P0AAADAD;Modified-release tablet;1.5mg
;0202010Y0AAAAAA;Tablet;20mg
;0202020D0AAADAD;Oral solution;1mg/5ml
;0202020D0AAAEAE;Tablet;1mg
;0202020D0AAAFAF;Tablet;5mg
;0202020L0AABBBB;Tablet;20mg
;0202020L0AABDBD;Tablet;40mg
;0202020L0AABIBI;Tablet;500mg
;0202020L0AABNBN;Oral solution;40mg/5ml
;0202020L0AABPBP;Oral solution;50mg/5ml
;0202020L0AABQBQ;Oral solution;20mg/5ml
;0202020U0AAAAAA;Tablet;2.5mg
;0202020U0AAABAB;Tablet;5mg
;0202020U0AAACAC;Tablet;10mg
;0202030C0AAACAC;Tablet;5mg
;0202030C0AAASAS;Oral solution;5mg/5ml
;0202030S0AAATAT;Tablet;25mg
;0202030S0AAAUAU;Tablet;50mg
;0202030S0AAAVAV;Tablet;100mg
;0202030W0AAAAAA;Capsule;50mg
;0202030X0AAAAAA;Tablet;25mg
;0202030X0AAABAB;Tablet;50mg
;0202040A0AAAAAA;Tablet;2.5mg /  250microgram
;0202040B0AAAAAA;Tablet;5mg/40mg
;0202040B0AAABAB;Tablet;2.5mg/20mg
;0202040B0AAACAC;Tablet;10mg/80mg
;0202040C0AAAAAA;Tablet;5mg/50mg
;0202040C0AAABAB;Tablet;2.5mg/25mg
;0202040D0AAAAAA;Tablet;5mg /  1mg
;0202040G0AAAAAA;Tablet;25mg/25mg
;0202040G0AAABAB;Tablet;50mg/50mg
;0202040H0AAAAAA;Tablet;50mg/25mg
;0202040U0AAAAAA;Tablet;50mg /  40mg
;0203020D0AAAAAA;Tablet;100mg
;0203020D0AAABAB;Tablet;200mg
;0203020F0AAABAB;Capsule;100mg
;0203020F0AAACAC;Capsule;150mg
;0203020G0AAACAC;Modified-release tablet;250mg
;0203020I0AAADAD;Tablet;100mg
;0203020I0AAAKAK;Tablet;50mg
;0203020R0AAAAAA;Tablet;150mg
;0203020R0AAABAB;Tablet;300mg
;0203020X0AAAAAA;Tablet;400mg
;020400010AAAAAA;Tablet;10mg /  5mg
;020400030AAAEAE;Tablet;10mg /  2.5mg
;020400040AAAAAA;Tablet;50mg/12.5mg
;020400040AAABAB;Tablet;100mg/25mg
;020400060AAAAAA;Tablet;200mg
;020400060AAABAB;Tablet;400mg
;020400080AAABAB;Tablet;12.5mg
;020400080AAACAC;Tablet;25mg
;020400080AAAEAE;Tablet;3.125mg
;020400080AAAFAF;Tablet;6.25mg
;0204000ABAAAAAA;Tablet;5mg
;0204000ABAAABAB;Tablet;2.5mg
;0204000ABAAACAC;Tablet;10mg
;0204000ACAAAAAA;Capsule;5mg /  75mg
;0204000ACAAABAB;Capsule;10mg /  75mg
;0204000C0AAAAAA;Capsule;100mg
;0204000C0AAABAB;Capsule;200mg
;0204000C0AAADAD;Tablet;400mg
;0204000E0AAAAAA;Oral solution;25mg/5ml
;0204000E0AAABAB;Tablet;50mg
;0204000E0AAACAC;Tablet;100mg
;0204000E0AAAGAG;Tablet;25mg
;0204000H0AAAAAA;Tablet;5mg
;0204000H0AAABAB;Tablet;10mg
;0204000H0AAAJAJ;Tablet;2.5mg
;0204000H0AAAKAK;Tablet;3.75mg
;0204000H0AAALAL;Tablet;7.5mg
;0204000H0AAAMAM;Tablet;1.25mg
;0204000I0AAABAB;Tablet;50mg
;0204000I0AAACAC;Tablet;100mg
;0204000I0AAADAD;Tablet;200mg
;0204000I0AAAEAE;Tablet;400mg
;0204000K0AAABAB;Tablet;50mg
;0204000K0AAACAC;Tablet;100mg
;0204000M0AAABAB;Tablet;80mg
;0204000N0AAABAB;Tablet;20mg
;0204000N0AAACAC;Tablet;40mg
;0204000P0AAAAAA;Tablet;5mg
;0204000R0AAAAAA;Modified-release capsule;80mg
;0204000R0AAABAB;Modified-release capsule;160mg
;0204000R0AAAHAH;Tablet;10mg
;0204000R0AAAJAJ;Tablet;40mg
;0204000R0AAAKAK;Tablet;80mg
;0204000R0AAALAL;Tablet;160mg
;0204000R0AACWCW;Oral solution;5mg/5ml
;0204000R0AACXCX;Oral solution;10mg/5ml
;0204000R0AACYCY;Oral solution;50mg/5ml
;0204000R0AADBDB;Oral solution;40mg/5ml
;0204000T0AAABAB;Tablet;40mg
;0204000T0AAACAC;Tablet;80mg
;0204000T0AAAEAE;Tablet;160mg
;0204000T0AAAFAF;Tablet;200mg
;0204000U0AAAAAA;Modified-release capsule;50mg /  20mg
;0204000V0AAAAAA;Tablet;10mg
;0205010J0AAAGAG;Tablet;25mg
;0205010J0AAAHAH;Tablet;50mg
;0205010N0AAAAAA;Tablet;2.5mg
;0205010N0AAABAB;Tablet;5mg
;0205010N0AAACAC;Tablet;10mg
;0205020E0AAACAC;Tablet;100microgram
;0205020H0AAACAC;Tablet;125mg
;0205020H0AAADAD;Tablet;250mg
;0205020H0AAAEAE;Tablet;500mg
;0205020M0AAAAAA;Tablet;200microgram
;0205020M0AAABAB;Tablet;400microgram
;0205020M0AAACAC;Tablet;300microgram
;0205040D0AAAAAA;Tablet;1mg
